time_step, LU, FFT, DCT/DST, NA
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
1, 8.58000E-01, 2.20000E-02, 9.00000E-03, 0.00000E+00
2, 5.42000E-01, 4.00000E-03, 9.00000E-03, 0.00000E+00
3, 5.46000E-01, 5.00000E-03, 1.00000E-02, 0.00000E+00
4, 5.40000E-01, 4.00000E-03, 1.00000E-02, 0.00000E+00
5, 5.31000E-01, 5.00000E-03, 1.00000E-02, 0.00000E+00
6, 5.38000E-01, 4.00000E-03, 9.00000E-03, 0.00000E+00
7, 5.36000E-01, 5.00000E-03, 9.00000E-03, 0.00000E+00
8, 5.38000E-01, 4.00000E-03, 1.00000E-02, 0.00000E+00
9, 5.47000E-01, 5.00000E-03, 1.00000E-02, 0.00000E+00
10, 5.51000E-01, 5.00000E-03, 9.00000E-03, 0.00000E+00
11, 5.38000E-01, 5.00000E-03, 8.00000E-03, 0.00000E+00
12, 5.36000E-01, 3.00000E-03, 1.00000E-02, 0.00000E+00
13, 5.32000E-01, 5.00000E-03, 9.00000E-03, 0.00000E+00
14, 5.32000E-01, 4.00000E-03, 1.50000E-02, 0.00000E+00
15, 5.33000E-01, 6.00000E-03, 9.00000E-03, 0.00000E+00
16, 5.38000E-01, 4.00000E-03, 9.00000E-03, 0.00000E+00
17, 5.51000E-01, 6.00000E-03, 8.00000E-03, 0.00000E+00
18, 5.41000E-01, 4.00000E-03, 9.00000E-03, 0.00000E+00
19, 5.45000E-01, 5.00000E-03, 1.10000E-02, 0.00000E+00
20, 5.56000E-01, 4.00000E-03, 1.00000E-02, 0.00000E+00
21, 5.49000E-01, 5.00000E-03, 1.00000E-02, 0.00000E+00
22, 5.30000E-01, 4.00000E-03, 1.00000E-02, 0.00000E+00
23, 5.41000E-01, 5.00000E-03, 1.00000E-02, 0.00000E+00
24, 5.60000E-01, 4.00000E-03, 1.00000E-02, 0.00000E+00
25, 5.39000E-01, 5.00000E-03, 1.00000E-02, 0.00000E+00
26, 5.48000E-01, 4.00000E-03, 9.00000E-03, 0.00000E+00
27, 5.38000E-01, 5.00000E-03, 9.00000E-03, 0.00000E+00
28, 5.36000E-01, 5.00000E-03, 9.00000E-03, 0.00000E+00
29, 5.37000E-01, 5.00000E-03, 1.10000E-02, 0.00000E+00
30, 5.34000E-01, 4.00000E-03, 1.00000E-02, 0.00000E+00
31, 5.45000E-01, 4.00000E-03, 1.00000E-02, 0.00000E+00
32, 5.31000E-01, 4.00000E-03, 9.00000E-03, 0.00000E+00
33, 5.32000E-01, 4.00000E-03, 1.00000E-02, 0.00000E+00
34, 5.36000E-01, 4.00000E-03, 9.00000E-03, 0.00000E+00
35, 5.42000E-01, 4.00000E-03, 1.00000E-02, 0.00000E+00
36, 5.31000E-01, 4.00000E-03, 8.00000E-03, 0.00000E+00
37, 5.41000E-01, 5.00000E-03, 9.00000E-03, 0.00000E+00
38, 5.47000E-01, 4.00000E-03, 1.00000E-02, 0.00000E+00
39, 5.34000E-01, 6.00000E-03, 9.00000E-03, 0.00000E+00
40, 5.44000E-01, 5.00000E-03, 2.10000E-02, 0.00000E+00
41, 5.38000E-01, 5.00000E-03, 1.00000E-02, 0.00000E+00
42, 5.39000E-01, 4.00000E-03, 9.00000E-03, 0.00000E+00
43, 5.34000E-01, 5.00000E-03, 9.00000E-03, 0.00000E+00
44, 5.32000E-01, 4.00000E-03, 1.00000E-02, 0.00000E+00
45, 5.41000E-01, 9.00000E-03, 9.00000E-03, 0.00000E+00
46, 5.36000E-01, 4.00000E-03, 1.00000E-02, 0.00000E+00
47, 5.32000E-01, 5.00000E-03, 8.00000E-03, 0.00000E+00
48, 5.40000E-01, 4.00000E-03, 1.00000E-02, 0.00000E+00
49, 5.43000E-01, 6.00000E-03, 9.00000E-03, 0.00000E+00
50, 5.30000E-01, 4.00000E-03, 1.00000E-02, 0.00000E+00
51, 5.54000E-01, 5.00000E-03, 9.00000E-03, 0.00000E+00
52, 5.65000E-01, 4.00000E-03, 1.70000E-02, 0.00000E+00
53, 5.57000E-01, 4.00000E-03, 9.00000E-03, 0.00000E+00
54, 5.37000E-01, 1.50000E-02, 9.00000E-03, 0.00000E+00
55, 5.47000E-01, 5.00000E-03, 9.00000E-03, 0.00000E+00
56, 5.45000E-01, 4.00000E-03, 1.00000E-02, 0.00000E+00
57, 5.37000E-01, 5.00000E-03, 1.00000E-02, 0.00000E+00
58, 5.30000E-01, 4.00000E-03, 1.10000E-02, 0.00000E+00
59, 5.56000E-01, 5.00000E-03, 1.00000E-02, 0.00000E+00
60, 5.36000E-01, 3.00000E-03, 9.00000E-03, 0.00000E+00
61, 5.57000E-01, 4.00000E-03, 1.00000E-02, 0.00000E+00
62, 5.36000E-01, 3.00000E-03, 1.00000E-02, 0.00000E+00
63, 5.48000E-01, 6.00000E-03, 1.10000E-02, 0.00000E+00
64, 5.39000E-01, 4.00000E-03, 9.00000E-03, 0.00000E+00
65, 5.33000E-01, 5.00000E-03, 9.00000E-03, 0.00000E+00
66, 5.54000E-01, 2.70000E-02, 1.20000E-02, 0.00000E+00
67, 5.42000E-01, 5.00000E-03, 9.00000E-03, 0.00000E+00
68, 5.31000E-01, 5.00000E-03, 1.00000E-02, 0.00000E+00
69, 5.54000E-01, 5.00000E-03, 1.00000E-02, 0.00000E+00
70, 5.38000E-01, 4.00000E-03, 9.00000E-03, 0.00000E+00
71, 5.38000E-01, 5.00000E-03, 1.00000E-02, 0.00000E+00
72, 5.33000E-01, 4.00000E-03, 9.00000E-03, 0.00000E+00
73, 5.48000E-01, 5.00000E-03, 1.00000E-02, 0.00000E+00
74, 5.34000E-01, 4.00000E-03, 1.10000E-02, 0.00000E+00
75, 5.34000E-01, 5.00000E-03, 9.00000E-03, 0.00000E+00
76, 5.47000E-01, 4.00000E-03, 9.00000E-03, 0.00000E+00
77, 5.40000E-01, 5.00000E-03, 9.00000E-03, 0.00000E+00
78, 5.36000E-01, 4.00000E-03, 1.00000E-02, 0.00000E+00
79, 5.39000E-01, 5.00000E-03, 9.00000E-03, 0.00000E+00
80, 5.38000E-01, 3.00000E-03, 1.00000E-02, 0.00000E+00
81, 5.38000E-01, 5.00000E-03, 1.10000E-02, 0.00000E+00
82, 5.48000E-01, 4.00000E-03, 9.00000E-03, 0.00000E+00
83, 5.33000E-01, 5.00000E-03, 1.90000E-02, 0.00000E+00
84, 5.38000E-01, 4.00000E-03, 1.00000E-02, 0.00000E+00
85, 5.36000E-01, 5.00000E-03, 1.00000E-02, 0.00000E+00
86, 5.50000E-01, 5.00000E-03, 9.00000E-03, 0.00000E+00
87, 5.35000E-01, 4.00000E-03, 9.00000E-03, 0.00000E+00
88, 5.43000E-01, 3.00000E-03, 9.00000E-03, 0.00000E+00
89, 5.34000E-01, 4.00000E-03, 1.00000E-02, 0.00000E+00
90, 5.45000E-01, 4.00000E-03, 9.00000E-03, 0.00000E+00
91, 5.38000E-01, 5.00000E-03, 9.00000E-03, 0.00000E+00
92, 5.36000E-01, 5.00000E-03, 9.00000E-03, 0.00000E+00
93, 5.33000E-01, 1.40000E-02, 1.00000E-02, 0.00000E+00
94, 5.32000E-01, 2.00000E-03, 1.00000E-02, 0.00000E+00
95, 5.65000E-01, 4.00000E-03, 9.00000E-03, 0.00000E+00
96, 5.36000E-01, 3.00000E-03, 1.00000E-02, 0.00000E+00
97, 5.60000E-01, 7.00000E-03, 9.00000E-03, 0.00000E+00
