time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,         NaN
1, 4.79809E-03, 6.19399E-03, 4.38979E-03, 9.85753E-02, 1.69779E-04, 1.85269E-04, 1.33009E-04, 1.02701E+01
2, 5.97797E-03, 7.61791E-03, 6.17799E-03, 6.78057E-03, 1.98417E-04, 2.12040E-04, 1.55432E-04, 1.00771E+01
3, 5.45774E-03, 6.16456E-03, 4.72082E-03, 8.22215E-03, 1.66120E-04, 1.85364E-04, 1.31772E-04, 1.17984E+00
4, 5.33045E-03, 6.15740E-03, 4.66311E-03, 4.61301E-03, 1.65078E-04, 1.84782E-04, 1.29570E-04, 6.66213E-01
5, 5.43620E-03, 6.01344E-03, 4.68720E-03, 4.58255E-03, 1.64213E-04, 1.87032E-04, 1.29644E-04, 8.49776E-02
6, 5.42690E-03, 5.93272E-03, 4.78042E-03, 4.57442E-03, 1.63798E-04, 1.88964E-04, 1.29754E-04, 1.45702E-01
7, 5.39265E-03, 5.82294E-03, 4.85183E-03, 4.48946E-03, 1.63270E-04, 1.90328E-04, 1.29746E-04, 5.59353E-02
8, 5.54617E-03, 5.71189E-03, 4.92999E-03, 4.39608E-03, 1.63165E-04, 1.91791E-04, 1.30028E-04, 5.16029E-02
9, 5.89783E-03, 5.59096E-03, 5.00079E-03, 4.30494E-03, 1.63209E-04, 1.93189E-04, 1.30453E-04, 5.12531E-02
10, 6.19211E-03, 5.46253E-03, 5.07147E-03, 4.20290E-03, 1.63418E-04, 1.94464E-04, 1.30970E-04, 6.01031E-02
11, 6.41718E-03, 5.62905E-03, 5.13891E-03, 4.32424E-03, 1.63792E-04, 1.95632E-04, 1.31515E-04, 6.10490E-02
12, 6.56355E-03, 5.81135E-03, 5.20437E-03, 4.45251E-03, 1.64315E-04, 1.96678E-04, 1.32089E-04, 6.18380E-02
13, 6.67090E-03, 5.97153E-03, 5.26730E-03, 4.56091E-03, 1.64943E-04, 1.97608E-04, 1.32690E-04, 6.29388E-02
14, 6.86280E-03, 6.10885E-03, 5.32792E-03, 4.64738E-03, 1.65698E-04, 1.98442E-04, 1.33308E-04, 6.24299E-02
15, 6.96434E-03, 6.22349E-03, 5.38608E-03, 4.70879E-03, 1.66540E-04, 1.99193E-04, 1.33937E-04, 6.37263E-02
16, 6.96822E-03, 6.36612E-03, 5.44177E-03, 4.74320E-03, 1.67477E-04, 1.99865E-04, 1.34578E-04, 6.62559E-02
17, 6.87092E-03, 6.52881E-03, 5.49490E-03, 4.74933E-03, 1.68477E-04, 2.00438E-04, 1.35210E-04, 6.80285E-02
18, 6.67293E-03, 6.67307E-03, 5.54541E-03, 4.72585E-03, 1.69495E-04, 2.00924E-04, 1.35849E-04, 6.90934E-02
19, 6.49173E-03, 6.79701E-03, 5.59320E-03, 4.67184E-03, 1.70612E-04, 2.01362E-04, 1.36491E-04, 6.93725E-02
20, 6.49690E-03, 6.89101E-03, 5.63815E-03, 4.74534E-03, 1.71758E-04, 2.01794E-04, 1.37112E-04, 6.80584E-02
21, 6.66543E-03, 6.95556E-03, 5.68014E-03, 4.97129E-03, 1.72886E-04, 2.02242E-04, 1.37710E-04, 6.57699E-02
22, 6.80843E-03, 7.06263E-03, 5.71902E-03, 5.20860E-03, 1.74068E-04, 2.02767E-04, 1.38323E-04, 6.14949E-02
23, 6.92570E-03, 7.22618E-03, 5.75465E-03, 5.41114E-03, 1.75241E-04, 2.03467E-04, 1.38938E-04, 5.51819E-02
24, 7.01719E-03, 7.35885E-03, 5.78684E-03, 5.57138E-03, 1.76380E-04, 2.04359E-04, 1.39541E-04, 4.98960E-02
25, 7.08300E-03, 7.46040E-03, 5.81542E-03, 5.75748E-03, 1.77486E-04, 2.05439E-04, 1.40181E-04, 5.45686E-02
26, 7.12337E-03, 7.53106E-03, 5.84019E-03, 5.97234E-03, 1.78579E-04, 2.06700E-04, 1.40829E-04, 5.90266E-02
27, 7.13863E-03, 7.57145E-03, 5.86093E-03, 6.04965E-03, 1.79678E-04, 2.08127E-04, 1.41511E-04, 6.38486E-02
28, 7.12927E-03, 7.58263E-03, 5.87743E-03, 5.97289E-03, 1.80701E-04, 2.09761E-04, 1.42214E-04, 6.93819E-02
29, 7.09586E-03, 7.56604E-03, 5.88945E-03, 5.72907E-03, 1.81660E-04, 2.11534E-04, 1.42893E-04, 7.48635E-02
30, 7.03911E-03, 7.52342E-03, 5.89675E-03, 5.30982E-03, 1.82614E-04, 2.13366E-04, 1.43591E-04, 8.05629E-02
31, 6.95981E-03, 7.45677E-03, 5.89909E-03, 4.77746E-03, 1.83597E-04, 2.15204E-04, 1.44297E-04, 8.71214E-02
32, 6.85885E-03, 7.36831E-03, 5.89622E-03, 4.13704E-03, 1.84607E-04, 2.17076E-04, 1.44975E-04, 9.36360E-02
33, 6.73725E-03, 7.36401E-03, 5.88790E-03, 4.42461E-03, 1.85647E-04, 2.18907E-04, 1.45651E-04, 1.04374E-01
34, 6.59608E-03, 7.34400E-03, 5.87388E-03, 4.86907E-03, 1.86713E-04, 2.20628E-04, 1.46359E-04, 1.16311E-01
35, 6.61297E-03, 7.29982E-03, 5.85390E-03, 5.30275E-03, 1.87781E-04, 2.22204E-04, 1.47062E-04, 1.27807E-01
36, 6.67701E-03, 7.23898E-03, 5.82775E-03, 5.71379E-03, 1.88883E-04, 2.23662E-04, 1.47778E-04, 1.36688E-01
37, 6.72049E-03, 7.15645E-03, 5.79518E-03, 6.09050E-03, 1.90011E-04, 2.25017E-04, 1.48525E-04, 1.41757E-01
38, 6.74382E-03, 7.17374E-03, 5.75599E-03, 6.42172E-03, 1.91131E-04, 2.26295E-04, 1.49295E-04, 1.42701E-01
39, 6.74752E-03, 7.18309E-03, 5.70997E-03, 6.69733E-03, 1.92351E-04, 2.27532E-04, 1.50069E-04, 1.39387E-01
40, 6.73217E-03, 7.16055E-03, 5.65695E-03, 6.90865E-03, 1.93709E-04, 2.28801E-04, 1.50840E-04, 1.31880E-01
41, 6.69845E-03, 7.10741E-03, 5.59674E-03, 7.47172E-03, 1.95227E-04, 2.30080E-04, 1.51635E-04, 1.20436E-01
42, 6.64711E-03, 7.02533E-03, 5.57924E-03, 8.33090E-03, 1.96881E-04, 2.31368E-04, 1.52444E-04, 1.07733E-01
43, 6.57893E-03, 6.91632E-03, 5.57420E-03, 9.06358E-03, 1.98677E-04, 2.32687E-04, 1.53266E-04, 9.21873E-02
44, 6.49477E-03, 6.78266E-03, 5.55946E-03, 9.75288E-03, 2.00584E-04, 2.34079E-04, 1.54077E-04, 7.40088E-02
45, 6.39550E-03, 6.70033E-03, 5.53577E-03, 1.02331E-02, 2.02632E-04, 2.35475E-04, 1.54855E-04, 5.38873E-02
46, 6.28203E-03, 6.67725E-03, 5.50385E-03, 1.04945E-02, 2.04726E-04, 2.36921E-04, 1.55605E-04, 4.53742E-02
47, 6.15528E-03, 6.62645E-03, 5.46434E-03, 1.05347E-02, 2.06878E-04, 2.38400E-04, 1.56328E-04, 4.94733E-02
48, 6.01620E-03, 6.54948E-03, 5.41783E-03, 1.03588E-02, 2.09047E-04, 2.39851E-04, 1.57016E-04, 5.35816E-02
49, 5.86574E-03, 6.44818E-03, 5.44326E-03, 9.97818E-03, 2.11205E-04, 2.41254E-04, 1.57658E-04, 5.78355E-02
50, 5.70485E-03, 6.32462E-03, 5.46923E-03, 9.41015E-03, 2.13300E-04, 2.42540E-04, 1.58252E-04, 6.23839E-02
51, 5.71095E-03, 6.21535E-03, 5.49151E-03, 8.67649E-03, 2.15289E-04, 2.43699E-04, 1.58791E-04, 7.41683E-02
52, 5.70725E-03, 6.19951E-03, 5.50978E-03, 7.80250E-03, 2.17147E-04, 2.44735E-04, 1.59248E-04, 8.64568E-02
53, 5.69089E-03, 6.14924E-03, 5.52371E-03, 6.81565E-03, 2.18817E-04, 2.45637E-04, 1.59633E-04, 9.64676E-02
54, 5.66232E-03, 6.06549E-03, 5.53295E-03, 5.74443E-03, 2.20313E-04, 2.46379E-04, 1.59956E-04, 1.03578E-01
55, 5.62199E-03, 5.94969E-03, 5.53716E-03, 4.61730E-03, 2.21665E-04, 2.47012E-04, 1.60232E-04, 1.07857E-01
56, 5.57040E-03, 5.80363E-03, 5.53599E-03, 4.63494E-03, 2.22885E-04, 2.47564E-04, 1.60450E-04, 1.09460E-01
57, 5.50806E-03, 5.82143E-03, 5.52910E-03, 4.91346E-03, 2.23910E-04, 2.48014E-04, 1.60605E-04, 1.08614E-01
58, 5.43553E-03, 5.81463E-03, 5.51615E-03, 5.11989E-03, 2.24715E-04, 2.48418E-04, 1.60725E-04, 1.05591E-01
59, 5.35337E-03, 5.77540E-03, 5.49682E-03, 5.28325E-03, 2.25382E-04, 2.48807E-04, 1.60841E-04, 1.00687E-01
60, 5.26217E-03, 5.70447E-03, 5.47077E-03, 5.53843E-03, 2.26011E-04, 2.49143E-04, 1.60977E-04, 9.42077E-02
61, 5.16252E-03, 5.60293E-03, 5.43770E-03, 5.71092E-03, 2.26567E-04, 2.49467E-04, 1.61105E-04, 8.64534E-02
