time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,         NaN
1, 1.86232E-15, 1.95902E-15, 2.50402E-15, 3.86069E-14, 1.48115E-16, 9.75542E-17, 1.03490E-16, 2.19799E-12
2, 3.70785E-15, 1.95975E-15, 2.82530E-15, 6.79497E-14, 2.49267E-16, 1.56972E-16, 1.69397E-16, 7.96620E-13
3, 4.30615E-15, 2.45068E-15, 3.46317E-15, 6.00201E-14, 3.15293E-16, 2.00613E-16, 2.18786E-16, 5.64408E-13
4, 4.28639E-15, 2.69690E-15, 3.15737E-15, 4.87415E-14, 3.60774E-16, 2.36874E-16, 2.61134E-16, 7.20755E-13
5, 4.87608E-15, 2.94341E-15, 4.11619E-15, 4.56180E-14, 4.05661E-16, 2.71321E-16, 2.97161E-16, 5.92713E-13
6, 6.25629E-15, 3.19024E-15, 4.44518E-15, 4.76665E-14, 4.42843E-16, 3.01730E-16, 3.36731E-16, 4.59688E-13
7, 7.24593E-15, 3.43741E-15, 4.77577E-15, 4.43068E-14, 4.81343E-16, 3.32302E-16, 3.71857E-16, 5.07733E-13
8, 8.03814E-15, 4.17627E-15, 5.74640E-15, 4.00222E-14, 5.15422E-16, 3.60870E-16, 4.06699E-16, 6.46742E-13
9, 9.64497E-15, 4.17867E-15, 5.44156E-15, 5.41763E-14, 5.46854E-16, 3.88891E-16, 4.37510E-16, 5.50682E-13
10, 1.12734E-14, 4.67312E-15, 6.41852E-15, 4.48493E-14, 5.75216E-16, 4.15583E-16, 4.70663E-16, 5.44510E-13
11, 1.31545E-14, 4.92223E-15, 6.11318E-15, 4.77474E-14, 6.07565E-16, 4.40489E-16, 5.01249E-16, 4.46723E-13
12, 1.53166E-14, 5.17183E-15, 7.41870E-15, 4.14143E-14, 6.37907E-16, 4.63759E-16, 5.30597E-16, 4.04228E-13
13, 1.78795E-14, 5.66840E-15, 8.08358E-15, 4.23751E-14, 6.64100E-16, 4.87488E-16, 5.60351E-16, 4.68838E-13
14, 2.10973E-14, 6.41254E-15, 7.77885E-15, 4.28899E-14, 6.91455E-16, 5.09315E-16, 5.88377E-16, 6.14383E-13
15, 2.29944E-14, 6.91120E-15, 9.09659E-15, 4.44663E-14, 7.16629E-16, 5.32260E-16, 6.17451E-16, 5.71318E-13
16, 2.59757E-14, 7.41092E-15, 9.11741E-15, 3.29106E-14, 7.48828E-16, 5.52500E-16, 6.43409E-16, 6.86130E-13
17, 2.79209E-14, 8.40623E-15, 9.79045E-15, 3.62956E-14, 7.72396E-16, 5.73322E-16, 6.70882E-16, 5.58637E-13
18, 3.06351E-14, 8.90867E-15, 1.07929E-14, 4.22602E-14, 7.95884E-16, 5.93628E-16, 6.96048E-16, 5.23828E-13
19, 3.37156E-14, 9.16468E-15, 1.21267E-14, 3.29520E-14, 8.19903E-16, 6.14102E-16, 7.21343E-16, 4.44173E-13
20, 3.67846E-14, 9.66946E-15, 1.18233E-14, 3.50701E-14, 8.46388E-16, 6.31308E-16, 7.45937E-16, 5.10568E-13
21, 4.03722E-14, 1.04238E-14, 1.25050E-14, 3.70295E-14, 8.69466E-16, 6.51192E-16, 7.68565E-16, 5.56093E-13
22, 4.45766E-14, 1.06832E-14, 1.25292E-14, 3.15713E-14, 8.90044E-16, 6.68735E-16, 7.94418E-16, 5.62080E-13
23, 4.63201E-14, 1.14411E-14, 1.25527E-14, 3.43815E-14, 9.14841E-16, 6.87415E-16, 8.17435E-16, 6.47018E-13
24, 4.79872E-14, 1.24500E-14, 1.32374E-14, 3.15224E-14, 9.38813E-16, 7.04419E-16, 8.39316E-16, 1.00805E-12
25, 5.04325E-14, 1.29632E-14, 1.35921E-14, 3.02286E-14, 9.63756E-16, 7.20025E-16, 8.65650E-16, 9.90979E-13
26, 5.29384E-14, 1.34782E-14, 1.46112E-14, 2.97775E-14, 9.85278E-16, 7.36903E-16, 8.84064E-16, 8.26152E-13
27, 5.55722E-14, 1.42449E-14, 1.46350E-14, 3.38540E-14, 1.00437E-15, 7.53677E-16, 9.06063E-16, 8.11431E-13
28, 5.83868E-14, 1.45137E-14, 1.53241E-14, 3.99383E-14, 1.02956E-15, 7.68406E-16, 9.25940E-16, 7.46604E-13
29, 6.12282E-14, 1.47837E-14, 1.67649E-14, 2.99690E-14, 1.04689E-15, 7.83279E-16, 9.45192E-16, 1.06810E-12
30, 6.41906E-14, 1.55569E-14, 1.72065E-14, 2.53202E-14, 1.06803E-15, 7.97930E-16, 9.65249E-16, 6.89136E-13
31, 6.67583E-14, 1.60817E-14, 1.87355E-14, 2.89332E-14, 1.09069E-15, 8.17234E-16, 9.86160E-16, 9.59312E-13
32, 6.96425E-14, 1.66086E-14, 2.06861E-14, 2.76601E-14, 1.10985E-15, 8.30979E-16, 1.00523E-15, 8.04409E-13
33, 7.25051E-14, 1.63816E-14, 2.33110E-14, 2.84118E-14, 1.13062E-15, 8.45883E-16, 1.02112E-15, 6.79524E-13
34, 7.54217E-14, 1.71643E-14, 2.53529E-14, 3.11740E-14, 1.14946E-15, 8.60387E-16, 1.03694E-15, 9.01427E-13
35, 7.83342E-14, 1.76973E-14, 2.63051E-14, 2.57493E-14, 1.16845E-15, 8.73288E-16, 1.05201E-15, 8.11014E-13
