time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,         NaN
1, 1.96057E-15, 2.30749E-15, 1.78499E-15, 1.40590E-14, 1.08700E-16, 1.02544E-16, 9.32917E-17, 1.46279E-12
2, 2.27211E-15, 2.54405E-15, 2.49855E-15, 3.66990E-14, 1.77186E-16, 1.66888E-16, 1.51309E-16, 2.88706E-12
3, 2.46203E-15, 3.47697E-15, 3.21186E-15, 3.76528E-14, 2.22606E-16, 2.12952E-16, 1.96512E-16, 1.33695E-12
4, 2.96137E-15, 4.18159E-15, 2.85449E-15, 2.88569E-14, 2.63098E-16, 2.50907E-16, 2.35781E-16, 1.39237E-12
5, 2.96839E-15, 4.19068E-15, 3.92426E-15, 3.18227E-14, 2.97202E-16, 2.86761E-16, 2.69786E-16, 1.66284E-12
6, 3.96733E-15, 4.66623E-15, 4.28029E-15, 3.84941E-14, 3.35623E-16, 3.19335E-16, 3.03322E-16, 1.06446E-12
7, 3.72835E-15, 4.90979E-15, 3.56632E-15, 3.57588E-14, 3.68705E-16, 3.51224E-16, 3.35217E-16, 1.51945E-12
8, 4.23576E-15, 5.15413E-15, 3.56574E-15, 2.84632E-14, 3.98274E-16, 3.83842E-16, 3.67192E-16, 3.11107E-12
9, 4.99546E-15, 5.39924E-15, 4.27822E-15, 2.93925E-14, 4.23129E-16, 4.17152E-16, 3.96596E-16, 3.07735E-12
10, 5.75897E-15, 6.40951E-15, 4.27756E-15, 3.40649E-14, 4.54021E-16, 4.40448E-16, 4.23002E-16, 2.39202E-12
11, 6.02429E-15, 6.71643E-15, 5.34614E-15, 3.16808E-14, 4.80357E-16, 4.69741E-16, 4.50756E-16, 1.72101E-12
12, 7.04588E-15, 7.67352E-15, 5.34537E-15, 2.71868E-14, 5.04253E-16, 4.95558E-16, 4.76677E-16, 1.62614E-12
13, 7.31584E-15, 8.75210E-15, 6.41353E-15, 3.48304E-14, 5.29695E-16, 5.20893E-16, 5.03132E-16, 1.76564E-12
14, 6.82846E-15, 9.59726E-15, 6.05640E-15, 2.73656E-14, 5.52895E-16, 5.44714E-16, 5.26808E-16, 1.44303E-12
15, 7.09928E-15, 1.03263E-14, 7.83666E-15, 3.29438E-14, 5.78670E-16, 5.66549E-16, 5.51961E-16, 2.09733E-12
16, 8.13406E-15, 1.08196E-14, 7.30142E-15, 2.92342E-14, 5.97224E-16, 5.91632E-16, 5.73388E-16, 1.84665E-12
