time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,         NaN
1, 4.83344E-03, 5.10757E-03, 4.47126E-03, 3.68267E-02, 1.18549E-04, 1.12385E-04, 7.39968E-05, 3.83681E+00
2, 4.00085E-03, 5.16006E-03, 5.20915E-03, 4.48233E-03, 1.29764E-04, 1.39608E-04, 9.06058E-05, 3.64801E+00
3, 3.25803E-03, 4.83265E-03, 4.70854E-03, 5.40547E-03, 1.14979E-04, 1.12705E-04, 7.55789E-05, 7.87525E-01
4, 3.41377E-03, 4.59171E-03, 4.46031E-03, 2.52240E-03, 1.14772E-04, 1.11516E-04, 7.52062E-05, 4.23092E-01
5, 3.73100E-03, 4.54106E-03, 4.42396E-03, 2.35169E-03, 1.14793E-04, 1.12329E-04, 7.59918E-05, 9.08974E-02
6, 4.04154E-03, 4.54385E-03, 4.52545E-03, 2.31911E-03, 1.15172E-04, 1.13329E-04, 7.70887E-05, 9.71677E-02
7, 4.32617E-03, 4.52266E-03, 4.59167E-03, 2.34197E-03, 1.15464E-04, 1.13763E-04, 7.78706E-05, 3.36692E-02
8, 4.57731E-03, 4.49772E-03, 4.66819E-03, 2.33044E-03, 1.16058E-04, 1.14497E-04, 7.89047E-05, 2.25836E-02
9, 4.78732E-03, 4.46182E-03, 4.73387E-03, 2.33881E-03, 1.16707E-04, 1.15237E-04, 7.99442E-05, 2.69528E-02
10, 5.02292E-03, 4.41651E-03, 4.79940E-03, 2.35093E-03, 1.17489E-04, 1.16021E-04, 8.10324E-05, 3.40050E-02
11, 5.23396E-03, 4.45078E-03, 4.86022E-03, 2.35364E-03, 1.18361E-04, 1.16864E-04, 8.21093E-05, 3.42732E-02
12, 5.38617E-03, 4.58474E-03, 4.91834E-03, 2.36685E-03, 1.19304E-04, 1.17746E-04, 8.32180E-05, 3.50587E-02
13, 5.47219E-03, 4.70133E-03, 4.97300E-03, 2.40854E-03, 1.20323E-04, 1.18713E-04, 8.43174E-05, 3.69615E-02
14, 5.48646E-03, 4.86543E-03, 5.02463E-03, 2.43936E-03, 1.21365E-04, 1.19737E-04, 8.54036E-05, 3.79440E-02
15, 5.52051E-03, 5.04221E-03, 5.07310E-03, 2.45915E-03, 1.22456E-04, 1.20770E-04, 8.64730E-05, 3.77439E-02
16, 5.51189E-03, 5.19626E-03, 5.11852E-03, 2.46789E-03, 1.23647E-04, 1.21780E-04, 8.75235E-05, 3.67847E-02
17, 5.42032E-03, 5.32643E-03, 5.16086E-03, 2.46581E-03, 1.24876E-04, 1.22786E-04, 8.85473E-05, 3.50924E-02
18, 5.24395E-03, 5.43197E-03, 5.20015E-03, 2.45331E-03, 1.26107E-04, 1.23741E-04, 8.95617E-05, 3.25471E-02
19, 5.13065E-03, 5.51244E-03, 5.23636E-03, 2.43158E-03, 1.27377E-04, 1.24677E-04, 9.05625E-05, 2.91638E-02
20, 4.95770E-03, 5.56777E-03, 5.26946E-03, 2.66939E-03, 1.28641E-04, 1.25627E-04, 9.15499E-05, 2.50338E-02
21, 4.70035E-03, 5.59822E-03, 5.29940E-03, 2.86371E-03, 1.29929E-04, 1.26594E-04, 9.25405E-05, 2.02509E-02
22, 4.77403E-03, 5.73762E-03, 5.32613E-03, 3.00940E-03, 1.31212E-04, 1.27550E-04, 9.35003E-05, 1.97611E-02
23, 4.87626E-03, 5.86187E-03, 5.34958E-03, 3.10252E-03, 1.32425E-04, 1.28527E-04, 9.44274E-05, 2.21868E-02
24, 4.91692E-03, 5.96023E-03, 5.36965E-03, 3.14047E-03, 1.33590E-04, 1.29513E-04, 9.53090E-05, 2.50794E-02
25, 4.88956E-03, 6.03234E-03, 5.38623E-03, 3.12206E-03, 1.34696E-04, 1.30491E-04, 9.61733E-05, 2.77768E-02
26, 4.86017E-03, 6.07820E-03, 5.39923E-03, 3.04760E-03, 1.35698E-04, 1.31472E-04, 9.70184E-05, 3.01721E-02
27, 5.08150E-03, 6.09816E-03, 5.40851E-03, 2.91886E-03, 1.36594E-04, 1.32444E-04, 9.78446E-05, 3.22598E-02
28, 5.26025E-03, 6.09296E-03, 5.41393E-03, 2.73906E-03, 1.37466E-04, 1.33414E-04, 9.86749E-05, 3.46772E-02
29, 5.33323E-03, 6.06366E-03, 5.41535E-03, 2.51273E-03, 1.38361E-04, 1.34391E-04, 9.94782E-05, 3.65618E-02
30, 5.30607E-03, 6.01749E-03, 5.43359E-03, 2.24564E-03, 1.39297E-04, 1.35338E-04, 1.00242E-04, 3.78136E-02
31, 5.18762E-03, 6.07645E-03, 5.46968E-03, 2.36932E-03, 1.40246E-04, 1.36288E-04, 1.00978E-04, 3.83440E-02
32, 4.98918E-03, 6.10301E-03, 5.49291E-03, 2.59986E-03, 1.41160E-04, 1.37248E-04, 1.01707E-04, 3.90481E-02
33, 5.06565E-03, 6.09736E-03, 5.54646E-03, 2.85268E-03, 1.41994E-04, 1.38185E-04, 1.02440E-04, 3.91643E-02
34, 5.20362E-03, 6.06015E-03, 5.62200E-03, 3.08320E-03, 1.42777E-04, 1.39122E-04, 1.03145E-04, 3.84395E-02
35, 5.23406E-03, 5.99242E-03, 5.68271E-03, 3.28671E-03, 1.43585E-04, 1.40024E-04, 1.03803E-04, 3.74738E-02
36, 5.15937E-03, 5.89563E-03, 5.72902E-03, 3.46300E-03, 1.44397E-04, 1.40911E-04, 1.04458E-04, 3.61357E-02
37, 4.98530E-03, 5.93353E-03, 5.76146E-03, 3.64309E-03, 1.45277E-04, 1.41794E-04, 1.05113E-04, 3.38174E-02
38, 4.72038E-03, 5.95762E-03, 5.78065E-03, 3.78120E-03, 1.46143E-04, 1.42670E-04, 1.05752E-04, 3.05830E-02
39, 4.37540E-03, 5.95112E-03, 5.78723E-03, 3.88912E-03, 1.47014E-04, 1.43583E-04, 1.06375E-04, 2.65326E-02
40, 4.07658E-03, 5.91476E-03, 5.78190E-03, 3.99364E-03, 1.47853E-04, 1.44497E-04, 1.06975E-04, 2.25576E-02
41, 4.11876E-03, 5.84971E-03, 5.76538E-03, 4.04748E-03, 1.48685E-04, 1.45390E-04, 1.07527E-04, 1.81050E-02
42, 4.08734E-03, 5.75753E-03, 5.73839E-03, 4.05137E-03, 1.49503E-04, 1.46276E-04, 1.08050E-04, 1.44973E-02
43, 3.98984E-03, 5.64014E-03, 5.70165E-03, 4.06391E-03, 1.50299E-04, 1.47161E-04, 1.08544E-04, 1.23728E-02
44, 3.83493E-03, 5.57347E-03, 5.65588E-03, 4.03672E-03, 1.51135E-04, 1.48070E-04, 1.09000E-04, 1.34862E-02
45, 3.63283E-03, 5.56911E-03, 5.66980E-03, 3.96240E-03, 1.51980E-04, 1.48987E-04, 1.09428E-04, 1.53971E-02
46, 3.39467E-03, 5.52910E-03, 5.74778E-03, 3.84560E-03, 1.52820E-04, 1.49879E-04, 1.09844E-04, 1.77686E-02
47, 3.41257E-03, 5.45397E-03, 5.80914E-03, 3.69195E-03, 1.53647E-04, 1.50766E-04, 1.10234E-04, 1.95748E-02
48, 3.38880E-03, 5.36532E-03, 5.85425E-03, 3.50773E-03, 1.54473E-04, 1.51645E-04, 1.10614E-04, 2.14447E-02
49, 3.31609E-03, 5.27360E-03, 5.88362E-03, 3.31028E-03, 1.55304E-04, 1.52520E-04, 1.10980E-04, 2.28317E-02
50, 3.19700E-03, 5.30321E-03, 5.89788E-03, 3.12086E-03, 1.56165E-04, 1.53399E-04, 1.11307E-04, 2.46892E-02
51, 3.26577E-03, 5.29866E-03, 5.89778E-03, 2.91089E-03, 1.57032E-04, 1.54257E-04, 1.11606E-04, 2.64097E-02
52, 3.32211E-03, 5.26009E-03, 5.88415E-03, 2.68608E-03, 1.57877E-04, 1.55084E-04, 1.11871E-04, 2.79145E-02
53, 3.32281E-03, 5.18810E-03, 5.85792E-03, 2.62416E-03, 1.58734E-04, 1.55880E-04, 1.12122E-04, 2.91157E-02
54, 3.27180E-03, 5.08378E-03, 5.88378E-03, 2.67196E-03, 1.59617E-04, 1.56642E-04, 1.12342E-04, 2.99192E-02
55, 3.17388E-03, 4.94863E-03, 5.91723E-03, 2.71997E-03, 1.60510E-04, 1.57390E-04, 1.12545E-04, 3.02282E-02
56, 3.03451E-03, 4.97673E-03, 5.93586E-03, 3.01896E-03, 1.61412E-04, 1.58146E-04, 1.12747E-04, 2.99496E-02
57, 2.85957E-03, 4.97540E-03, 5.94028E-03, 3.33828E-03, 1.62343E-04, 1.58908E-04, 1.12932E-04, 2.90005E-02
