time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,         NaN
1, 1.55371E-04, 1.12168E-04, 1.49107E-04, 1.42344E-03, 1.88308E-06, 2.01894E-06, 1.52962E-06, 5.91905E-01
2, 1.66565E-04, 1.18043E-04, 1.39718E-04, 2.10407E-03, 2.53152E-06, 2.70715E-06, 2.11874E-06, 3.49616E-01
3, 1.77036E-04, 1.27324E-04, 1.39178E-04, 2.41912E-03, 3.29847E-06, 3.52419E-06, 2.81929E-06, 2.43335E-01
4, 1.86512E-04, 1.37421E-04, 1.40428E-04, 2.66755E-03, 4.07749E-06, 4.35786E-06, 3.54040E-06, 2.06030E-01
5, 1.93997E-04, 1.46329E-04, 1.41920E-04, 2.60834E-03, 4.80792E-06, 5.13962E-06, 4.22460E-06, 1.62747E-01
6, 1.99213E-04, 1.52807E-04, 1.43190E-04, 2.64234E-03, 5.45876E-06, 5.83970E-06, 4.83730E-06, 1.64406E-01
7, 2.02462E-04, 1.56353E-04, 1.43631E-04, 2.59575E-03, 6.02330E-06, 6.45843E-06, 5.36650E-06, 1.96119E-01
8, 2.04363E-04, 1.58150E-04, 1.43702E-04, 2.40051E-03, 6.51822E-06, 7.00208E-06, 5.80994E-06, 2.29384E-01
9, 2.05594E-04, 1.56518E-04, 1.42453E-04, 2.25086E-03, 6.96092E-06, 7.47977E-06, 6.17754E-06, 2.39489E-01
10, 2.06698E-04, 1.52406E-04, 1.40478E-04, 2.14839E-03, 7.36731E-06, 7.90325E-06, 6.48431E-06, 2.30428E-01
11, 2.08008E-04, 1.46886E-04, 1.38378E-04, 2.46820E-03, 7.75167E-06, 8.28479E-06, 6.74002E-06, 2.09609E-01
12, 2.09651E-04, 1.40932E-04, 1.36550E-04, 2.71875E-03, 8.11946E-06, 8.63507E-06, 6.94995E-06, 1.78204E-01
13, 2.11606E-04, 1.35336E-04, 1.35169E-04, 2.85625E-03, 8.46673E-06, 8.96400E-06, 7.12253E-06, 1.61465E-01
14, 2.13775E-04, 1.30686E-04, 1.34246E-04, 2.86954E-03, 8.79122E-06, 9.28056E-06, 7.26170E-06, 1.78219E-01
15, 2.16046E-04, 1.27383E-04, 1.33700E-04, 2.76037E-03, 9.08635E-06, 9.59653E-06, 7.37071E-06, 1.82096E-01
16, 2.18331E-04, 1.25660E-04, 1.33418E-04, 2.54192E-03, 9.34488E-06, 9.91134E-06, 7.45177E-06, 1.72617E-01
17, 2.20586E-04, 1.25606E-04, 1.33297E-04, 2.23576E-03, 9.55541E-06, 1.02156E-05, 7.50601E-06, 1.52623E-01
18, 2.22812E-04, 1.27175E-04, 1.33261E-04, 1.86829E-03, 9.70669E-06, 1.04986E-05, 7.53041E-06, 1.55357E-01
19, 2.25045E-04, 1.30193E-04, 1.33262E-04, 1.46705E-03, 9.79220E-06, 1.07500E-05, 7.52103E-06, 1.69525E-01
20, 2.27335E-04, 1.34378E-04, 1.33274E-04, 1.33791E-03, 9.80676E-06, 1.09603E-05, 7.47392E-06, 1.72905E-01
21, 2.29729E-04, 1.39361E-04, 1.33275E-04, 1.38938E-03, 9.75254E-06, 1.11232E-05, 7.38913E-06, 1.67207E-01
22, 2.32251E-04, 1.44724E-04, 1.33245E-04, 1.34409E-03, 9.63434E-06, 1.12350E-05, 7.26872E-06, 1.54652E-01
23, 2.34892E-04, 1.50041E-04, 1.33161E-04, 1.20834E-03, 9.45689E-06, 1.12936E-05, 7.11797E-06, 1.37586E-01
24, 2.37609E-04, 1.54919E-04, 1.32992E-04, 1.23594E-03, 9.22938E-06, 1.12998E-05, 6.94217E-06, 1.18177E-01
25, 2.40326E-04, 1.59037E-04, 1.32712E-04, 1.37597E-03, 8.95900E-06, 1.12549E-05, 6.74435E-06, 1.18561E-01
26, 2.42949E-04, 1.62167E-04, 1.32300E-04, 1.54920E-03, 8.65452E-06, 1.11603E-05, 6.53031E-06, 1.38682E-01
27, 2.45382E-04, 1.64188E-04, 1.31752E-04, 1.67318E-03, 8.32459E-06, 1.10179E-05, 6.30491E-06, 1.51120E-01
28, 2.47542E-04, 1.65079E-04, 1.31077E-04, 1.75291E-03, 7.97589E-06, 1.08305E-05, 6.07462E-06, 1.55800E-01
29, 2.49372E-04, 1.64908E-04, 1.30301E-04, 1.79442E-03, 7.62228E-06, 1.06010E-05, 5.84928E-06, 1.53052E-01
30, 2.50850E-04, 1.63811E-04, 1.29460E-04, 1.80398E-03, 7.28103E-06, 1.03347E-05, 5.63864E-06, 1.43572E-01
31, 2.51989E-04, 1.61970E-04, 1.28595E-04, 1.79248E-03, 6.97109E-06, 1.00390E-05, 5.44326E-06, 1.28373E-01
32, 2.52835E-04, 1.59589E-04, 1.27743E-04, 1.85758E-03, 6.69435E-06, 9.72024E-06, 5.26346E-06, 1.08723E-01
33, 2.53461E-04, 1.56880E-04, 1.26935E-04, 1.87997E-03, 6.45321E-06, 9.38915E-06, 5.10190E-06, 8.60597E-02
34, 2.53951E-04, 1.54890E-04, 1.26186E-04, 1.95144E-03, 6.25135E-06, 9.05684E-06, 4.95906E-06, 6.18947E-02
35, 2.54398E-04, 1.53420E-04, 1.25499E-04, 2.04179E-03, 6.08577E-06, 8.73471E-06, 4.83853E-06, 5.86786E-02
36, 2.54887E-04, 1.52021E-04, 1.24863E-04, 2.07852E-03, 5.95149E-06, 8.42729E-06, 4.74138E-06, 5.82328E-02
37, 2.55493E-04, 1.50793E-04, 1.24260E-04, 2.06748E-03, 5.84115E-06, 8.13782E-06, 4.66670E-06, 5.79642E-02
38, 2.56271E-04, 1.49803E-04, 1.23663E-04, 2.01659E-03, 5.75086E-06, 7.86587E-06, 4.61099E-06, 6.90348E-02
39, 2.57260E-04, 1.49089E-04, 1.23047E-04, 1.93501E-03, 5.67815E-06, 7.61086E-06, 4.57232E-06, 7.65145E-02
40, 2.58474E-04, 1.48659E-04, 1.22392E-04, 1.83241E-03, 5.62179E-06, 7.37256E-06, 4.54823E-06, 8.00694E-02
41, 2.60443E-04, 1.48499E-04, 1.21681E-04, 1.71819E-03, 5.58366E-06, 7.15121E-06, 4.53743E-06, 7.96240E-02
42, 2.62663E-04, 1.48575E-04, 1.20907E-04, 1.60941E-03, 5.56491E-06, 6.94901E-06, 4.53818E-06, 8.03987E-02
43, 2.65280E-04, 1.48836E-04, 1.20072E-04, 1.61041E-03, 5.56790E-06, 6.77027E-06, 4.55045E-06, 8.46493E-02
44, 2.69075E-04, 1.49224E-04, 1.19180E-04, 1.60498E-03, 5.59698E-06, 6.61758E-06, 4.57459E-06, 8.74291E-02
45, 2.72925E-04, 1.49675E-04, 1.18245E-04, 1.57695E-03, 5.65561E-06, 6.49523E-06, 4.61196E-06, 8.85777E-02
46, 2.76769E-04, 1.50129E-04, 1.17280E-04, 1.52322E-03, 5.74528E-06, 6.40550E-06, 4.66494E-06, 8.79841E-02
47, 2.80544E-04, 1.50530E-04, 1.16299E-04, 1.44571E-03, 5.85854E-06, 6.34941E-06, 4.73361E-06, 8.55934E-02
48, 2.84194E-04, 1.50831E-04, 1.15316E-04, 1.34730E-03, 5.98584E-06, 6.32607E-06, 4.81493E-06, 8.14118E-02
49, 2.87667E-04, 1.50999E-04, 1.14339E-04, 1.36327E-03, 6.12136E-06, 6.33539E-06, 4.90649E-06, 7.55091E-02
50, 2.90924E-04, 1.51014E-04, 1.13677E-04, 1.52276E-03, 6.26207E-06, 6.37417E-06, 5.00638E-06, 6.80185E-02
