time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,         NaN
1, 2.38167E-04, 1.44557E-04, 1.04984E-04, 3.27008E-03, 1.05605E-05, 8.23029E-06, 7.04404E-06, 1.35979E+00
2, 2.33719E-04, 1.52425E-04, 1.00400E-04, 2.85286E-03, 1.01097E-05, 7.93189E-06, 6.63539E-06, 1.26129E+00
3, 2.35597E-04, 1.58702E-04, 9.41613E-05, 2.59592E-03, 9.91121E-06, 7.85292E-06, 6.44286E-06, 2.10665E-01
4, 2.34575E-04, 1.63610E-04, 8.79958E-05, 1.80468E-03, 9.90854E-06, 7.98288E-06, 6.39166E-06, 3.41860E-01
5, 2.32481E-04, 1.66338E-04, 8.73244E-05, 1.32209E-03, 9.95234E-06, 8.12951E-06, 6.36033E-06, 3.85737E-01
6, 2.31016E-04, 1.67415E-04, 8.73249E-05, 1.19604E-03, 9.97306E-06, 8.22044E-06, 6.32482E-06, 3.05707E-01
7, 2.30835E-04, 1.67390E-04, 8.56718E-05, 1.04725E-03, 9.96045E-06, 8.25158E-06, 6.29557E-06, 2.28504E-01
8, 2.35204E-04, 1.66711E-04, 8.27688E-05, 9.56289E-04, 9.92685E-06, 8.21978E-06, 6.26542E-06, 1.95511E-01
9, 2.41567E-04, 1.65720E-04, 8.37782E-05, 8.57032E-04, 9.89776E-06, 8.14206E-06, 6.23087E-06, 1.68642E-01
10, 2.47655E-04, 1.64664E-04, 8.56785E-05, 7.34455E-04, 9.87768E-06, 8.04128E-06, 6.19508E-06, 1.60554E-01
11, 2.53184E-04, 1.63708E-04, 8.71655E-05, 8.24102E-04, 9.85800E-06, 7.93199E-06, 6.15885E-06, 1.40036E-01
12, 2.57913E-04, 1.62932E-04, 8.80322E-05, 9.53533E-04, 9.83548E-06, 7.82968E-06, 6.13001E-06, 1.13746E-01
13, 2.61680E-04, 1.62348E-04, 8.82867E-05, 9.69774E-04, 9.80590E-06, 7.74281E-06, 6.10720E-06, 1.02753E-01
14, 2.64458E-04, 1.62308E-04, 8.80545E-05, 8.78554E-04, 9.76338E-06, 7.66878E-06, 6.08378E-06, 9.39142E-02
15, 2.66372E-04, 1.63719E-04, 8.74869E-05, 7.03541E-04, 9.70197E-06, 7.60021E-06, 6.05736E-06, 8.98654E-02
16, 2.67666E-04, 1.65912E-04, 8.67027E-05, 5.93091E-04, 9.62690E-06, 7.54188E-06, 6.02187E-06, 9.47727E-02
17, 2.68631E-04, 1.68069E-04, 8.57689E-05, 5.53405E-04, 9.54406E-06, 7.49732E-06, 5.98103E-06, 1.00788E-01
18, 2.69522E-04, 1.70204E-04, 8.47076E-05, 6.27090E-04, 9.45670E-06, 7.46696E-06, 5.93530E-06, 9.36626E-02
19, 2.72648E-04, 1.72319E-04, 8.35146E-05, 6.95819E-04, 9.37073E-06, 7.45041E-06, 5.89070E-06, 7.69333E-02
20, 2.77215E-04, 1.74399E-04, 8.21779E-05, 7.15246E-04, 9.29594E-06, 7.44713E-06, 5.85471E-06, 6.01016E-02
21, 2.81706E-04, 1.76413E-04, 8.06901E-05, 6.85785E-04, 9.23369E-06, 7.45278E-06, 5.83072E-06, 5.04209E-02
22, 2.86037E-04, 1.78318E-04, 7.90539E-05, 6.11767E-04, 9.17984E-06, 7.45709E-06, 5.81762E-06, 5.97543E-02
23, 2.90079E-04, 1.80071E-04, 7.83475E-05, 5.00478E-04, 9.13389E-06, 7.45590E-06, 5.80857E-06, 6.73513E-02
24, 2.96190E-04, 1.81637E-04, 7.81431E-05, 4.35220E-04, 9.09887E-06, 7.44731E-06, 5.80047E-06, 6.83229E-02
25, 3.03878E-04, 1.82990E-04, 7.77716E-05, 3.57195E-04, 9.07109E-06, 7.42784E-06, 5.78853E-06, 6.65689E-02
26, 3.10849E-04, 1.84124E-04, 7.72575E-05, 3.13393E-04, 9.04606E-06, 7.39728E-06, 5.77279E-06, 6.97788E-02
27, 3.17075E-04, 1.85043E-04, 7.88771E-05, 3.12472E-04, 9.01956E-06, 7.35996E-06, 5.75361E-06, 6.88740E-02
28, 3.22568E-04, 1.85767E-04, 8.11329E-05, 3.44367E-04, 8.99070E-06, 7.31932E-06, 5.73234E-06, 6.42689E-02
29, 3.27360E-04, 1.86319E-04, 8.37454E-05, 4.09255E-04, 8.96266E-06, 7.27862E-06, 5.70954E-06, 5.64938E-02
30, 3.31500E-04, 1.86729E-04, 8.66828E-05, 5.18450E-04, 8.93614E-06, 7.23913E-06, 5.68616E-06, 4.61399E-02
31, 3.35037E-04, 1.87025E-04, 8.98693E-05, 5.98649E-04, 8.91012E-06, 7.20105E-06, 5.66249E-06, 3.45597E-02
32, 3.38021E-04, 1.87229E-04, 9.31993E-05, 6.46777E-04, 8.88638E-06, 7.16543E-06, 5.64048E-06, 2.88689E-02
33, 3.44753E-04, 1.87568E-04, 9.65544E-05, 6.61334E-04, 8.86497E-06, 7.13571E-06, 5.62216E-06, 2.75999E-02
34, 3.53424E-04, 1.88017E-04, 9.98208E-05, 6.42456E-04, 8.84594E-06, 7.11279E-06, 5.60804E-06, 2.65071E-02
35, 3.61885E-04, 1.88399E-04, 1.02903E-04, 5.91950E-04, 8.83117E-06, 7.09602E-06, 5.59636E-06, 2.76297E-02
36, 3.70104E-04, 1.88702E-04, 1.05734E-04, 5.13284E-04, 8.82146E-06, 7.08453E-06, 5.58539E-06, 3.37129E-02
37, 3.78049E-04, 1.88908E-04, 1.08279E-04, 4.11468E-04, 8.80981E-06, 7.07696E-06, 5.57555E-06, 4.35682E-02
38, 3.85694E-04, 1.89001E-04, 1.10534E-04, 2.92835E-04, 8.79455E-06, 7.07391E-06, 5.56413E-06, 5.07287E-02
39, 3.93012E-04, 1.88963E-04, 1.12523E-04, 2.47877E-04, 8.77176E-06, 7.07262E-06, 5.54967E-06, 5.47780E-02
40, 3.99980E-04, 1.88779E-04, 1.14286E-04, 2.22468E-04, 8.74029E-06, 7.07022E-06, 5.53176E-06, 5.54949E-02
41, 4.06577E-04, 1.88440E-04, 1.15874E-04, 2.02905E-04, 8.69894E-06, 7.06487E-06, 5.51049E-06, 5.28842E-02
42, 4.12790E-04, 1.87938E-04, 1.17338E-04, 1.99403E-04, 8.64990E-06, 7.05577E-06, 5.48656E-06, 4.71861E-02
43, 4.18613E-04, 1.88196E-04, 1.18721E-04, 2.90432E-04, 8.59644E-06, 7.04437E-06, 5.46187E-06, 3.88626E-02
44, 4.24047E-04, 1.90153E-04, 1.20059E-04, 3.57411E-04, 8.54198E-06, 7.03147E-06, 5.43796E-06, 2.85612E-02
45, 4.31270E-04, 1.91965E-04, 1.21369E-04, 3.97550E-04, 8.48973E-06, 7.02121E-06, 5.41594E-06, 1.70611E-02
46, 4.40987E-04, 1.93635E-04, 1.22659E-04, 4.10033E-04, 8.44811E-06, 7.01556E-06, 5.39994E-06, 1.48273E-02
47, 4.50451E-04, 1.95167E-04, 1.23921E-04, 3.96001E-04, 8.41579E-06, 7.01234E-06, 5.38774E-06, 1.33691E-02
48, 4.59681E-04, 1.96565E-04, 1.25142E-04, 3.58379E-04, 8.39027E-06, 7.01128E-06, 5.37760E-06, 1.62807E-02
49, 4.68698E-04, 1.97829E-04, 1.26302E-04, 3.01566E-04, 8.36930E-06, 7.00879E-06, 5.36743E-06, 2.45134E-02
