time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,         NaN
1, 2.56004E-04, 1.54075E-04, 1.35465E-04, 8.61522E-03, 1.01392E-05, 8.06080E-06, 6.65714E-06, 3.58244E+00
2, 2.81679E-04, 1.92244E-04, 1.40991E-04, 1.59859E-04, 1.06115E-05, 8.67039E-06, 6.86862E-06, 3.60660E+00
3, 2.28613E-04, 1.59447E-04, 9.13673E-05, 1.71235E-04, 9.73833E-06, 7.63251E-06, 6.11475E-06, 1.21068E-01
4, 2.29891E-04, 1.58891E-04, 9.01973E-05, 7.50756E-05, 9.71524E-06, 7.62729E-06, 6.08247E-06, 8.17611E-02
5, 2.32490E-04, 1.60159E-04, 8.88856E-05, 6.77339E-05, 9.67287E-06, 7.59728E-06, 6.06568E-06, 2.21114E-02
6, 2.34657E-04, 1.60949E-04, 8.74198E-05, 6.80877E-05, 9.63980E-06, 7.58036E-06, 6.04402E-06, 5.46856E-03
7, 2.36437E-04, 1.61708E-04, 8.61087E-05, 6.76017E-05, 9.60505E-06, 7.55994E-06, 6.02338E-06, 2.16443E-03
8, 2.41213E-04, 1.62390E-04, 8.66669E-05, 6.73566E-05, 9.57079E-06, 7.54081E-06, 6.00311E-06, 6.57445E-04
9, 2.46097E-04, 1.62936E-04, 8.70815E-05, 6.73708E-05, 9.53648E-06, 7.52105E-06, 5.98363E-06, 6.69105E-04
10, 2.50626E-04, 1.63347E-04, 8.73506E-05, 6.79079E-05, 9.50323E-06, 7.50147E-06, 5.96423E-06, 6.47696E-04
11, 2.54786E-04, 1.63624E-04, 8.74726E-05, 6.83864E-05, 9.46955E-06, 7.48211E-06, 5.94499E-06, 6.41926E-04
12, 2.58568E-04, 1.63766E-04, 8.74460E-05, 6.88032E-05, 9.43668E-06, 7.46314E-06, 5.92573E-06, 6.33909E-04
13, 2.61962E-04, 1.63773E-04, 8.72701E-05, 6.91566E-05, 9.40420E-06, 7.44517E-06, 5.90685E-06, 6.31811E-04
