time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,         NaN
1, 2.38167E-04, 1.44557E-04, 1.04984E-04, 4.61509E-03, 1.05605E-05, 8.23029E-06, 7.04404E-06, 4.61509E-03
2, 2.35525E-04, 1.49834E-04, 1.02349E-04, 2.00165E-03, 1.02878E-05, 8.04165E-06, 6.79767E-06, 2.00165E-03
3, 2.34993E-04, 1.53037E-04, 9.95310E-05, 1.40774E-03, 1.01117E-05, 7.92462E-06, 6.63863E-06, 1.40774E-03
4, 2.37376E-04, 1.55602E-04, 9.68418E-05, 1.01266E-03, 9.98595E-06, 7.84328E-06, 6.52628E-06, 1.01266E-03
5, 2.39266E-04, 1.57681E-04, 9.42388E-05, 7.44894E-04, 9.89071E-06, 7.78347E-06, 6.44021E-06, 7.44894E-04
6, 2.40802E-04, 1.59389E-04, 9.17013E-05, 5.59973E-04, 9.81288E-06, 7.73580E-06, 6.36958E-06, 5.59973E-04
7, 2.43964E-04, 1.60798E-04, 8.92007E-05, 4.29851E-04, 9.74688E-06, 7.69720E-06, 6.30977E-06, 4.29851E-04
8, 2.48349E-04, 1.61958E-04, 8.92451E-05, 3.71786E-04, 9.68916E-06, 7.66441E-06, 6.25633E-06, 3.71786E-04
9, 2.52545E-04, 1.62902E-04, 8.92647E-05, 3.30647E-04, 9.63870E-06, 7.63480E-06, 6.20853E-06, 3.30647E-04
10, 2.56503E-04, 1.63652E-04, 8.91947E-05, 2.94723E-04, 9.59293E-06, 7.60739E-06, 6.16548E-06, 2.94723E-04
11, 2.60181E-04, 1.64225E-04, 8.90269E-05, 2.69060E-04, 9.55026E-06, 7.58129E-06, 6.12617E-06, 2.69060E-04
12, 2.63552E-04, 1.64632E-04, 8.87533E-05, 2.46380E-04, 9.51019E-06, 7.55740E-06, 6.08988E-06, 2.46380E-04
13, 2.66590E-04, 1.64880E-04, 8.83663E-05, 2.25811E-04, 9.47092E-06, 7.53502E-06, 6.05573E-06, 2.25811E-04
14, 2.69278E-04, 1.64975E-04, 8.78601E-05, 2.07286E-04, 9.43382E-06, 7.51398E-06, 6.02362E-06, 2.07286E-04
15, 2.71600E-04, 1.65643E-04, 8.72297E-05, 1.90679E-04, 9.39732E-06, 7.49360E-06, 5.99327E-06, 1.90679E-04
16, 2.73545E-04, 1.68061E-04, 8.64714E-05, 1.76731E-04, 9.36099E-06, 7.47326E-06, 5.96476E-06, 1.76731E-04
17, 2.75104E-04, 1.70358E-04, 8.55828E-05, 1.64332E-04, 9.32602E-06, 7.45359E-06, 5.93731E-06, 1.64332E-04
18, 2.76271E-04, 1.72535E-04, 8.45623E-05, 1.53079E-04, 9.29129E-06, 7.43423E-06, 5.91126E-06, 1.53079E-04
19, 2.77772E-04, 1.74591E-04, 8.34093E-05, 1.42890E-04, 9.25668E-06, 7.41509E-06, 5.88665E-06, 1.42890E-04
20, 2.81636E-04, 1.76524E-04, 8.21241E-05, 1.33679E-04, 9.22269E-06, 7.39623E-06, 5.86312E-06, 1.33679E-04
21, 2.85135E-04, 1.78333E-04, 8.07076E-05, 1.25360E-04, 9.18967E-06, 7.37808E-06, 5.84053E-06, 1.25360E-04
22, 2.88261E-04, 1.80016E-04, 7.91615E-05, 1.19674E-04, 9.15719E-06, 7.36015E-06, 5.81900E-06, 1.19674E-04
23, 2.91007E-04, 1.81572E-04, 7.78921E-05, 1.17950E-04, 9.12466E-06, 7.34294E-06, 5.79817E-06, 1.17950E-04
24, 2.97678E-04, 1.82999E-04, 7.76716E-05, 1.16746E-04, 9.09256E-06, 7.32576E-06, 5.77762E-06, 1.16746E-04
25, 3.04303E-04, 1.84295E-04, 7.72989E-05, 1.15519E-04, 9.06328E-06, 7.30918E-06, 5.75714E-06, 1.15519E-04
26, 3.10527E-04, 1.85460E-04, 7.92888E-05, 1.14261E-04, 9.03452E-06, 7.29243E-06, 5.73778E-06, 1.14261E-04
27, 3.16336E-04, 1.86490E-04, 8.19332E-05, 1.14162E-04, 9.00489E-06, 7.27542E-06, 5.71900E-06, 1.14162E-04
28, 3.21717E-04, 1.87386E-04, 8.45819E-05, 1.14413E-04, 8.97454E-06, 7.25817E-06, 5.70035E-06, 1.14413E-04
29, 3.26656E-04, 1.88145E-04, 8.72294E-05, 1.14584E-04, 8.94432E-06, 7.24135E-06, 5.68205E-06, 1.14584E-04
30, 3.31145E-04, 1.88766E-04, 8.98703E-05, 1.14673E-04, 8.91434E-06, 7.22518E-06, 5.66384E-06, 1.14673E-04
31, 3.35173E-04, 1.89249E-04, 9.24987E-05, 1.14679E-04, 8.88454E-06, 7.20913E-06, 5.64550E-06, 1.14679E-04
32, 3.38734E-04, 1.89837E-04, 9.51086E-05, 1.14601E-04, 8.85568E-06, 7.19349E-06, 5.62698E-06, 1.14601E-04
33, 3.41821E-04, 1.90347E-04, 9.76939E-05, 1.14438E-04, 8.82609E-06, 7.17842E-06, 5.60897E-06, 1.14438E-04
34, 3.44431E-04, 1.90724E-04, 1.00248E-04, 1.14188E-04, 8.79666E-06, 7.16384E-06, 5.59159E-06, 1.14188E-04
35, 3.51978E-04, 1.90967E-04, 1.02765E-04, 1.13853E-04, 8.76760E-06, 7.14930E-06, 5.57468E-06, 1.13853E-04
