time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,         NaN
1, 2.56004E-04, 1.54075E-04, 1.35465E-04, 1.21588E-02, 1.01392E-05, 8.06080E-06, 6.65714E-06, 1.21588E-02
2, 2.29236E-04, 1.56313E-04, 9.22675E-05, 2.25160E-04, 9.78206E-06, 7.66924E-06, 6.12590E-06, 2.25160E-04
3, 2.27654E-04, 1.58196E-04, 9.12615E-05, 1.03428E-04, 9.74132E-06, 7.64084E-06, 6.10731E-06, 1.03428E-04
4, 2.30106E-04, 1.59153E-04, 9.01106E-05, 9.58058E-05, 9.70742E-06, 7.62195E-06, 6.08522E-06, 9.58058E-05
5, 2.32623E-04, 1.60222E-04, 8.87969E-05, 9.52164E-05, 9.67236E-06, 7.60160E-06, 6.06422E-06, 9.52164E-05
6, 2.34792E-04, 1.61172E-04, 8.73257E-05, 9.49491E-05, 9.63771E-06, 7.58191E-06, 6.04353E-06, 9.49491E-05
7, 2.36612E-04, 1.61990E-04, 8.61161E-05, 9.45400E-05, 9.60338E-06, 7.56226E-06, 6.02287E-06, 9.45400E-05
8, 2.41661E-04, 1.62676E-04, 8.66673E-05, 9.40335E-05, 9.56897E-06, 7.54274E-06, 6.00256E-06, 9.40335E-05
9, 2.46529E-04, 1.63229E-04, 8.70752E-05, 9.45632E-05, 9.53462E-06, 7.52299E-06, 5.98303E-06, 9.45632E-05
10, 2.51041E-04, 1.63648E-04, 8.73379E-05, 9.51300E-05, 9.50132E-06, 7.50334E-06, 5.96370E-06, 9.51300E-05
11, 2.55184E-04, 1.63932E-04, 8.74536E-05, 9.56102E-05, 9.46768E-06, 7.48394E-06, 5.94457E-06, 9.56102E-05
12, 2.58948E-04, 1.64082E-04, 8.74211E-05, 9.60018E-05, 9.43497E-06, 7.46506E-06, 5.92534E-06, 9.60018E-05
13, 2.62324E-04, 1.64096E-04, 8.72396E-05, 9.63032E-05, 9.40242E-06, 7.44703E-06, 5.90649E-06, 9.63032E-05
14, 2.65305E-04, 1.63982E-04, 8.69085E-05, 9.65129E-05, 9.36972E-06, 7.42945E-06, 5.88780E-06, 9.65129E-05
15, 2.67885E-04, 1.64933E-04, 8.64279E-05, 9.66296E-05, 9.33724E-06, 7.41148E-06, 5.86897E-06, 9.66296E-05
16, 2.70058E-04, 1.67268E-04, 8.57982E-05, 9.66525E-05, 9.30420E-06, 7.39348E-06, 5.85030E-06, 9.66525E-05
17, 2.71821E-04, 1.69497E-04, 8.50202E-05, 9.65810E-05, 9.27163E-06, 7.37587E-06, 5.83189E-06, 9.65810E-05
18, 2.73172E-04, 1.71618E-04, 8.40950E-05, 9.64147E-05, 9.23854E-06, 7.35836E-06, 5.81346E-06, 9.64147E-05
19, 2.75223E-04, 1.73628E-04, 8.30245E-05, 9.61536E-05, 9.20494E-06, 7.34075E-06, 5.79559E-06, 9.61536E-05
20, 2.79281E-04, 1.75523E-04, 8.18106E-05, 9.57979E-05, 9.17216E-06, 7.32349E-06, 5.77790E-06, 9.57979E-05
21, 2.82962E-04, 1.77301E-04, 8.04560E-05, 9.53482E-05, 9.14139E-06, 7.30627E-06, 5.76058E-06, 9.53482E-05
22, 2.86260E-04, 1.78959E-04, 7.89635E-05, 9.48054E-05, 9.11012E-06, 7.28947E-06, 5.74353E-06, 9.48054E-05
23, 2.89170E-04, 1.80496E-04, 7.83009E-05, 9.52735E-05, 9.07891E-06, 7.27377E-06, 5.72654E-06, 9.52735E-05
24, 2.94261E-04, 1.81908E-04, 7.81606E-05, 9.62485E-05, 9.04778E-06, 7.25791E-06, 5.70941E-06, 9.62485E-05
25, 3.01035E-04, 1.83194E-04, 7.78625E-05, 9.71440E-05, 9.01864E-06, 7.24201E-06, 5.69264E-06, 9.71440E-05
26, 3.07404E-04, 1.84351E-04, 7.81264E-05, 9.79571E-05, 8.99026E-06, 7.22589E-06, 5.67617E-06, 9.79571E-05
27, 3.13354E-04, 1.85378E-04, 8.07235E-05, 9.86850E-05, 8.96117E-06, 7.20976E-06, 5.65989E-06, 9.86850E-05
28, 3.18872E-04, 1.86273E-04, 8.33219E-05, 9.93249E-05, 8.93119E-06, 7.19375E-06, 5.64345E-06, 9.93249E-05
29, 3.23946E-04, 1.87034E-04, 8.59161E-05, 9.98747E-05, 8.90034E-06, 7.17775E-06, 5.62703E-06, 9.98747E-05
30, 3.28565E-04, 1.87660E-04, 8.85007E-05, 1.00332E-04, 8.87053E-06, 7.16205E-06, 5.61053E-06, 1.00332E-04
31, 3.32720E-04, 1.88149E-04, 9.10698E-05, 1.00695E-04, 8.84077E-06, 7.14667E-06, 5.59387E-06, 1.00695E-04
32, 3.37585E-04, 1.88500E-04, 9.36175E-05, 1.00963E-04, 8.81130E-06, 7.13142E-06, 5.57702E-06, 1.00963E-04
33, 3.45606E-04, 1.89008E-04, 9.61377E-05, 1.01134E-04, 8.78270E-06, 7.11682E-06, 5.56046E-06, 1.01134E-04
34, 3.53482E-04, 1.89404E-04, 9.86241E-05, 1.01207E-04, 8.75307E-06, 7.10280E-06, 5.54429E-06, 1.01207E-04
35, 3.61198E-04, 1.89667E-04, 1.01070E-04, 1.01182E-04, 8.72389E-06, 7.08938E-06, 5.52833E-06, 1.01182E-04
36, 3.68741E-04, 1.89795E-04, 1.03470E-04, 1.01058E-04, 8.69849E-06, 7.07634E-06, 5.51267E-06, 1.01058E-04
37, 3.76095E-04, 1.89787E-04, 1.05817E-04, 1.00835E-04, 8.67324E-06, 7.06287E-06, 5.49766E-06, 1.00835E-04
38, 3.83247E-04, 1.89643E-04, 1.08103E-04, 1.00514E-04, 8.64702E-06, 7.04963E-06, 5.48275E-06, 1.00514E-04
39, 3.90182E-04, 1.89361E-04, 1.10324E-04, 1.00095E-04, 8.61971E-06, 7.03644E-06, 5.46826E-06, 1.00095E-04
40, 3.96887E-04, 1.88942E-04, 1.12471E-04, 9.95788E-05, 8.59374E-06, 7.02348E-06, 5.45366E-06, 9.95788E-05
41, 4.03347E-04, 1.88384E-04, 1.14539E-04, 9.89672E-05, 8.56613E-06, 7.01028E-06, 5.43901E-06, 9.89672E-05
42, 4.09549E-04, 1.87688E-04, 1.16520E-04, 9.82613E-05, 8.53793E-06, 6.99687E-06, 5.42441E-06, 9.82613E-05
