time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_star, rel_err_v_star, rel_err_w_star, rel_err_dp
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
1, 1.02499E-03, 6.18348E-04, 5.46469E-04, 1.60423E-02, 4.04328E-05, 3.20883E-05, 2.65559E-05, 2.42451E-03
2, 1.11634E-03, 7.77825E-04, 5.56643E-04, 6.72013E-04, 4.21073E-05, 3.44715E-05, 2.73108E-05, 5.81307E-05
3, 9.40477E-04, 6.57344E-04, 3.54559E-04, 6.70097E-04, 3.84978E-05, 3.01804E-05, 2.42388E-05, 6.75765E-05
4, 9.65248E-04, 6.48918E-04, 3.52041E-04, 3.02235E-04, 3.83226E-05, 3.01511E-05, 2.39774E-05, 2.70741E-05
5, 9.95185E-04, 6.53435E-04, 3.54648E-04, 2.76422E-04, 3.79788E-05, 2.98946E-05, 2.38500E-05, 2.46766E-05
6, 1.02510E-03, 6.54433E-04, 3.54712E-04, 2.95200E-04, 3.77281E-05, 2.97774E-05, 2.36872E-05, 2.66049E-05
7, 1.04891E-03, 6.52806E-04, 3.52341E-04, 2.98167E-04, 3.74641E-05, 2.96194E-05, 2.35347E-05, 2.72247E-05
8, 1.06631E-03, 6.71312E-04, 3.47510E-04, 3.00648E-04, 3.72015E-05, 2.94825E-05, 2.33828E-05, 2.75563E-05
9, 1.07932E-03, 6.88526E-04, 3.40232E-04, 3.04505E-04, 3.69419E-05, 2.93401E-05, 2.32377E-05, 2.94412E-05
10, 1.11211E-03, 7.03863E-04, 3.30566E-04, 3.06882E-04, 3.66795E-05, 2.92027E-05, 2.30956E-05, 3.13776E-05
11, 1.13884E-03, 7.17301E-04, 3.19566E-04, 3.08052E-04, 3.64234E-05, 2.90660E-05, 2.29575E-05, 3.33916E-05
12, 1.17695E-03, 7.28751E-04, 3.18851E-04, 3.16008E-04, 3.61726E-05, 2.89383E-05, 2.28190E-05, 3.56586E-05
13, 1.22792E-03, 7.38139E-04, 3.15517E-04, 3.25565E-04, 3.59401E-05, 2.88116E-05, 2.26845E-05, 3.81347E-05
14, 1.27207E-03, 7.45404E-04, 3.28417E-04, 3.34243E-04, 3.57035E-05, 2.86804E-05, 2.25517E-05, 4.08025E-05
15, 1.30903E-03, 7.50494E-04, 3.49267E-04, 3.41986E-04, 3.54607E-05, 2.85540E-05, 2.24185E-05, 4.36652E-05
16, 1.35599E-03, 7.53785E-04, 3.69852E-04, 3.48734E-04, 3.52218E-05, 2.84332E-05, 2.22842E-05, 4.67157E-05
17, 1.42063E-03, 7.56920E-04, 3.89973E-04, 3.54440E-04, 3.49835E-05, 2.83175E-05, 2.21529E-05, 4.99482E-05
18, 1.48270E-03, 7.57884E-04, 4.09420E-04, 3.59067E-04, 3.47652E-05, 2.82133E-05, 2.20251E-05, 5.33746E-05
19, 1.54171E-03, 7.56643E-04, 4.27977E-04, 3.62596E-04, 3.45570E-05, 2.81075E-05, 2.19061E-05, 5.69901E-05
20, 1.59721E-03, 7.53175E-04, 4.45425E-04, 3.65021E-04, 3.43438E-05, 2.80014E-05, 2.17889E-05, 6.07751E-05
21, 1.64875E-03, 7.47472E-04, 4.61544E-04, 3.66350E-04, 3.41203E-05, 2.78931E-05, 2.16720E-05, 6.47025E-05
22, 1.69588E-03, 7.60550E-04, 4.76118E-04, 3.66602E-04, 3.39061E-05, 2.77835E-05, 2.15614E-05, 6.87581E-05
23, 1.76494E-03, 7.73507E-04, 4.88934E-04, 3.65812E-04, 3.36794E-05, 2.76730E-05, 2.14534E-05, 7.29227E-05
24, 1.84400E-03, 7.84537E-04, 4.99791E-04, 3.74195E-04, 3.34543E-05, 2.75660E-05, 2.13463E-05, 7.71862E-05
25, 1.91930E-03, 7.93566E-04, 5.08497E-04, 3.84183E-04, 3.32453E-05, 2.74674E-05, 2.12400E-05, 8.15273E-05
26, 1.99024E-03, 8.00529E-04, 5.14880E-04, 3.93075E-04, 3.30373E-05, 2.73684E-05, 2.11368E-05, 8.59296E-05
27, 2.05625E-03, 8.05374E-04, 5.18883E-04, 4.00796E-04, 3.28305E-05, 2.72680E-05, 2.10313E-05, 9.03713E-05
28, 2.11670E-03, 8.08058E-04, 5.48276E-04, 4.07281E-04, 3.26237E-05, 2.71684E-05, 2.09255E-05, 9.48302E-05
29, 2.17105E-03, 8.08549E-04, 5.76563E-04, 4.12476E-04, 3.24133E-05, 2.70661E-05, 2.08231E-05, 9.92792E-05
30, 2.21877E-03, 8.06830E-04, 6.03455E-04, 4.16340E-04, 3.22093E-05, 2.69649E-05, 2.07236E-05, 1.03690E-04
31, 2.25937E-03, 8.06524E-04, 6.28665E-04, 4.18845E-04, 3.20100E-05, 2.68719E-05, 2.06317E-05, 1.08032E-04
32, 2.29241E-03, 8.05152E-04, 6.51908E-04, 4.19973E-04, 3.18141E-05, 2.67796E-05, 2.05406E-05, 1.12273E-04
33, 2.31749E-03, 8.01577E-04, 6.72911E-04, 4.19721E-04, 3.16281E-05, 2.66951E-05, 2.04492E-05, 1.16378E-04
34, 2.33426E-03, 7.95793E-04, 6.91412E-04, 4.18098E-04, 3.14441E-05, 2.66108E-05, 2.03570E-05, 1.20307E-04
