time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,         NaN
1, 1.80187E-05, 8.77718E-06, 7.04077E-06, 1.17147E-04, 8.83510E-08, 7.54792E-08, 5.91845E-08, 2.42827E-02
2, 2.21265E-05, 7.83136E-06, 8.80699E-06, 5.32734E-05, 8.94905E-08, 7.14078E-08, 5.50009E-08, 3.09251E-02
3, 1.25363E-05, 5.58013E-06, 6.18727E-06, 6.62623E-05, 6.45171E-08, 5.54434E-08, 4.54913E-08, 1.18021E-02
4, 2.00940E-05, 7.32359E-06, 5.20454E-06, 5.49510E-05, 8.85569E-08, 6.63539E-08, 5.31294E-08, 1.28490E-02
5, 1.02158E-05, 3.72755E-06, 5.49517E-06, 9.53646E-05, 3.53046E-08, 2.46440E-08, 1.97047E-08, 2.88857E-02
6, 1.72704E-05, 8.02267E-06, 6.78744E-06, 1.01164E-04, 8.84416E-08, 8.14973E-08, 6.47248E-08, 3.45640E-02
7, 2.25145E-05, 8.09440E-06, 8.39195E-06, 4.48694E-05, 8.93885E-08, 7.13254E-08, 5.33211E-08, 2.84547E-02
8, 1.27272E-05, 5.44535E-06, 5.60862E-06, 5.98521E-05, 6.49558E-08, 5.53310E-08, 4.51080E-08, 1.13905E-02
9, 2.01677E-05, 6.67540E-06, 4.37416E-06, 4.61631E-05, 8.79401E-08, 6.55453E-08, 5.29060E-08, 1.14503E-02
10, 1.07830E-05, 3.78220E-06, 5.10302E-06, 9.49716E-05, 4.02931E-08, 2.87461E-08, 2.23686E-08, 2.74731E-02
11, 1.89937E-05, 8.94181E-06, 7.48822E-06, 1.00063E-04, 9.06783E-08, 8.16991E-08, 6.47832E-08, 3.34062E-02
12, 2.27450E-05, 8.64961E-06, 8.13188E-06, 3.81038E-05, 9.12162E-08, 7.16571E-08, 5.27694E-08, 2.74906E-02
13, 1.15455E-05, 5.70350E-06, 5.07881E-06, 6.41446E-05, 6.61202E-08, 5.55770E-08, 4.48437E-08, 1.04838E-02
14, 1.93638E-05, 6.97130E-06, 5.28782E-06, 4.91539E-05, 8.73288E-08, 6.52140E-08, 5.28444E-08, 1.10591E-02
15, 1.12122E-05, 4.04741E-06, 4.78467E-06, 9.18040E-05, 4.44577E-08, 3.26629E-08, 2.51510E-08, 2.75081E-02
16, 1.86715E-05, 8.66262E-06, 7.85945E-06, 9.44160E-05, 9.33733E-08, 8.20534E-08, 6.51196E-08, 3.30789E-02
17, 2.38671E-05, 8.77645E-06, 7.39667E-06, 3.69506E-05, 9.24717E-08, 7.24515E-08, 5.23774E-08, 2.77490E-02
18, 1.10604E-05, 5.98019E-06, 5.32200E-06, 6.15630E-05, 6.73943E-08, 5.61822E-08, 4.50434E-08, 1.07643E-02
19, 1.77548E-05, 6.24667E-06, 5.35448E-06, 4.81692E-05, 8.68293E-08, 6.54229E-08, 5.30741E-08, 1.09820E-02
20, 1.07969E-05, 4.15140E-06, 4.40711E-06, 8.41499E-05, 4.88190E-08, 3.64767E-08, 2.79327E-08, 2.60598E-02
21, 2.00812E-05, 9.10146E-06, 8.59825E-06, 8.85101E-05, 9.60551E-08, 8.20670E-08, 6.59194E-08, 3.23246E-02
22, 2.43413E-05, 8.90080E-06, 6.04129E-06, 3.62298E-05, 9.38662E-08, 7.31940E-08, 5.23755E-08, 2.59836E-02
23, 1.16789E-05, 5.66678E-06, 4.67674E-06, 6.20144E-05, 6.87527E-08, 5.71616E-08, 4.52451E-08, 1.06827E-02
24, 1.86056E-05, 6.09202E-06, 5.76041E-06, 4.87975E-05, 8.62449E-08, 6.57645E-08, 5.34017E-08, 1.05229E-02
25, 1.19311E-05, 4.19785E-06, 4.18305E-06, 8.32502E-05, 5.20066E-08, 3.99929E-08, 3.05280E-08, 2.47741E-02
26, 2.02180E-05, 8.51550E-06, 9.48349E-06, 8.66675E-05, 9.83541E-08, 8.25260E-08, 6.71403E-08, 2.98980E-02
27, 2.32267E-05, 8.62836E-06, 5.16542E-06, 3.74182E-05, 9.48986E-08, 7.39277E-08, 5.29048E-08, 2.58413E-02
28, 1.20750E-05, 5.45221E-06, 5.18196E-06, 6.08690E-05, 7.01842E-08, 5.80686E-08, 4.54880E-08, 1.05976E-02
29, 1.88731E-05, 5.47787E-06, 5.80037E-06, 4.75803E-05, 8.50237E-08, 6.62408E-08, 5.38336E-08, 1.05133E-02
30, 1.30400E-05, 3.87621E-06, 3.49438E-06, 7.68817E-05, 5.54651E-08, 4.32494E-08, 3.26791E-08, 2.36853E-02
