time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,         NaN
1, 4.52731E-02, 4.12985E-02, 3.22465E-02, 5.30755E+00, 3.69652E-03, 3.31169E-03, 2.82563E-03, 5.30755E+00
2, 5.42607E-02, 4.25370E-02, 3.18704E-02, 1.19030E-01, 3.56057E-03, 3.18786E-03, 2.59704E-03, 1.19030E-01
3, 5.50920E-02, 4.25885E-02, 3.14120E-02, 7.68445E-02, 3.56621E-03, 3.20262E-03, 2.58909E-03, 7.68445E-02
4, 5.60375E-02, 4.29199E-02, 3.09658E-02, 5.78317E-02, 3.57492E-03, 3.22023E-03, 2.57920E-03, 5.78317E-02
5, 5.69331E-02, 4.36963E-02, 3.05112E-02, 5.69175E-02, 3.58415E-03, 3.23812E-03, 2.57015E-03, 5.69175E-02
6, 5.78014E-02, 4.46205E-02, 3.00483E-02, 5.62410E-02, 3.59421E-03, 3.25632E-03, 2.56135E-03, 5.62410E-02
7, 5.86407E-02, 4.55281E-02, 2.97164E-02, 5.66336E-02, 3.60514E-03, 3.27500E-03, 2.55294E-03, 5.66336E-02
8, 5.94499E-02, 4.64178E-02, 2.96392E-02, 5.71153E-02, 3.61676E-03, 3.29408E-03, 2.54495E-03, 5.71153E-02
9, 6.02276E-02, 4.72882E-02, 2.95443E-02, 5.76006E-02, 3.62890E-03, 3.31348E-03, 2.53738E-03, 5.76006E-02
10, 6.09727E-02, 4.81378E-02, 2.94325E-02, 5.82001E-02, 3.64134E-03, 3.33330E-03, 2.53022E-03, 5.82001E-02
11, 6.16839E-02, 4.89654E-02, 2.98203E-02, 5.87775E-02, 3.65410E-03, 3.35353E-03, 2.52352E-03, 5.87775E-02
12, 6.23603E-02, 4.97699E-02, 3.02175E-02, 5.93304E-02, 3.66705E-03, 3.37418E-03, 2.51730E-03, 5.93304E-02
13, 6.30010E-02, 5.05501E-02, 3.06142E-02, 5.98567E-02, 3.68009E-03, 3.39527E-03, 2.51154E-03, 5.98567E-02
14, 6.36052E-02, 5.13050E-02, 3.10103E-02, 6.03540E-02, 3.69314E-03, 3.41672E-03, 2.50630E-03, 6.03540E-02
15, 6.41721E-02, 5.20338E-02, 3.14056E-02, 6.08201E-02, 3.70617E-03, 3.43842E-03, 2.50158E-03, 6.08201E-02
16, 6.47012E-02, 5.27355E-02, 3.17999E-02, 6.13447E-02, 3.71915E-03, 3.46039E-03, 2.49734E-03, 6.13447E-02
17, 6.51920E-02, 5.34094E-02, 3.21930E-02, 6.19028E-02, 3.73222E-03, 3.48259E-03, 2.49367E-03, 6.19028E-02
18, 6.56440E-02, 5.40548E-02, 3.25848E-02, 6.24257E-02, 3.74528E-03, 3.50521E-03, 2.49054E-03, 6.24257E-02
19, 6.60570E-02, 5.46711E-02, 3.29751E-02, 6.29766E-02, 3.75835E-03, 3.52823E-03, 2.48801E-03, 6.29766E-02
20, 6.64307E-02, 5.52577E-02, 3.33638E-02, 6.36686E-02, 3.77134E-03, 3.55153E-03, 2.48599E-03, 6.36686E-02
21, 6.67650E-02, 5.58141E-02, 3.37506E-02, 6.43247E-02, 3.78443E-03, 3.57506E-03, 2.48447E-03, 6.43247E-02
22, 6.70597E-02, 5.63399E-02, 3.41356E-02, 6.49423E-02, 3.79765E-03, 3.59891E-03, 2.48346E-03, 6.49423E-02
23, 6.73151E-02, 5.68347E-02, 3.45186E-02, 6.55186E-02, 3.81091E-03, 3.62306E-03, 2.48301E-03, 6.55186E-02
24, 6.75739E-02, 5.72982E-02, 3.48993E-02, 6.60512E-02, 3.82412E-03, 3.64745E-03, 2.48318E-03, 6.60512E-02
25, 6.83587E-02, 5.77302E-02, 3.52778E-02, 6.65374E-02, 3.83730E-03, 3.67216E-03, 2.48396E-03, 6.65374E-02
26, 6.91069E-02, 5.81304E-02, 3.56538E-02, 6.69751E-02, 3.85043E-03, 3.69700E-03, 2.48516E-03, 6.69751E-02
27, 6.98176E-02, 5.84988E-02, 3.60273E-02, 6.73619E-02, 3.86348E-03, 3.72194E-03, 2.48681E-03, 6.73619E-02
28, 7.04902E-02, 5.88351E-02, 3.63981E-02, 6.76957E-02, 3.87650E-03, 3.74695E-03, 2.48887E-03, 6.76957E-02
29, 7.11238E-02, 5.91394E-02, 3.67662E-02, 6.79747E-02, 3.88947E-03, 3.77209E-03, 2.49140E-03, 6.79747E-02
30, 7.17180E-02, 5.94117E-02, 3.71314E-02, 6.81970E-02, 3.90239E-03, 3.79730E-03, 2.49441E-03, 6.81970E-02
31, 7.22721E-02, 5.96521E-02, 3.74937E-02, 6.83613E-02, 3.91534E-03, 3.82260E-03, 2.49778E-03, 6.83613E-02
32, 7.27859E-02, 5.98606E-02, 3.78528E-02, 6.84661E-02, 3.92823E-03, 3.84789E-03, 2.50153E-03, 6.84661E-02
33, 7.32590E-02, 6.00374E-02, 3.82088E-02, 6.85106E-02, 3.94111E-03, 3.87317E-03, 2.50564E-03, 6.85106E-02
34, 7.36913E-02, 6.01827E-02, 3.85615E-02, 6.84940E-02, 3.95387E-03, 3.89837E-03, 2.51002E-03, 6.84940E-02
35, 7.40825E-02, 6.02969E-02, 3.89107E-02, 6.84159E-02, 3.96652E-03, 3.92337E-03, 2.51467E-03, 6.84159E-02
36, 7.44327E-02, 6.03802E-02, 3.92565E-02, 6.82761E-02, 3.97906E-03, 3.94825E-03, 2.51957E-03, 6.82761E-02
37, 7.47419E-02, 6.07139E-02, 3.95987E-02, 6.80750E-02, 3.99151E-03, 3.97303E-03, 2.52467E-03, 6.80750E-02
38, 7.50103E-02, 6.12892E-02, 3.99372E-02, 6.78130E-02, 4.00381E-03, 3.99770E-03, 2.53001E-03, 6.78130E-02
39, 7.52379E-02, 6.18449E-02, 4.02718E-02, 6.74911E-02, 4.01599E-03, 4.02220E-03, 2.53553E-03, 6.74911E-02
40, 7.54252E-02, 6.23800E-02, 4.06025E-02, 6.71107E-02, 4.02804E-03, 4.04652E-03, 2.54119E-03, 6.71107E-02
41, 7.55724E-02, 6.28940E-02, 4.09313E-02, 6.66734E-02, 4.03990E-03, 4.07069E-03, 2.54696E-03, 6.66734E-02
42, 7.56800E-02, 6.33863E-02, 4.13017E-02, 6.61813E-02, 4.05161E-03, 4.09469E-03, 2.55283E-03, 6.61813E-02
43, 7.57484E-02, 6.38562E-02, 4.16665E-02, 6.58167E-02, 4.06313E-03, 4.11848E-03, 2.55876E-03, 6.58167E-02
44, 7.57780E-02, 6.43031E-02, 4.20255E-02, 6.54655E-02, 4.07451E-03, 4.14209E-03, 2.56472E-03, 6.54655E-02
45, 7.57696E-02, 6.47264E-02, 4.23786E-02, 6.50837E-02, 4.08578E-03, 4.16554E-03, 2.57073E-03, 6.50837E-02
46, 7.57237E-02, 6.51258E-02, 4.27256E-02, 6.46741E-02, 4.09693E-03, 4.18883E-03, 2.57682E-03, 6.46741E-02
47, 7.56409E-02, 6.55006E-02, 4.30663E-02, 6.42400E-02, 4.10809E-03, 4.21185E-03, 2.58294E-03, 6.42400E-02
48, 7.55221E-02, 6.58504E-02, 4.34006E-02, 6.37847E-02, 4.11921E-03, 4.23452E-03, 2.58910E-03, 6.37847E-02
