time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,         NaN
1, 5.64121E-03, 1.32521E-03, 1.39543E-03, 5.07584E-03, 3.81615E-05, 1.88927E-05, 1.81582E-05, 2.86785E-01
2, 1.64338E-02, 3.65408E-03, 4.07950E-03, 1.75167E-02, 1.21817E-04, 6.06284E-05, 5.90626E-05, 2.44485E-01
3, 9.35518E-03, 2.47886E-03, 2.84456E-03, 2.43414E-02, 1.13309E-04, 5.77720E-05, 5.91092E-05, 2.63469E-01
4, 9.16538E-03, 2.21571E-03, 2.82105E-03, 2.85461E-02, 1.33981E-04, 7.06255E-05, 7.13279E-05, 1.78458E-01
5, 9.39130E-03, 2.04445E-03, 3.01974E-03, 3.11988E-02, 1.50239E-04, 8.29708E-05, 8.17544E-05, 1.30861E-01
6, 9.32862E-03, 1.92202E-03, 3.24164E-03, 3.24190E-02, 1.63089E-04, 9.45117E-05, 9.00808E-05, 1.24079E-01
7, 9.01662E-03, 1.86512E-03, 3.37481E-03, 3.23956E-02, 1.74042E-04, 1.05414E-04, 9.66614E-05, 1.07781E-01
8, 8.52476E-03, 1.82431E-03, 3.39863E-03, 3.15348E-02, 1.84590E-04, 1.15995E-04, 1.02125E-04, 9.55891E-02
9, 7.92257E-03, 1.83969E-03, 3.70138E-03, 3.06008E-02, 1.95728E-04, 1.26704E-04, 1.07128E-04, 8.33327E-02
10, 7.26300E-03, 1.86541E-03, 3.94588E-03, 2.98048E-02, 2.07804E-04, 1.37936E-04, 1.12187E-04, 6.53530E-02
11, 6.58162E-03, 1.90417E-03, 4.09248E-03, 3.04540E-02, 2.20674E-04, 1.49776E-04, 1.17489E-04, 6.08829E-02
12, 6.36190E-03, 1.92068E-03, 4.12113E-03, 3.04152E-02, 2.34285E-04, 1.62192E-04, 1.23144E-04, 6.80470E-02
