time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
1, 3.76516E-03, 2.31001E-03, 1.73206E-03, 1.31159E-02
2, 3.96729E-03, 2.49418E-03, 1.64253E-03, 1.21017E-02
3, 4.03117E-03, 2.66284E-03, 1.56470E-03, 2.10495E-03
4, 4.24085E-03, 2.85795E-03, 1.42147E-03, 3.24368E-03
5, 4.41107E-03, 2.98213E-03, 1.30828E-03, 3.60688E-03
6, 4.77275E-03, 3.04653E-03, 1.35303E-03, 2.92209E-03
7, 5.11101E-03, 3.06180E-03, 1.38148E-03, 2.14004E-03
8, 5.70127E-03, 3.03527E-03, 1.51719E-03, 1.79313E-03
9, 6.22615E-03, 2.97169E-03, 1.64102E-03, 1.73158E-03
10, 6.67860E-03, 3.03156E-03, 1.74767E-03, 1.63642E-03
11, 7.16195E-03, 3.12210E-03, 1.83102E-03, 1.42253E-03
12, 7.81648E-03, 3.18146E-03, 1.88608E-03, 1.17059E-03
13, 8.39083E-03, 3.20628E-03, 1.94492E-03, 9.77294E-04
14, 8.87146E-03, 3.19758E-03, 2.18560E-03, 8.73532E-04
15, 9.24258E-03, 3.18764E-03, 2.41206E-03, 8.82949E-04
16, 9.48784E-03, 3.14077E-03, 2.60991E-03, 8.58968E-04
17, 9.75224E-03, 3.05860E-03, 2.76502E-03, 9.91393E-04
18, 1.01565E-02, 3.02279E-03, 2.86491E-03, 9.96087E-04
19, 1.04128E-02, 3.05546E-03, 2.89991E-03, 8.92599E-04
20, 1.05085E-02, 3.05902E-03, 2.91600E-03, 7.11549E-04
21, 1.04367E-02, 3.03262E-03, 3.18859E-03, 5.10296E-04
22, 1.01960E-02, 3.04738E-03, 3.39854E-03, 5.85610E-04
23, 1.01446E-02, 3.11973E-03, 3.53675E-03, 6.44820E-04
24, 1.01318E-02, 3.15699E-03, 3.59722E-03, 6.45735E-04
25, 9.95096E-03, 3.15767E-03, 3.57703E-03, 5.80810E-04
26, 9.59693E-03, 3.29175E-03, 3.47615E-03, 5.94490E-04
27, 9.63778E-03, 3.58738E-03, 3.29708E-03, 5.98918E-04
28, 1.02748E-02, 3.86428E-03, 3.58861E-03, 5.68971E-04
29, 1.08463E-02, 4.12059E-03, 3.92177E-03, 5.09472E-04
30, 1.12102E-02, 4.35484E-03, 4.20983E-03, 4.26147E-04
31, 1.13643E-02, 4.56576E-03, 4.44286E-03, 3.29349E-04
32, 1.13135E-02, 4.76280E-03, 4.61205E-03, 2.87470E-04
33, 1.12832E-02, 4.97485E-03, 4.71047E-03, 2.35851E-04
34, 1.13554E-02, 5.15652E-03, 4.73369E-03, 2.12911E-04
35, 1.12067E-02, 5.30602E-03, 4.68015E-03, 2.49099E-04
36, 1.10566E-02, 5.42211E-03, 4.55135E-03, 2.85831E-04
