time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,         NaN
1, 6.20773E-16, 4.89754E-16, 6.26005E-16, 9.53431E-16, 8.56588E-18, 7.79442E-18, 9.55439E-18, 1.76757E-14
2, 1.23595E-15, 7.34908E-16, 9.41769E-16, 2.82190E-15, 2.36041E-17, 1.44007E-17, 1.81094E-17, 4.88335E-14
3, 1.84549E-15, 9.80272E-16, 1.25934E-15, 5.35156E-15, 5.40564E-17, 2.96674E-17, 3.65262E-17, 1.51259E-13
4, 3.06171E-15, 9.80693E-16, 2.21017E-15, 7.35864E-15, 9.08014E-17, 5.07967E-17, 5.99437E-17, 2.16535E-13
5, 2.43804E-15, 1.22643E-15, 2.21643E-15, 6.35621E-15, 1.21497E-16, 6.98245E-17, 8.00565E-17, 3.22098E-13
6, 3.64004E-15, 1.96324E-15, 1.90510E-15, 8.05855E-15, 1.43676E-16, 8.51485E-17, 9.66569E-17, 2.82524E-13
7, 3.01915E-15, 1.47319E-15, 1.91033E-15, 7.49726E-15, 1.61219E-16, 9.71799E-17, 1.10462E-16, 2.43014E-13
8, 3.60591E-15, 1.96532E-15, 1.91549E-15, 9.33168E-15, 1.72115E-16, 1.06657E-16, 1.18403E-16, 2.45580E-13
9, 3.58885E-15, 1.72065E-15, 1.92058E-15, 7.04239E-15, 1.83847E-16, 1.14291E-16, 1.26237E-16, 3.18176E-13
10, 2.38120E-15, 1.47574E-15, 1.92558E-15, 7.02535E-15, 1.92887E-16, 1.19495E-16, 1.33833E-16, 2.88952E-13
11, 2.96232E-15, 1.47669E-15, 2.25226E-15, 7.41487E-15, 1.97792E-16, 1.25039E-16, 1.38560E-16, 2.89214E-13
12, 4.12746E-15, 1.47768E-15, 2.25790E-15, 6.47066E-15, 2.03648E-16, 1.29077E-16, 1.42694E-16, 3.16399E-13
13, 3.52091E-15, 1.72519E-15, 1.94010E-15, 8.13690E-15, 2.08756E-16, 1.31572E-16, 1.47037E-16, 2.72533E-13
14, 2.33606E-15, 1.97312E-15, 2.26888E-15, 6.03739E-15, 2.10231E-16, 1.35365E-16, 1.50782E-16, 2.75486E-13
15, 2.90612E-15, 1.48100E-15, 2.27420E-15, 6.86213E-15, 2.13816E-16, 1.38402E-16, 1.52509E-16, 2.75737E-13
16, 3.47070E-15, 1.97628E-15, 1.79096E-15, 6.75196E-15, 2.15235E-16, 1.40852E-16, 1.54949E-16, 2.73517E-13
