time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,         NaN
1, 1.50671E-03, 1.98319E-03, 1.52199E-03, 1.10134E-02, 3.35308E-05, 2.40134E-05, 2.78383E-05, 6.22254E-01
2, 2.20156E-03, 5.38596E-04, 7.31430E-04, 8.55776E-03, 2.37466E-05, 6.89753E-06, 9.66173E-06, 3.79622E-01
3, 1.07714E-03, 2.81580E-04, 5.26006E-04, 4.25503E-03, 1.39356E-05, 4.19512E-06, 5.66738E-06, 1.66767E-01
4, 8.82281E-04, 2.13461E-04, 2.95906E-04, 1.66923E-03, 8.18440E-06, 2.19746E-06, 3.24047E-06, 1.61140E-01
5, 8.99127E-04, 1.87000E-04, 2.75057E-04, 1.16201E-03, 6.23159E-06, 1.69319E-06, 2.42200E-06, 7.42861E-02
6, 7.85760E-04, 1.91179E-04, 1.92585E-04, 1.07425E-03, 4.83631E-06, 1.31580E-06, 1.91090E-06, 5.86950E-02
7, 7.58641E-04, 2.00606E-04, 1.83440E-04, 1.02630E-03, 4.11297E-06, 1.19066E-06, 1.72720E-06, 5.63315E-02
8, 6.92224E-04, 2.08991E-04, 1.80232E-04, 9.83459E-04, 3.38935E-06, 1.04328E-06, 1.49690E-06, 5.40334E-02
9, 6.78562E-04, 2.15821E-04, 1.76509E-04, 9.49422E-04, 3.22494E-06, 9.87398E-07, 1.43069E-06, 5.23099E-02
10, 6.52598E-04, 2.21622E-04, 1.79552E-04, 9.13315E-04, 2.84687E-06, 9.08719E-07, 1.29646E-06, 5.09423E-02
11, 6.59988E-04, 2.27622E-04, 1.76631E-04, 8.83794E-04, 2.75324E-06, 8.69627E-07, 1.25359E-06, 4.98552E-02
12, 6.74511E-04, 2.32152E-04, 1.78147E-04, 8.52544E-04, 2.53849E-06, 8.25658E-07, 1.17143E-06, 4.90363E-02
13, 6.88162E-04, 2.37459E-04, 1.75901E-04, 8.26397E-04, 2.47735E-06, 7.94439E-07, 1.13495E-06, 4.84321E-02
14, 7.43442E-04, 2.41326E-04, 1.76607E-04, 8.28322E-04, 2.34837E-06, 7.61934E-07, 1.07661E-06, 4.80331E-02
15, 8.30020E-04, 2.45834E-04, 1.94362E-04, 9.00096E-04, 2.29897E-06, 7.34462E-07, 1.04395E-06, 5.25133E-02
16, 9.25532E-04, 2.49206E-04, 2.13871E-04, 9.78004E-04, 2.22163E-06, 7.09879E-07, 1.00094E-06, 5.87705E-02
17, 1.02891E-03, 2.52836E-04, 2.37871E-04, 1.06755E-03, 2.17944E-06, 6.87561E-07, 9.71585E-07, 6.60712E-02
18, 1.14086E-03, 2.55668E-04, 2.64034E-04, 1.16381E-03, 2.12465E-06, 6.67053E-07, 9.38000E-07, 7.45264E-02
19, 1.26067E-03, 2.58387E-04, 2.93916E-04, 1.27174E-03, 2.08525E-06, 6.47272E-07, 9.12185E-07, 8.42422E-02
20, 1.38854E-03, 2.60566E-04, 3.26596E-04, 1.38660E-03, 2.04187E-06, 6.29251E-07, 8.84590E-07, 9.53304E-02
21, 1.52387E-03, 2.68764E-04, 3.63116E-04, 1.51271E-03, 2.00625E-06, 6.12239E-07, 8.62045E-07, 1.07889E-01
22, 1.66648E-03, 2.97939E-04, 4.02303E-04, 1.64544E-03, 1.97278E-06, 5.96747E-07, 8.38859E-07, 1.22011E-01
23, 1.81588E-03, 3.28869E-04, 4.45647E-04, 1.78845E-03, 1.94114E-06, 5.82615E-07, 8.18598E-07, 1.37769E-01
24, 1.97145E-03, 3.62802E-04, 4.91201E-04, 1.93712E-03, 1.91114E-06, 5.69456E-07, 7.98068E-07, 1.55217E-01
25, 2.13285E-03, 3.98180E-04, 5.40993E-04, 2.09444E-03, 1.88276E-06, 5.57269E-07, 7.80488E-07, 1.74375E-01
26, 2.29891E-03, 4.36528E-04, 5.92404E-04, 2.25565E-03, 1.85858E-06, 5.45154E-07, 7.63661E-07, 1.95231E-01
27, 2.46937E-03, 4.75886E-04, 6.47684E-04, 2.42310E-03, 1.83582E-06, 5.34813E-07, 7.48945E-07, 2.17730E-01
28, 2.64248E-03, 5.17867E-04, 7.03884E-04, 2.59177E-03, 1.81432E-06, 5.25014E-07, 7.34119E-07, 2.41774E-01
29, 2.81790E-03, 5.60309E-04, 7.63067E-04, 2.76341E-03, 1.79411E-06, 5.16797E-07, 7.21215E-07, 2.67210E-01
30, 2.99331E-03, 6.04669E-04, 8.22300E-04, 2.93274E-03, 1.77494E-06, 5.08814E-07, 7.08547E-07, 2.93841E-01
31, 3.16806E-03, 6.48788E-04, 8.83155E-04, 3.10093E-03, 1.75753E-06, 5.02058E-07, 6.97463E-07, 3.21413E-01
32, 3.33938E-03, 6.93779E-04, 9.42950E-04, 3.26251E-03, 1.74118E-06, 4.95184E-07, 6.86609E-07, 3.49631E-01
33, 3.50617E-03, 7.37647E-04, 1.00264E-03, 3.41826E-03, 1.72506E-06, 4.88935E-07, 6.77479E-07, 3.78155E-01
34, 3.66536E-03, 7.81074E-04, 1.05990E-03, 3.56265E-03, 1.70951E-06, 4.82580E-07, 6.68232E-07, 4.06615E-01
35, 3.81542E-03, 8.22324E-04, 1.11512E-03, 3.69627E-03, 1.69408E-06, 4.76737E-07, 6.59566E-07, 4.34619E-01
36, 3.95318E-03, 8.61679E-04, 1.16639E-03, 3.81380E-03, 1.67904E-06, 4.70764E-07, 6.50610E-07, 4.61765E-01
37, 4.07683E-03, 8.97709E-04, 1.21365E-03, 3.91595E-03, 1.66370E-06, 4.65182E-07, 6.42619E-07, 4.87650E-01
38, 4.18344E-03, 9.30405E-04, 1.25540E-03, 3.99791E-03, 1.64797E-06, 4.59221E-07, 6.34441E-07, 5.11894E-01
39, 4.27120E-03, 9.58666E-04, 1.29139E-03, 4.06078E-03, 1.63154E-06, 4.53504E-07, 6.26594E-07, 5.34135E-01
40, 4.33772E-03, 9.82344E-04, 1.32052E-03, 4.10054E-03, 1.61437E-06, 4.47617E-07, 6.17855E-07, 5.54057E-01
41, 4.38157E-03, 1.00068E-03, 1.34253E-03, 4.11894E-03, 1.59534E-06, 4.41865E-07, 6.08992E-07, 5.71384E-01
42, 4.40120E-03, 1.01353E-03, 1.35674E-03, 4.11299E-03, 1.57507E-06, 4.35815E-07, 6.00039E-07, 5.85894E-01
43, 4.39593E-03, 1.02048E-03, 1.36305E-03, 4.08521E-03, 1.55287E-06, 4.29561E-07, 5.91322E-07, 5.97418E-01
44, 4.36527E-03, 1.02152E-03, 1.36118E-03, 4.03371E-03, 1.52861E-06, 4.22997E-07, 5.82087E-07, 6.05845E-01
45, 4.30950E-03, 1.01656E-03, 1.35132E-03, 3.96179E-03, 1.50252E-06, 4.16244E-07, 5.72662E-07, 6.11110E-01
46, 4.22933E-03, 1.00577E-03, 1.33355E-03, 3.86856E-03, 1.47602E-06, 4.09160E-07, 5.62315E-07, 6.13203E-01
47, 4.12606E-03, 9.89352E-04, 1.30835E-03, 3.75798E-03, 1.44747E-06, 4.01963E-07, 5.51555E-07, 6.12149E-01
48, 4.00144E-03, 9.67673E-04, 1.27614E-03, 3.62994E-03, 1.41754E-06, 3.94391E-07, 5.40444E-07, 6.08014E-01
49, 3.85770E-03, 9.41170E-04, 1.23764E-03, 3.48880E-03, 1.38654E-06, 3.86696E-07, 5.29442E-07, 6.00886E-01
50, 3.69740E-03, 9.10357E-04, 1.19353E-03, 3.33494E-03, 1.35478E-06, 3.78763E-07, 5.17951E-07, 5.90884E-01
51, 3.52336E-03, 8.75827E-04, 1.14466E-03, 3.17283E-03, 1.32247E-06, 3.70785E-07, 5.06773E-07, 5.78138E-01
52, 3.33855E-03, 8.38176E-04, 1.09187E-03, 3.00301E-03, 1.29012E-06, 3.62842E-07, 4.95515E-07, 5.62805E-01
53, 3.14602E-03, 7.98067E-04, 1.03605E-03, 2.82976E-03, 1.25794E-06, 3.54955E-07, 4.84309E-07, 5.45048E-01
54, 2.94874E-03, 7.56103E-04, 9.78082E-04, 2.65353E-03, 1.22647E-06, 3.46915E-07, 4.73257E-07, 5.25065E-01
55, 2.74957E-03, 7.12939E-04, 9.18789E-04, 2.47819E-03, 1.19585E-06, 3.39067E-07, 4.62618E-07, 5.03069E-01
56, 2.55116E-03, 6.69122E-04, 8.58992E-04, 2.30391E-03, 1.16679E-06, 3.31389E-07, 4.52226E-07, 4.79313E-01
57, 2.35586E-03, 6.25235E-04, 7.99389E-04, 2.13401E-03, 1.13929E-06, 3.24102E-07, 4.42203E-07, 4.54079E-01
58, 2.16573E-03, 5.81726E-04, 7.40668E-04, 1.96828E-03, 1.11405E-06, 3.16969E-07, 4.32512E-07, 4.27694E-01
59, 1.98248E-03, 5.39066E-04, 6.83354E-04, 1.80946E-03, 1.09103E-06, 3.10390E-07, 4.23314E-07, 4.00509E-01
60, 1.80751E-03, 4.97584E-04, 6.27968E-04, 1.65693E-03, 1.07064E-06, 3.04265E-07, 4.14544E-07, 3.72903E-01
61, 1.65404E-03, 4.57621E-04, 5.74852E-04, 1.51289E-03, 1.05290E-06, 2.98780E-07, 4.06468E-07, 3.45259E-01
62, 1.51788E-03, 4.19384E-04, 5.24348E-04, 1.37635E-03, 1.03819E-06, 2.93769E-07, 3.98966E-07, 3.17955E-01
