time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,         NaN
1, 4.90268E-16, 4.61587E-16, 3.56945E-16, 4.03771E-16, 7.28945E-18, 6.91350E-18, 7.66841E-18, 1.06741E-14
2, 7.37090E-16, 9.25288E-16, 1.07065E-15, 2.02688E-15, 1.61117E-17, 1.52742E-17, 1.41664E-17, 1.88349E-13
3, 9.85071E-16, 1.62290E-15, 7.13641E-16, 3.05222E-15, 3.52534E-17, 3.35086E-17, 2.90705E-17, 4.01875E-13
4, 1.48108E-15, 9.29422E-16, 1.07028E-15, 4.28957E-15, 5.87892E-17, 5.53451E-17, 4.79276E-17, 4.27821E-13
5, 1.23717E-15, 1.39716E-15, 1.07010E-15, 4.10080E-15, 7.99758E-17, 7.47272E-17, 6.55481E-17, 5.41281E-13
6, 1.24013E-15, 1.86685E-15, 1.06992E-15, 4.11608E-15, 9.49353E-17, 8.95049E-17, 7.89727E-17, 5.48808E-13
7, 1.49176E-15, 1.40307E-15, 1.42632E-15, 4.75083E-15, 1.06110E-16, 9.98904E-17, 8.93812E-17, 7.11626E-13
8, 1.49540E-15, 1.64027E-15, 1.42609E-15, 4.04237E-15, 1.14560E-16, 1.07795E-16, 9.74422E-17, 6.95701E-13
9, 1.24923E-15, 1.64356E-15, 1.78233E-15, 3.84862E-15, 1.21769E-16, 1.14560E-16, 1.03166E-16, 6.10826E-13
10, 1.50279E-15, 1.41154E-15, 1.42565E-15, 4.38386E-15, 1.27616E-16, 1.21100E-16, 1.09040E-16, 7.14606E-13
11, 1.50653E-15, 1.88568E-15, 1.42544E-15, 3.97985E-15, 1.32284E-16, 1.26168E-16, 1.12707E-16, 7.19824E-13
12, 1.51030E-15, 1.41692E-15, 1.42523E-15, 4.46603E-15, 1.36425E-16, 1.29381E-16, 1.15532E-16, 6.50789E-13
13, 1.51410E-15, 1.89271E-15, 1.78129E-15, 4.00625E-15, 1.40375E-16, 1.32297E-16, 1.19957E-16, 6.50195E-13
14, 2.02390E-15, 1.89612E-15, 1.42484E-15, 4.86530E-15, 1.42650E-16, 1.35886E-16, 1.22354E-16, 6.58100E-13
15, 1.52178E-15, 2.37432E-15, 1.42465E-15, 4.66850E-15, 1.45870E-16, 1.38771E-16, 1.23859E-16, 6.87302E-13
16, 1.52565E-15, 1.90272E-15, 1.78059E-15, 4.84267E-15, 1.48297E-16, 1.39992E-16, 1.26349E-16, 8.17491E-13
17, 2.03939E-15, 2.14415E-15, 1.42430E-15, 4.27031E-15, 1.50952E-16, 1.43151E-16, 1.28707E-16, 5.90517E-13
18, 1.78904E-15, 1.90903E-15, 2.49224E-15, 5.13980E-15, 1.52241E-16, 1.44862E-16, 1.31022E-16, 6.76644E-13
19, 1.79363E-15, 1.91207E-15, 1.42398E-15, 4.51065E-15, 1.54468E-16, 1.46950E-16, 1.32005E-16, 7.54764E-13
20, 1.54135E-15, 2.39379E-15, 1.42383E-15, 5.17008E-15, 1.55939E-16, 1.48515E-16, 1.33034E-16, 7.17318E-13
21, 1.54532E-15, 1.67818E-15, 1.42369E-15, 4.86090E-15, 1.56932E-16, 1.50167E-16, 1.34752E-16, 7.33362E-13
22, 2.32397E-15, 1.92073E-15, 2.13534E-15, 4.76639E-15, 1.58897E-16, 1.51519E-16, 1.36240E-16, 6.59469E-13
23, 1.81221E-15, 1.92347E-15, 1.42344E-15, 4.50819E-15, 1.60395E-16, 1.53002E-16, 1.36407E-16, 7.74910E-13
24, 2.07646E-15, 2.40766E-15, 1.42333E-15, 4.79303E-15, 1.62504E-16, 1.54196E-16, 1.37610E-16, 6.71986E-13
