time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,         NaN
1, 1.46401E-03, 1.89231E-03, 1.30566E-03, 6.24783E-03, 2.43046E-05, 2.37992E-05, 2.30427E-05, 6.48012E-01
2, 8.90665E-04, 8.68516E-04, 8.28899E-04, 5.22179E-03, 1.10023E-05, 1.02614E-05, 7.37870E-06, 1.15739E+00
3, 8.03470E-04, 4.73788E-04, 3.80798E-04, 2.25821E-03, 6.50259E-06, 5.42242E-06, 3.98818E-06, 5.84403E-01
4, 5.75587E-04, 3.76364E-04, 2.71680E-04, 1.21435E-03, 2.84385E-06, 2.28803E-06, 1.88748E-06, 3.34626E-01
5, 5.72270E-04, 2.21929E-04, 2.20837E-04, 8.62795E-04, 2.26867E-06, 1.63188E-06, 1.31898E-06, 2.12585E-01
6, 4.62380E-04, 2.07381E-04, 1.73558E-04, 7.34462E-04, 1.53526E-06, 1.13717E-06, 1.01428E-06, 1.68297E-01
7, 4.58960E-04, 1.79554E-04, 1.56156E-04, 6.58241E-04, 1.36213E-06, 9.78285E-07, 8.61774E-07, 1.45943E-01
8, 4.10828E-04, 1.84784E-04, 1.46315E-04, 6.12602E-04, 1.09236E-06, 8.38716E-07, 7.55924E-07, 1.34695E-01
9, 4.04403E-04, 1.65644E-04, 1.33021E-04, 5.78287E-04, 1.04105E-06, 7.85423E-07, 6.97723E-07, 1.26592E-01
10, 3.72467E-04, 1.67229E-04, 1.29377E-04, 5.50307E-04, 8.91606E-07, 7.15841E-07, 6.38095E-07, 1.20314E-01
11, 3.64391E-04, 1.54767E-04, 1.19702E-04, 5.27593E-04, 8.59230E-07, 6.75751E-07, 6.00734E-07, 1.15225E-01
12, 3.41166E-04, 1.53386E-04, 1.17576E-04, 5.07116E-04, 7.69295E-07, 6.33069E-07, 5.59892E-07, 1.10896E-01
13, 3.31715E-04, 1.45236E-04, 1.09972E-04, 4.89821E-04, 7.40783E-07, 6.02358E-07, 5.33894E-07, 1.07106E-01
14, 3.19049E-04, 1.41874E-04, 1.08333E-04, 4.72498E-04, 6.81740E-07, 5.72561E-07, 5.04539E-07, 1.03615E-01
15, 3.14563E-04, 1.36317E-04, 1.01973E-04, 4.57667E-04, 6.55047E-07, 5.45679E-07, 4.83710E-07, 1.00349E-01
16, 3.07271E-04, 1.31737E-04, 1.00334E-04, 4.41582E-04, 6.12939E-07, 5.20603E-07, 4.60159E-07, 9.71791E-02
17, 3.01596E-04, 1.27609E-04, 9.47771E-05, 4.27740E-04, 5.87662E-07, 4.96662E-07, 4.42081E-07, 9.40785E-02
18, 2.94174E-04, 1.22358E-04, 9.29179E-05, 4.12007E-04, 5.56241E-07, 4.75389E-07, 4.22841E-07, 9.09811E-02
19, 2.87481E-04, 1.18899E-04, 8.79075E-05, 3.98403E-04, 5.34247E-07, 4.55592E-07, 4.07098E-07, 8.78754E-02
20, 2.79874E-04, 1.13344E-04, 8.57467E-05, 3.82607E-04, 5.09345E-07, 4.38176E-07, 3.90869E-07, 8.47323E-02
21, 2.72298E-04, 1.10083E-04, 8.11215E-05, 3.68863E-04, 4.89630E-07, 4.21048E-07, 3.76900E-07, 8.15450E-02
22, 2.64399E-04, 1.04452E-04, 7.86511E-05, 3.52829E-04, 4.69477E-07, 4.05651E-07, 3.62794E-07, 7.83070E-02
23, 2.56048E-04, 1.01122E-04, 7.43054E-05, 3.38782E-04, 4.51828E-07, 3.90473E-07, 3.49579E-07, 7.50131E-02
24, 2.47753E-04, 9.55480E-05, 7.15575E-05, 3.22476E-04, 4.34208E-07, 3.76524E-07, 3.36379E-07, 7.16714E-02
25, 2.38722E-04, 9.20222E-05, 6.74240E-05, 3.08100E-04, 4.17799E-07, 3.63212E-07, 3.24066E-07, 6.82779E-02
26, 2.29964E-04, 8.65789E-05, 6.44540E-05, 2.91586E-04, 4.02124E-07, 3.50337E-07, 3.12525E-07, 6.48504E-02
27, 2.20348E-04, 8.28284E-05, 6.04953E-05, 2.76957E-04, 3.87581E-07, 3.38112E-07, 3.01609E-07, 6.13863E-02
28, 2.11110E-04, 7.75588E-05, 5.73724E-05, 2.60378E-04, 3.73895E-07, 3.26704E-07, 2.91263E-07, 5.79103E-02
29, 2.01021E-04, 7.36185E-05, 5.35765E-05, 2.45655E-04, 3.60766E-07, 3.15697E-07, 2.81328E-07, 5.44214E-02
30, 1.91351E-04, 6.92462E-05, 5.03780E-05, 2.35595E-04, 3.48303E-07, 3.05263E-07, 2.71728E-07, 5.15298E-02
31, 1.80927E-04, 6.59886E-05, 4.82269E-05, 2.25238E-04, 3.36245E-07, 2.95537E-07, 2.62659E-07, 4.93117E-02
32, 1.70938E-04, 6.33148E-05, 4.57073E-05, 2.15179E-04, 3.24629E-07, 2.86572E-07, 2.53875E-07, 4.69907E-02
33, 1.60353E-04, 5.99581E-05, 4.35459E-05, 2.03944E-04, 3.13565E-07, 2.77950E-07, 2.45429E-07, 4.45784E-02
34, 1.50219E-04, 5.69388E-05, 4.09752E-05, 1.93121E-04, 3.03301E-07, 2.69479E-07, 2.37160E-07, 4.20894E-02
35, 1.39681E-04, 5.35034E-05, 3.86267E-05, 1.81266E-04, 2.93571E-07, 2.61469E-07, 2.29159E-07, 3.95419E-02
36, 1.29623E-04, 5.02557E-05, 3.60370E-05, 1.69959E-04, 2.84447E-07, 2.53990E-07, 2.21292E-07, 3.69527E-02
37, 1.19367E-04, 4.67945E-05, 3.35889E-05, 1.57821E-04, 2.75836E-07, 2.46983E-07, 2.13652E-07, 3.43456E-02
38, 1.09633E-04, 4.34466E-05, 3.10314E-05, 1.46382E-04, 2.67557E-07, 2.40267E-07, 2.06254E-07, 3.17381E-02
39, 9.99005E-05, 4.00380E-05, 2.85766E-05, 1.34349E-04, 2.59575E-07, 2.33870E-07, 1.99190E-07, 2.91573E-02
40, 9.07408E-05, 3.67213E-05, 2.61149E-05, 1.23165E-04, 2.51894E-07, 2.27723E-07, 1.92566E-07, 2.66199E-02
41, 8.17576E-05, 3.34573E-05, 2.37449E-05, 1.11637E-04, 2.44558E-07, 2.21895E-07, 1.86206E-07, 2.41530E-02
42, 7.33938E-05, 3.02961E-05, 2.14453E-05, 1.01087E-04, 2.37652E-07, 2.16218E-07, 1.80138E-07, 2.17703E-02
43, 6.53460E-05, 2.72684E-05, 1.92420E-05, 9.04291E-05, 2.31090E-07, 2.10751E-07, 1.74447E-07, 1.94964E-02
44, 5.79479E-05, 2.43679E-05, 1.71635E-05, 8.08380E-05, 2.24691E-07, 2.05555E-07, 1.68995E-07, 1.73397E-02
45, 5.09605E-05, 2.16540E-05, 1.51907E-05, 7.13397E-05, 2.18910E-07, 2.00584E-07, 1.63755E-07, 1.53202E-02
46, 4.76751E-05, 1.93519E-05, 1.37991E-05, 6.82130E-05, 2.13469E-07, 1.95860E-07, 1.58784E-07, 1.38078E-02
47, 4.56261E-05, 1.88618E-05, 1.34896E-05, 6.67880E-05, 2.08409E-07, 1.91357E-07, 1.54103E-07, 1.34300E-02
