time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,         NaN
1, 1.46401E-05, 1.89231E-05, 1.30566E-05, 6.24783E-05, 2.43046E-07, 2.37992E-07, 2.30427E-07, 6.48012E-03
2, 1.46345E-05, 1.89645E-05, 1.08775E-05, 1.39066E-05, 2.67567E-07, 2.55061E-07, 2.30964E-07, 5.39734E-03
3, 1.46305E-05, 1.89957E-05, 1.09772E-05, 9.39037E-06, 2.45034E-07, 2.39698E-07, 2.25723E-07, 2.36361E-03
4, 1.46280E-05, 1.90164E-05, 1.17216E-05, 4.09748E-06, 2.49918E-07, 2.40145E-07, 2.28252E-07, 1.26411E-03
5, 1.46268E-05, 1.90262E-05, 1.17061E-05, 5.70446E-06, 2.48609E-07, 2.42059E-07, 2.28587E-07, 9.08130E-04
6, 1.46267E-05, 1.90248E-05, 1.15953E-05, 4.52407E-06, 2.53226E-07, 2.44796E-07, 2.31037E-07, 7.78209E-04
7, 1.46276E-05, 1.90119E-05, 1.15567E-05, 4.33257E-06, 2.53980E-07, 2.47079E-07, 2.32474E-07, 6.92048E-04
8, 1.46293E-05, 1.89873E-05, 1.14928E-05, 4.44355E-06, 2.57851E-07, 2.49524E-07, 2.35121E-07, 6.45834E-04
9, 1.46316E-05, 1.89508E-05, 1.14007E-05, 4.46871E-06, 2.59697E-07, 2.52205E-07, 2.36859E-07, 6.11583E-04
10, 1.46345E-05, 1.89021E-05, 1.13010E-05, 4.43111E-06, 2.63174E-07, 2.54647E-07, 2.39341E-07, 5.82819E-04
11, 1.46377E-05, 1.88411E-05, 1.11969E-05, 4.40849E-06, 2.65334E-07, 2.57209E-07, 2.41210E-07, 5.61419E-04
12, 1.46410E-05, 1.87678E-05, 1.10891E-05, 4.39117E-06, 2.68488E-07, 2.59530E-07, 2.43478E-07, 5.39484E-04
13, 1.46443E-05, 1.86822E-05, 1.09803E-05, 4.36346E-06, 2.70677E-07, 2.61939E-07, 2.45321E-07, 5.24351E-04
14, 1.48019E-05, 1.85844E-05, 1.08718E-05, 4.32824E-06, 2.73531E-07, 2.64124E-07, 2.47373E-07, 5.04757E-04
15, 1.49500E-05, 1.84745E-05, 1.07644E-05, 4.28926E-06, 2.75634E-07, 2.66362E-07, 2.49110E-07, 4.92610E-04
16, 1.50689E-05, 1.83529E-05, 1.06583E-05, 4.24533E-06, 2.78208E-07, 2.68386E-07, 2.50950E-07, 4.73491E-04
17, 1.51615E-05, 1.82200E-05, 1.05534E-05, 4.19598E-06, 2.80152E-07, 2.70425E-07, 2.52528E-07, 4.62553E-04
18, 1.52309E-05, 1.80764E-05, 1.04495E-05, 4.14140E-06, 2.82440E-07, 2.72247E-07, 2.54158E-07, 4.43197E-04
19, 1.52801E-05, 1.79228E-05, 1.03461E-05, 4.08186E-06, 2.84235E-07, 2.74065E-07, 2.55617E-07, 4.32422E-04
20, 1.53121E-05, 1.77601E-05, 1.02430E-05, 4.01741E-06, 2.86287E-07, 2.75717E-07, 2.57110E-07, 4.12674E-04
21, 1.53299E-05, 1.75892E-05, 1.01398E-05, 3.94830E-06, 2.87975E-07, 2.77396E-07, 2.58459E-07, 4.01404E-04
22, 1.53358E-05, 1.74113E-05, 1.00364E-05, 3.87490E-06, 2.89841E-07, 2.78924E-07, 2.59836E-07, 3.81396E-04
23, 1.53322E-05, 1.72277E-05, 9.97009E-06, 3.79766E-06, 2.91410E-07, 2.80471E-07, 2.61060E-07, 3.69205E-04
24, 1.53211E-05, 1.70397E-05, 9.94037E-06, 3.71718E-06, 2.93104E-07, 2.81872E-07, 2.62315E-07, 3.49221E-04
