time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,         NaN
1, 2.53359E-03, 1.79347E-03, 2.39752E-03, 8.03031E-03, 3.01465E-05, 3.24675E-05, 2.44734E-05, 8.03031E-03
2, 2.86634E-03, 1.81674E-03, 2.38359E-03, 5.89819E-03, 3.49265E-05, 3.78772E-05, 2.89273E-05, 5.89819E-03
3, 3.09189E-03, 1.85450E-03, 2.36239E-03, 4.71486E-03, 3.89845E-05, 4.25690E-05, 3.27105E-05, 4.71486E-03
4, 3.29684E-03, 1.87753E-03, 2.35148E-03, 4.22284E-03, 4.23745E-05, 4.66768E-05, 3.58967E-05, 4.22284E-03
5, 3.48211E-03, 1.95791E-03, 2.34183E-03, 3.97625E-03, 4.52854E-05, 5.03482E-05, 3.86295E-05, 3.97625E-03
6, 3.64785E-03, 2.04103E-03, 2.32876E-03, 3.76003E-03, 4.78191E-05, 5.36792E-05, 4.09983E-05, 3.76003E-03
7, 3.79426E-03, 2.10621E-03, 2.31017E-03, 3.61537E-03, 5.00661E-05, 5.67519E-05, 4.31154E-05, 3.61537E-03
8, 3.92148E-03, 2.15812E-03, 2.28524E-03, 3.51747E-03, 5.20857E-05, 5.95940E-05, 4.50315E-05, 3.51747E-03
9, 4.02961E-03, 2.24302E-03, 2.25377E-03, 3.42660E-03, 5.39370E-05, 6.22650E-05, 4.67576E-05, 3.42660E-03
10, 4.11877E-03, 2.31069E-03, 2.21594E-03, 3.34199E-03, 5.56430E-05, 6.47920E-05, 4.83357E-05, 3.34199E-03
11, 4.19925E-03, 2.36134E-03, 2.17207E-03, 3.29545E-03, 5.72013E-05, 6.72043E-05, 4.97680E-05, 3.29545E-03
12, 4.28842E-03, 2.39522E-03, 2.15489E-03, 3.22590E-03, 5.86360E-05, 6.95214E-05, 5.10888E-05, 3.22590E-03
13, 4.35840E-03, 2.41266E-03, 2.13886E-03, 3.15403E-03, 5.99728E-05, 7.17251E-05, 5.23101E-05, 3.15403E-03
14, 4.44752E-03, 2.41411E-03, 2.11522E-03, 3.10670E-03, 6.12185E-05, 7.38089E-05, 5.34390E-05, 3.10670E-03
15, 4.57081E-03, 2.40013E-03, 2.08425E-03, 3.06141E-03, 6.23718E-05, 7.57997E-05, 5.44759E-05, 3.06141E-03
16, 4.67848E-03, 2.37140E-03, 2.04627E-03, 3.03521E-03, 6.34414E-05, 7.76763E-05, 5.54326E-05, 3.03521E-03
17, 4.77044E-03, 2.32872E-03, 2.00164E-03, 3.00417E-03, 6.44295E-05, 7.94352E-05, 5.63146E-05, 3.00417E-03
18, 4.84672E-03, 2.35260E-03, 1.95073E-03, 2.99087E-03, 6.53564E-05, 8.10845E-05, 5.71218E-05, 2.99087E-03
19, 4.90742E-03, 2.40905E-03, 1.89396E-03, 3.03093E-03, 6.62442E-05, 8.26195E-05, 5.78500E-05, 3.03093E-03
20, 4.95273E-03, 2.46138E-03, 1.83178E-03, 3.12486E-03, 6.70949E-05, 8.40721E-05, 5.85108E-05, 3.12486E-03
21, 4.98290E-03, 2.50959E-03, 1.76467E-03, 3.16321E-03, 6.79169E-05, 8.54204E-05, 5.91133E-05, 3.16321E-03
22, 4.99825E-03, 2.55368E-03, 1.76636E-03, 3.25699E-03, 6.87189E-05, 8.66795E-05, 5.96476E-05, 3.25699E-03
23, 4.99917E-03, 2.59364E-03, 1.86214E-03, 3.29008E-03, 6.95141E-05, 8.78487E-05, 6.01305E-05, 3.29008E-03
24, 4.98609E-03, 2.62949E-03, 1.94289E-03, 3.37839E-03, 7.03066E-05, 8.89390E-05, 6.05592E-05, 3.37839E-03
25, 4.95949E-03, 2.66124E-03, 2.02891E-03, 3.40011E-03, 7.10896E-05, 8.99274E-05, 6.09391E-05, 3.40011E-03
26, 4.94121E-03, 2.68892E-03, 2.09935E-03, 3.47299E-03, 7.18902E-05, 9.08511E-05, 6.12846E-05, 3.47299E-03
27, 4.92836E-03, 2.71255E-03, 2.15259E-03, 3.47526E-03, 7.27042E-05, 9.17183E-05, 6.16014E-05, 3.47526E-03
28, 4.90202E-03, 2.73217E-03, 2.23783E-03, 3.51454E-03, 7.35098E-05, 9.25621E-05, 6.18710E-05, 3.51454E-03
29, 4.86260E-03, 2.74782E-03, 2.31294E-03, 3.48559E-03, 7.43145E-05, 9.33847E-05, 6.21069E-05, 3.48559E-03
30, 4.81058E-03, 2.75955E-03, 2.37073E-03, 3.46710E-03, 7.51052E-05, 9.42129E-05, 6.23039E-05, 3.46710E-03
31, 4.74645E-03, 2.76744E-03, 2.42040E-03, 3.39910E-03, 7.58849E-05, 9.50986E-05, 6.24801E-05, 3.39910E-03
32, 4.67077E-03, 2.77155E-03, 2.46281E-03, 3.30609E-03, 7.66507E-05, 9.60306E-05, 6.26442E-05, 3.30609E-03
33, 4.58412E-03, 2.77198E-03, 2.48746E-03, 3.22051E-03, 7.74205E-05, 9.69698E-05, 6.28057E-05, 3.22051E-03
34, 4.56607E-03, 2.76884E-03, 2.51092E-03, 3.06388E-03, 7.82004E-05, 9.79342E-05, 6.29503E-05, 3.06388E-03
35, 4.55416E-03, 2.76224E-03, 2.55653E-03, 2.84426E-03, 7.89823E-05, 9.88903E-05, 6.30896E-05, 2.84426E-03
36, 4.53217E-03, 2.75233E-03, 2.58515E-03, 2.62980E-03, 7.97293E-05, 9.98249E-05, 6.32253E-05, 2.62980E-03
37, 4.50039E-03, 2.73927E-03, 2.59680E-03, 2.34325E-03, 8.04545E-05, 1.00731E-04, 6.33752E-05, 2.34325E-03
38, 4.45912E-03, 2.72322E-03, 2.60672E-03, 2.03600E-03, 8.11452E-05, 1.01607E-04, 6.35221E-05, 2.03600E-03
39, 4.40874E-03, 2.71433E-03, 2.60376E-03, 2.01665E-03, 8.18367E-05, 1.02459E-04, 6.36618E-05, 2.01665E-03
40, 4.38802E-03, 2.71548E-03, 2.58550E-03, 2.06365E-03, 8.25394E-05, 1.03254E-04, 6.37942E-05, 2.06365E-03
41, 4.35904E-03, 2.71111E-03, 2.55394E-03, 2.11413E-03, 8.32561E-05, 1.03987E-04, 6.39256E-05, 2.11413E-03
42, 4.32064E-03, 2.70132E-03, 2.55713E-03, 2.18172E-03, 8.39915E-05, 1.04659E-04, 6.40602E-05, 2.18172E-03
43, 4.27310E-03, 2.68625E-03, 2.54640E-03, 2.24033E-03, 8.47382E-05, 1.05262E-04, 6.41903E-05, 2.24033E-03
44, 4.21674E-03, 2.66604E-03, 2.52243E-03, 2.31244E-03, 8.55061E-05, 1.05802E-04, 6.43230E-05, 2.31244E-03
45, 4.15193E-03, 2.64751E-03, 2.50007E-03, 2.41366E-03, 8.62745E-05, 1.06291E-04, 6.44619E-05, 2.41366E-03
46, 4.07906E-03, 2.64090E-03, 2.46687E-03, 2.55061E-03, 8.70516E-05, 1.06744E-04, 6.46114E-05, 2.55061E-03
47, 3.99858E-03, 2.62892E-03, 2.42311E-03, 2.68134E-03, 8.78348E-05, 1.07157E-04, 6.47644E-05, 2.68134E-03
48, 3.91094E-03, 2.61172E-03, 2.39541E-03, 2.81671E-03, 8.86185E-05, 1.07557E-04, 6.49221E-05, 2.81671E-03
49, 3.81664E-03, 2.58947E-03, 2.40249E-03, 2.91796E-03, 8.93811E-05, 1.07958E-04, 6.50695E-05, 2.91796E-03
50, 3.71619E-03, 2.56237E-03, 2.39208E-03, 2.99427E-03, 9.01379E-05, 1.08354E-04, 6.52083E-05, 2.99427E-03
51, 3.61011E-03, 2.54233E-03, 2.40664E-03, 3.00387E-03, 9.08895E-05, 1.08770E-04, 6.53344E-05, 3.00387E-03
