time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,         NaN
1, 3.10386E-15, 9.79509E-16, 1.40851E-15, 8.55404E-15, 8.63804E-17, 5.08148E-17, 6.91379E-17, 8.55404E-15
2, 3.32161E-15, 1.34733E-15, 1.56962E-15, 1.10996E-14, 1.33985E-16, 7.94507E-17, 1.02020E-16, 1.10996E-14
3, 2.76824E-15, 1.22534E-15, 1.57418E-15, 9.57329E-15, 1.62880E-16, 9.40058E-17, 1.12663E-16, 9.57329E-15
4, 2.56418E-15, 1.22587E-15, 1.57869E-15, 8.95097E-15, 1.80628E-16, 1.07431E-16, 1.32258E-16, 8.95097E-15
5, 2.74280E-15, 1.22643E-15, 2.21643E-15, 9.54582E-15, 1.97078E-16, 1.21842E-16, 1.40973E-16, 9.54582E-15
6, 3.03336E-15, 1.47243E-15, 1.58758E-15, 9.35211E-15, 2.09631E-16, 1.28531E-16, 1.54668E-16, 9.35211E-15
7, 3.18898E-15, 1.47319E-15, 1.91033E-15, 1.18958E-14, 2.22308E-16, 1.38079E-16, 1.54089E-16, 1.18958E-14
8, 2.40394E-15, 1.47399E-15, 1.91549E-15, 8.94002E-15, 2.25605E-16, 1.42450E-16, 1.60443E-16, 8.94002E-15
9, 2.39256E-15, 1.47484E-15, 2.24067E-15, 9.85613E-15, 2.35303E-16, 1.51094E-16, 1.68408E-16, 9.85613E-15
10, 2.53003E-15, 1.72169E-15, 2.24651E-15, 9.83593E-15, 2.42580E-16, 1.57258E-16, 1.84266E-16, 9.83593E-15
11, 2.96232E-15, 1.72280E-15, 2.57401E-15, 1.17712E-14, 2.48743E-16, 1.65456E-16, 1.81485E-16, 1.17712E-14
12, 3.02189E-15, 1.97025E-15, 2.58046E-15, 8.37858E-15, 2.52462E-16, 1.67099E-16, 1.86061E-16, 8.37858E-15
13, 3.22751E-15, 2.46456E-15, 2.58679E-15, 8.92072E-15, 2.57000E-16, 1.69796E-16, 1.93087E-16, 8.92072E-15
14, 3.50408E-15, 2.21976E-15, 2.59300E-15, 1.09137E-14, 2.59898E-16, 1.74138E-16, 1.97133E-16, 1.09137E-14
15, 3.56000E-15, 2.22149E-15, 2.59908E-15, 9.61360E-15, 2.61050E-16, 1.76488E-16, 1.99599E-16, 9.61360E-15
16, 3.75993E-15, 2.09980E-15, 2.93066E-15, 1.14444E-14, 2.64583E-16, 1.80378E-16, 2.08420E-16, 1.14444E-14
17, 3.88595E-15, 2.47247E-15, 2.93721E-15, 1.17560E-14, 2.69163E-16, 1.84155E-16, 2.10142E-16, 1.17560E-14
18, 4.01073E-15, 2.47468E-15, 2.28946E-15, 1.04321E-14, 2.72034E-16, 1.87883E-16, 2.17352E-16, 1.04321E-14
19, 4.13432E-15, 2.47699E-15, 2.94983E-15, 1.01090E-14, 2.73890E-16, 1.89746E-16, 2.20377E-16, 1.01090E-14
20, 4.46956E-15, 2.47940E-15, 2.95590E-15, 9.32337E-15, 2.76211E-16, 1.93134E-16, 2.17946E-16, 9.32337E-15
21, 4.51922E-15, 2.97830E-15, 2.63271E-15, 8.06390E-15, 2.76168E-16, 1.95111E-16, 2.24579E-16, 8.06390E-15
