time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,         NaN
1, 1.59337E-15, 1.15397E-15, 7.13891E-16, 1.13473E-14, 5.38620E-17, 6.46762E-17, 5.49336E-17, 1.13473E-14
2, 1.22848E-15, 1.15661E-15, 1.07065E-15, 9.04125E-15, 8.29877E-17, 9.03174E-17, 7.80185E-17, 9.04125E-15
3, 1.72387E-15, 1.04329E-15, 1.07046E-15, 1.26626E-14, 1.03775E-16, 1.07123E-16, 9.68368E-17, 1.26626E-14
4, 1.48108E-15, 1.62649E-15, 1.07028E-15, 9.66835E-15, 1.18842E-16, 1.22007E-16, 1.09763E-16, 9.66835E-15
5, 1.48460E-15, 1.39716E-15, 1.42679E-15, 9.48915E-15, 1.32529E-16, 1.33473E-16, 1.18049E-16, 9.48915E-15
6, 1.79819E-15, 1.63350E-15, 1.42656E-15, 1.21601E-14, 1.41703E-16, 1.44238E-16, 1.26491E-16, 1.21601E-14
7, 1.24313E-15, 1.63691E-15, 1.42632E-15, 7.61197E-15, 1.48988E-16, 1.51178E-16, 1.33201E-16, 7.61197E-15
8, 1.49540E-15, 1.64027E-15, 1.42609E-15, 8.68319E-15, 1.57346E-16, 1.61000E-16, 1.39156E-16, 8.68319E-15
9, 1.49908E-15, 1.64356E-15, 1.78233E-15, 7.27476E-15, 1.63573E-16, 1.66149E-16, 1.44239E-16, 7.27476E-15
10, 1.75325E-15, 1.88205E-15, 1.78206E-15, 7.92821E-15, 1.67776E-16, 1.72159E-16, 1.51601E-16, 7.92821E-15
11, 1.25544E-15, 1.64997E-15, 2.13815E-15, 8.98456E-15, 1.74390E-16, 1.79427E-16, 1.53864E-16, 8.98456E-15
12, 1.76202E-15, 1.88923E-15, 2.13784E-15, 8.94756E-15, 1.79051E-16, 1.83084E-16, 1.58179E-16, 8.94756E-15
13, 1.76645E-15, 2.12930E-15, 2.13754E-15, 1.08009E-14, 1.82663E-16, 1.87926E-16, 1.63109E-16, 1.08009E-14
14, 1.51793E-15, 1.89612E-15, 2.13725E-15, 9.68095E-15, 1.86930E-16, 1.92573E-16, 1.70406E-16, 9.68095E-15
15, 1.52178E-15, 2.13689E-15, 2.13697E-15, 1.01769E-14, 1.90849E-16, 1.99705E-16, 1.76447E-16, 1.01769E-14
16, 1.77993E-15, 2.14056E-15, 2.49282E-15, 9.86858E-15, 1.96240E-16, 2.03201E-16, 1.78276E-16, 9.86858E-15
17, 2.03939E-15, 2.14415E-15, 2.49252E-15, 1.03595E-14, 1.98840E-16, 2.05000E-16, 1.81056E-16, 1.03595E-14
18, 2.04461E-15, 2.38628E-15, 2.84827E-15, 8.59777E-15, 1.99383E-16, 2.05333E-16, 1.80769E-16, 8.59777E-15
19, 2.30609E-15, 2.39008E-15, 2.49196E-15, 9.88013E-15, 2.01597E-16, 2.11512E-16, 1.88535E-16, 9.88013E-15
20, 2.56892E-15, 2.39379E-15, 2.49171E-15, 8.52798E-15, 2.05349E-16, 2.15402E-16, 1.87989E-16, 8.52798E-15
21, 2.70431E-15, 2.39740E-15, 2.84739E-15, 1.03227E-14, 2.07311E-16, 2.17050E-16, 1.89752E-16, 1.03227E-14
22, 3.35684E-15, 2.64101E-15, 3.20302E-15, 1.21027E-14, 2.11280E-16, 2.20835E-16, 1.94513E-16, 1.21027E-14
23, 3.23608E-15, 2.52455E-15, 2.84688E-15, 9.07263E-15, 2.11688E-16, 2.23263E-16, 1.93628E-16, 9.07263E-15
24, 3.63380E-15, 2.64843E-15, 3.20249E-15, 1.11012E-14, 2.13717E-16, 2.23708E-16, 1.95391E-16, 1.11012E-14
25, 3.38300E-15, 2.89306E-15, 3.55807E-15, 8.22785E-15, 2.14802E-16, 2.25719E-16, 1.99801E-16, 8.22785E-15
26, 3.65270E-15, 3.37961E-15, 3.55784E-15, 9.21879E-15, 2.16640E-16, 2.27847E-16, 2.06663E-16, 9.21879E-15
27, 4.18538E-15, 2.90044E-15, 3.55764E-15, 1.02015E-14, 2.20555E-16, 2.31202E-16, 2.04581E-16, 1.02015E-14
28, 4.45857E-15, 3.38793E-15, 3.55746E-15, 1.11761E-14, 2.22606E-16, 2.35528E-16, 2.09128E-16, 1.11761E-14
29, 4.47023E-15, 3.14960E-15, 4.26877E-15, 8.79073E-15, 2.24684E-16, 2.36773E-16, 2.08896E-16, 8.79073E-15
30, 4.48194E-15, 3.39568E-15, 4.26862E-15, 1.04556E-14, 2.24659E-16, 2.38664E-16, 2.11125E-16, 1.04556E-14
31, 4.49370E-15, 3.52073E-15, 3.91279E-15, 1.22948E-14, 2.28358E-16, 2.41372E-16, 2.15117E-16, 1.22948E-14
32, 4.77057E-15, 3.88895E-15, 4.26842E-15, 8.37137E-15, 2.31147E-16, 2.43544E-16, 2.15934E-16, 8.37137E-15
33, 5.31462E-15, 3.77112E-15, 4.26837E-15, 9.33265E-15, 2.29775E-16, 2.43329E-16, 2.19629E-16, 9.33265E-15
34, 5.06226E-15, 3.53113E-15, 4.62405E-15, 9.41840E-15, 2.32601E-16, 2.44750E-16, 2.19505E-16, 9.41840E-15
35, 5.07571E-15, 3.16866E-15, 4.62407E-15, 9.62664E-15, 2.32779E-16, 2.46390E-16, 2.27734E-16, 9.62664E-15
36, 5.62495E-15, 3.17133E-15, 4.62412E-15, 8.60383E-15, 2.36711E-16, 2.48408E-16, 2.20523E-16, 8.60383E-15
37, 5.63999E-15, 3.66214E-15, 4.62421E-15, 9.79252E-15, 2.38182E-16, 2.48597E-16, 2.23548E-16, 9.79252E-15
38, 5.65514E-15, 3.78704E-15, 4.98006E-15, 8.77697E-15, 2.38543E-16, 2.48116E-16, 2.23972E-16, 8.77697E-15
39, 5.94041E-15, 3.78969E-15, 4.62451E-15, 8.98355E-15, 2.38927E-16, 2.53237E-16, 2.25677E-16, 8.98355E-15
40, 5.68574E-15, 3.54751E-15, 4.26896E-15, 1.17270E-14, 2.40955E-16, 2.55357E-16, 2.26013E-16, 1.17270E-14
41, 5.97269E-15, 3.79445E-15, 4.26918E-15, 1.25213E-14, 2.43139E-16, 2.54918E-16, 2.35036E-16, 1.25213E-14
42, 5.44455E-15, 3.55161E-15, 4.62521E-15, 9.59176E-15, 2.42627E-16, 2.55076E-16, 2.32214E-16, 9.59176E-15
43, 5.45949E-15, 3.55341E-15, 4.26971E-15, 8.11909E-15, 2.41228E-16, 2.57235E-16, 2.30293E-16, 8.11909E-15
44, 5.74827E-15, 3.43245E-15, 4.27002E-15, 1.11767E-14, 2.44837E-16, 2.57183E-16, 2.34898E-16, 1.11767E-14
45, 5.48971E-15, 3.18857E-15, 4.98209E-15, 9.70913E-15, 2.46080E-16, 2.63901E-16, 2.34080E-16, 9.70913E-15
46, 5.78023E-15, 3.68044E-15, 5.33841E-15, 1.13192E-14, 2.47835E-16, 2.61821E-16, 2.36728E-16, 1.13192E-14
