time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,         NaN
1, 1.24155E-15, 7.34632E-16, 9.39008E-16, 1.28311E-14, 5.38368E-17, 3.42628E-17, 5.76371E-17, 1.28311E-14
2, 1.54494E-15, 1.22485E-15, 1.88354E-15, 1.68176E-14, 1.03319E-16, 6.40461E-17, 8.42271E-17, 1.68176E-14
3, 2.46066E-15, 1.22534E-15, 1.57418E-15, 1.47018E-14, 1.31350E-16, 8.12762E-17, 9.93968E-17, 1.47018E-14
4, 3.06171E-15, 1.71621E-15, 2.21017E-15, 1.26878E-14, 1.49852E-16, 9.44235E-17, 1.13981E-16, 1.26878E-14
5, 2.43804E-15, 1.59436E-15, 1.58316E-15, 1.76774E-14, 1.64508E-16, 1.04099E-16, 1.22945E-16, 1.76774E-14
6, 3.03336E-15, 1.47243E-15, 1.90510E-15, 1.42080E-14, 1.75479E-16, 1.11989E-16, 1.28788E-16, 1.42080E-14
7, 1.81149E-15, 1.47319E-15, 1.59194E-15, 1.09808E-14, 1.83688E-16, 1.17708E-16, 1.37947E-16, 1.09808E-14
8, 2.40394E-15, 1.47399E-15, 1.91549E-15, 1.10819E-14, 1.90006E-16, 1.23575E-16, 1.42683E-16, 1.10819E-14
9, 2.39256E-15, 2.21226E-15, 1.92058E-15, 1.63005E-14, 1.97344E-16, 1.28822E-16, 1.45727E-16, 1.63005E-14
10, 2.38120E-15, 1.47574E-15, 1.92558E-15, 1.48503E-14, 2.01940E-16, 1.32835E-16, 1.51663E-16, 1.48503E-14
11, 2.36986E-15, 1.23057E-15, 2.57401E-15, 1.84415E-14, 2.05593E-16, 1.36006E-16, 1.55167E-16, 1.84415E-14
12, 2.35855E-15, 1.47768E-15, 2.25790E-15, 1.39643E-14, 2.09335E-16, 1.39317E-16, 1.57860E-16, 1.39643E-14
13, 2.34728E-15, 1.72519E-15, 1.94010E-15, 1.33811E-14, 2.12045E-16, 1.42149E-16, 1.60131E-16, 1.33811E-14
14, 2.33606E-15, 1.47984E-15, 2.26888E-15, 2.18275E-14, 2.13728E-16, 1.42643E-16, 1.62370E-16, 2.18275E-14
15, 2.32490E-15, 1.48100E-15, 1.94931E-15, 1.81822E-14, 2.15884E-16, 1.45883E-16, 1.65080E-16, 1.81822E-14
16, 2.89225E-15, 1.48221E-15, 2.60503E-15, 1.80143E-14, 2.16844E-16, 1.47661E-16, 1.66806E-16, 1.80143E-14
17, 2.30278E-15, 1.48348E-15, 1.95814E-15, 1.32188E-14, 2.18332E-16, 1.49603E-16, 1.68872E-16, 1.32188E-14
18, 2.29185E-15, 1.73228E-15, 2.28946E-15, 1.58656E-14, 2.19614E-16, 1.49852E-16, 1.71130E-16, 1.58656E-14
19, 1.85331E-15, 1.48619E-15, 2.29431E-15, 1.19770E-14, 2.20751E-16, 1.51542E-16, 1.71573E-16, 1.19770E-14
20, 2.55403E-15, 1.48764E-15, 1.97060E-15, 1.17652E-14, 2.21761E-16, 1.54119E-16, 1.72861E-16, 1.17652E-14
21, 2.22430E-15, 1.48915E-15, 2.30362E-15, 1.56798E-14, 2.22081E-16, 1.55354E-16, 1.74726E-16, 1.56798E-14
22, 2.81134E-15, 1.49072E-15, 1.97836E-15, 1.21929E-14, 2.22424E-16, 1.55626E-16, 1.76411E-16, 1.21929E-14
23, 1.95882E-15, 1.49235E-15, 2.31242E-15, 1.77353E-14, 2.23827E-16, 1.56709E-16, 1.77627E-16, 1.77353E-14
24, 2.22836E-15, 1.99206E-15, 2.31661E-15, 2.01294E-14, 2.23478E-16, 1.56830E-16, 1.79972E-16, 2.01294E-14
25, 3.05001E-15, 1.49580E-15, 1.98915E-15, 1.56334E-14, 2.24683E-16, 1.57368E-16, 1.79194E-16, 1.56334E-14
26, 2.20815E-15, 1.74722E-15, 2.32459E-15, 1.73147E-14, 2.25819E-16, 1.56858E-16, 1.79106E-16, 1.73147E-14
27, 2.74780E-15, 1.49951E-15, 2.66100E-15, 1.37821E-14, 2.25122E-16, 1.58337E-16, 1.79687E-16, 1.37821E-14
28, 2.73560E-15, 1.50146E-15, 2.33201E-15, 2.02033E-14, 2.25443E-16, 1.58095E-16, 1.82116E-16, 2.02033E-14
29, 2.17886E-15, 1.50347E-15, 2.00186E-15, 1.34934E-14, 2.23809E-16, 1.58247E-16, 1.83091E-16, 1.34934E-14
30, 2.44057E-15, 1.50556E-15, 2.00472E-15, 1.64203E-14, 2.24783E-16, 1.59597E-16, 1.85393E-16, 1.64203E-14
31, 2.43008E-15, 1.50771E-15, 2.00746E-15, 1.72447E-14, 2.24986E-16, 1.59980E-16, 1.83636E-16, 1.72447E-14
32, 2.68864E-15, 2.01323E-15, 2.01006E-15, 1.51470E-14, 2.24812E-16, 1.60561E-16, 1.85064E-16, 1.51470E-14
33, 2.81125E-15, 1.51220E-15, 2.34796E-15, 2.03793E-14, 2.23291E-16, 1.60568E-16, 1.85532E-16, 2.03793E-14
34, 3.19958E-15, 2.01940E-15, 2.01488E-15, 1.81485E-14, 2.23852E-16, 1.60569E-16, 1.84708E-16, 1.81485E-14
35, 2.92100E-15, 1.76980E-15, 2.01708E-15, 2.32344E-14, 2.23337E-16, 1.60924E-16, 1.87421E-16, 2.32344E-14
36, 2.77705E-15, 1.51945E-15, 2.01916E-15, 2.12213E-14, 2.22601E-16, 1.61318E-16, 1.84398E-16, 2.12213E-14
37, 2.89779E-15, 1.77567E-15, 2.02109E-15, 1.35388E-14, 2.22339E-16, 1.62462E-16, 1.85540E-16, 1.35388E-14
38, 2.36171E-15, 1.77872E-15, 2.36003E-15, 1.33904E-14, 2.23198E-16, 1.62436E-16, 1.86016E-16, 1.33904E-14
39, 2.87550E-15, 1.78186E-15, 2.02454E-15, 1.42753E-14, 2.23089E-16, 1.63057E-16, 1.84797E-16, 1.42753E-14
40, 2.60427E-15, 1.53006E-15, 2.36374E-15, 1.33151E-14, 2.23298E-16, 1.63701E-16, 1.85231E-16, 1.33151E-14
41, 3.11360E-15, 1.53288E-15, 2.02745E-15, 1.46465E-14, 2.22097E-16, 1.63599E-16, 1.86581E-16, 1.46465E-14
42, 2.84381E-15, 1.79173E-15, 3.04304E-15, 1.04925E-14, 2.22732E-16, 1.64811E-16, 1.89226E-16, 1.04925E-14
43, 2.83372E-15, 1.53873E-15, 2.02980E-15, 1.31841E-14, 2.23674E-16, 1.65156E-16, 1.89339E-16, 1.31841E-14
44, 2.69551E-15, 1.54175E-15, 2.36923E-15, 1.48645E-14, 2.23351E-16, 1.65289E-16, 1.90819E-16, 1.48645E-14
45, 3.07010E-15, 1.80232E-15, 2.37021E-15, 1.43311E-14, 2.23585E-16, 1.66188E-16, 1.89139E-16, 1.43311E-14
46, 2.67739E-15, 2.32201E-15, 2.37103E-15, 1.22548E-14, 2.22408E-16, 1.65310E-16, 1.89257E-16, 1.22548E-14
47, 2.79575E-15, 1.80978E-15, 2.03289E-15, 1.94908E-14, 2.23027E-16, 1.65866E-16, 1.92033E-16, 1.94908E-14
48, 3.04021E-15, 2.07271E-15, 2.03335E-15, 1.58481E-14, 2.22431E-16, 1.65495E-16, 1.91788E-16, 1.58481E-14
49, 2.77822E-15, 1.81755E-15, 2.03368E-15, 1.62357E-14, 2.22497E-16, 1.68529E-16, 1.91797E-16, 1.62357E-14
50, 2.89572E-15, 1.82155E-15, 2.03389E-15, 1.47379E-14, 2.22957E-16, 1.68220E-16, 1.91632E-16, 1.47379E-14
51, 2.76165E-15, 2.08643E-15, 2.03399E-15, 1.45770E-14, 2.21511E-16, 1.67286E-16, 1.92574E-16, 1.45770E-14
52, 3.12925E-15, 1.82979E-15, 2.37297E-15, 1.36485E-14, 2.20861E-16, 1.67754E-16, 1.92493E-16, 1.36485E-14
53, 2.74606E-15, 2.09602E-15, 2.26691E-15, 1.39350E-14, 2.20687E-16, 1.68478E-16, 1.91070E-16, 1.39350E-14
