time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,         NaN
1, 4.90268E-16, 9.23174E-16, 7.13891E-16, 1.70919E-14, 3.26081E-17, 4.62094E-17, 4.36647E-17, 1.70919E-14
2, 9.82787E-16, 1.38793E-15, 1.42753E-15, 1.79412E-14, 6.28888E-17, 7.31952E-17, 6.72272E-17, 1.79412E-14
3, 1.47761E-15, 1.85474E-15, 1.42728E-15, 2.13857E-14, 8.16965E-17, 9.09612E-17, 8.31448E-17, 2.13857E-14
4, 1.48108E-15, 1.39413E-15, 1.42704E-15, 1.69546E-14, 9.50769E-17, 1.01822E-16, 9.40082E-17, 1.69546E-14
5, 9.89732E-16, 1.39716E-15, 1.42679E-15, 1.73037E-14, 1.06566E-16, 1.10741E-16, 1.02130E-16, 1.73037E-14
6, 1.98421E-15, 1.40014E-15, 1.42656E-15, 1.83443E-14, 1.14919E-16, 1.18469E-16, 1.10589E-16, 1.83443E-14
7, 1.49176E-15, 1.87076E-15, 1.60461E-15, 2.26975E-14, 1.21374E-16, 1.24156E-16, 1.18305E-16, 2.26975E-14
8, 1.24617E-15, 1.40594E-15, 1.42609E-15, 1.33004E-14, 1.27745E-16, 1.29427E-16, 1.21380E-16, 1.33004E-14
9, 1.24923E-15, 1.40877E-15, 1.42587E-15, 1.12553E-14, 1.32047E-16, 1.34143E-16, 1.26370E-16, 1.12553E-14
10, 1.50279E-15, 1.88205E-15, 1.78206E-15, 1.44895E-14, 1.36563E-16, 1.38462E-16, 1.27836E-16, 1.44895E-14
11, 1.50653E-15, 1.88568E-15, 1.42544E-15, 1.29323E-14, 1.39632E-16, 1.42580E-16, 1.32953E-16, 1.29323E-14
12, 2.01373E-15, 1.88923E-15, 1.42523E-15, 1.65394E-14, 1.42904E-16, 1.45113E-16, 1.34747E-16, 1.65394E-14
13, 1.51410E-15, 1.89271E-15, 1.60316E-15, 1.37712E-14, 1.46173E-16, 1.46759E-16, 1.36166E-16, 1.37712E-14
14, 1.26494E-15, 1.65911E-15, 1.42484E-15, 1.23701E-14, 1.49016E-16, 1.49060E-16, 1.39032E-16, 1.23701E-14
15, 1.52178E-15, 1.66203E-15, 1.78081E-15, 1.31229E-14, 1.52157E-16, 1.51788E-16, 1.40898E-16, 1.31229E-14
16, 1.77993E-15, 1.66488E-15, 1.78059E-15, 1.37360E-14, 1.54455E-16, 1.54541E-16, 1.40947E-16, 1.37360E-14
17, 1.52955E-15, 1.66767E-15, 1.42430E-15, 1.30158E-14, 1.55758E-16, 1.55318E-16, 1.43201E-16, 1.30158E-14
18, 1.53346E-15, 1.43177E-15, 1.78017E-15, 1.13755E-14, 1.56839E-16, 1.56754E-16, 1.48595E-16, 1.13755E-14
19, 1.53740E-15, 1.91207E-15, 1.42398E-15, 1.87064E-14, 1.59433E-16, 1.59566E-16, 1.45686E-16, 1.87064E-14
20, 1.79824E-15, 1.91503E-15, 1.77979E-15, 1.67936E-14, 1.60796E-16, 1.61455E-16, 1.45348E-16, 1.67936E-14
21, 1.54532E-15, 1.67818E-15, 1.77962E-15, 9.53869E-15, 1.60933E-16, 1.62216E-16, 1.46558E-16, 9.53869E-15
22, 1.80753E-15, 1.92073E-15, 1.42356E-15, 1.97808E-14, 1.62385E-16, 1.62247E-16, 1.51897E-16, 1.97808E-14
23, 1.55332E-15, 1.92347E-15, 1.77930E-15, 1.97006E-14, 1.62697E-16, 1.63930E-16, 1.49426E-16, 1.97006E-14
24, 1.81690E-15, 1.92613E-15, 1.77916E-15, 1.39410E-14, 1.64292E-16, 1.64010E-16, 1.49390E-16, 1.39410E-14
25, 1.82161E-15, 1.92871E-15, 1.77904E-15, 1.58129E-14, 1.64788E-16, 1.66040E-16, 1.50346E-16, 1.58129E-14
26, 1.82635E-15, 1.68981E-15, 1.77892E-15, 2.09343E-14, 1.65499E-16, 1.65899E-16, 1.51368E-16, 2.09343E-14
27, 2.09269E-15, 1.93362E-15, 1.77882E-15, 2.14232E-14, 1.66689E-16, 1.67726E-16, 1.50361E-16, 2.14232E-14
28, 1.83588E-15, 1.69397E-15, 1.77873E-15, 2.05742E-14, 1.67356E-16, 1.67293E-16, 1.53460E-16, 2.05742E-14
29, 1.57773E-15, 1.93822E-15, 2.13438E-15, 1.41664E-14, 1.67894E-16, 1.68230E-16, 1.52687E-16, 1.41664E-14
30, 1.58186E-15, 1.94039E-15, 1.77859E-15, 1.68801E-14, 1.67739E-16, 1.68596E-16, 1.53203E-16, 1.68801E-14
31, 1.85035E-15, 1.94247E-15, 1.77854E-15, 1.50549E-14, 1.69343E-16, 1.70265E-16, 1.52542E-16, 1.50549E-14
32, 1.85522E-15, 1.94447E-15, 1.77851E-15, 1.33692E-14, 1.69970E-16, 1.70231E-16, 1.54417E-16, 1.33692E-14
33, 1.86012E-15, 1.94639E-15, 2.48988E-15, 1.61766E-14, 1.70331E-16, 1.70792E-16, 1.55410E-16, 1.61766E-14
34, 1.59861E-15, 1.94821E-15, 1.77848E-15, 1.68540E-14, 1.72006E-16, 1.71326E-16, 1.56247E-16, 1.68540E-14
35, 2.13714E-15, 1.94994E-15, 2.13418E-15, 1.61678E-14, 1.72228E-16, 1.71580E-16, 1.56034E-16, 1.61678E-14
36, 2.14284E-15, 1.95159E-15, 1.77851E-15, 1.25370E-14, 1.73099E-16, 1.72201E-16, 1.54094E-16, 1.25370E-14
37, 2.14857E-15, 1.95314E-15, 1.77854E-15, 1.44440E-14, 1.73247E-16, 1.74613E-16, 1.55041E-16, 1.44440E-14
38, 2.15434E-15, 1.95460E-15, 2.13431E-15, 1.60911E-14, 1.75287E-16, 1.73929E-16, 1.56913E-16, 1.60911E-14
39, 2.70019E-15, 1.71147E-15, 1.77866E-15, 1.60247E-14, 1.75468E-16, 1.74655E-16, 1.58178E-16, 1.60247E-14
40, 1.89525E-15, 1.95725E-15, 1.77873E-15, 1.64420E-14, 1.75506E-16, 1.74730E-16, 1.58561E-16, 1.64420E-14
41, 2.44337E-15, 1.95843E-15, 2.13459E-15, 1.79993E-14, 1.75364E-16, 1.74346E-16, 1.59451E-16, 1.79993E-14
42, 2.17782E-15, 1.95951E-15, 2.49050E-15, 1.52269E-14, 1.77235E-16, 1.74596E-16, 1.57444E-16, 1.52269E-14
43, 2.45677E-15, 1.96050E-15, 1.60114E-15, 1.18204E-14, 1.76634E-16, 1.74798E-16, 1.56114E-16, 1.18204E-14
44, 2.46354E-15, 1.71622E-15, 2.31293E-15, 1.30791E-14, 1.78411E-16, 1.74560E-16, 1.56702E-16, 1.30791E-14
45, 2.47037E-15, 1.71692E-15, 2.13518E-15, 1.61029E-14, 1.78010E-16, 1.74950E-16, 1.60183E-16, 1.61029E-14
46, 2.47724E-15, 1.96290E-15, 1.60152E-15, 1.34415E-14, 1.79264E-16, 1.76096E-16, 1.59851E-16, 1.34415E-14
47, 2.20815E-15, 1.84080E-15, 2.13556E-15, 1.45592E-14, 1.79009E-16, 1.75943E-16, 1.59668E-16, 1.45592E-14
48, 2.76794E-15, 1.47302E-15, 2.13577E-15, 1.53164E-14, 1.80768E-16, 1.75297E-16, 1.58422E-16, 1.53164E-14
49, 2.77576E-15, 1.96446E-15, 1.78000E-15, 8.84833E-15, 1.81232E-16, 1.76409E-16, 1.59181E-16, 8.84833E-15
50, 2.50527E-15, 1.96479E-15, 2.13624E-15, 1.04339E-14, 1.82268E-16, 1.76650E-16, 1.60926E-16, 1.04339E-14
51, 2.79157E-15, 1.96502E-15, 2.13649E-15, 1.55843E-14, 1.82145E-16, 1.76708E-16, 1.61475E-16, 1.55843E-14
52, 2.51960E-15, 1.96517E-15, 1.78063E-15, 1.09200E-14, 1.82657E-16, 1.76216E-16, 1.60967E-16, 1.09200E-14
53, 2.52685E-15, 1.84240E-15, 1.78085E-15, 1.33340E-14, 1.83295E-16, 1.77434E-16, 1.61515E-16, 1.33340E-14
54, 2.81573E-15, 2.45649E-15, 1.78109E-15, 1.27639E-14, 1.83338E-16, 1.77102E-16, 1.61443E-16, 1.27639E-14
55, 2.82390E-15, 1.96507E-15, 2.13761E-15, 1.40704E-14, 1.84073E-16, 1.77347E-16, 1.61966E-16, 1.40704E-14
56, 2.54892E-15, 1.71926E-15, 1.78160E-15, 1.03940E-14, 1.84699E-16, 1.77350E-16, 1.67396E-16, 1.03940E-14
57, 2.27235E-15, 1.96457E-15, 2.13824E-15, 1.45106E-14, 1.85217E-16, 1.78899E-16, 1.66388E-16, 1.45106E-14
58, 2.27903E-15, 1.59591E-15, 1.78214E-15, 1.03033E-14, 1.85847E-16, 1.78276E-16, 1.62851E-16, 1.03033E-14
59, 2.28576E-15, 2.33193E-15, 2.13892E-15, 1.40487E-14, 1.86952E-16, 1.78330E-16, 1.63102E-16, 1.40487E-14
60, 2.29254E-15, 1.96319E-15, 2.13927E-15, 1.73719E-14, 1.87077E-16, 1.78069E-16, 1.65243E-16, 1.73719E-14
61, 2.29937E-15, 2.08523E-15, 1.78303E-15, 1.87861E-14, 1.86293E-16, 1.79198E-16, 1.65260E-16, 1.87861E-14
62, 3.45937E-15, 1.96186E-15, 2.14001E-15, 1.47413E-14, 1.86734E-16, 1.78314E-16, 1.62827E-16, 1.47413E-14
63, 3.18061E-15, 1.96108E-15, 2.49713E-15, 1.33056E-14, 1.87163E-16, 1.80582E-16, 1.65930E-16, 1.33056E-14
64, 2.90018E-15, 1.96022E-15, 1.78399E-15, 1.26454E-14, 1.88765E-16, 1.79191E-16, 1.63551E-16, 1.26454E-14
65, 2.90895E-15, 1.95929E-15, 2.14120E-15, 1.08511E-14, 1.89169E-16, 1.79681E-16, 1.65331E-16, 1.08511E-14
66, 3.20956E-15, 1.95828E-15, 1.78468E-15, 1.77134E-14, 1.89950E-16, 1.78794E-16, 1.64148E-16, 1.77134E-14
67, 3.21934E-15, 1.71255E-15, 2.14205E-15, 1.34381E-14, 1.90542E-16, 1.79443E-16, 1.63035E-16, 1.34381E-14
68, 4.10987E-15, 1.95604E-15, 1.78540E-15, 1.67990E-14, 1.90362E-16, 1.79185E-16, 1.63787E-16, 1.67990E-14
69, 3.53355E-15, 1.95482E-15, 2.14294E-15, 1.19273E-14, 1.92108E-16, 1.78031E-16, 1.64105E-16, 1.19273E-14
70, 4.13517E-15, 1.95352E-15, 2.14340E-15, 1.14464E-14, 1.93084E-16, 1.77790E-16, 1.63694E-16, 1.14464E-14
71, 3.55538E-15, 1.95215E-15, 2.50119E-15, 2.06734E-14, 1.93761E-16, 1.78751E-16, 1.65328E-16, 2.06734E-14
72, 3.56639E-15, 1.46304E-15, 2.14436E-15, 1.18612E-14, 1.93558E-16, 1.78970E-16, 1.67458E-16, 1.18612E-14
73, 3.57748E-15, 2.07104E-15, 2.14486E-15, 1.18034E-14, 1.94847E-16, 1.79068E-16, 1.67618E-16, 1.18034E-14
74, 3.58863E-15, 1.94764E-15, 2.14537E-15, 1.16415E-14, 1.94934E-16, 1.78077E-16, 1.65189E-16, 1.16415E-14
75, 4.19982E-15, 2.18926E-15, 2.86119E-15, 1.31355E-14, 1.96307E-16, 1.80263E-16, 1.67020E-16, 1.31355E-14
76, 4.51392E-15, 2.43038E-15, 2.50417E-15, 1.51286E-14, 1.95662E-16, 1.80724E-16, 1.67567E-16, 1.51286E-14
77, 4.52811E-15, 1.94253E-15, 1.78915E-15, 1.11618E-14, 1.96957E-16, 1.79937E-16, 1.69635E-16, 1.11618E-14
78, 4.23955E-15, 2.18329E-15, 2.14755E-15, 1.73208E-14, 1.96479E-16, 1.79763E-16, 1.68775E-16, 1.73208E-14
