time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,         NaN
1, 1.50305E-05, 1.98801E-05, 1.51950E-05, 7.61548E-05, 3.34443E-07, 2.39896E-07, 2.77864E-07, 7.61548E-05
2, 1.34892E-05, 1.99580E-05, 1.47716E-05, 1.61196E-05, 3.23911E-07, 2.38442E-07, 2.76111E-07, 1.61196E-05
3, 1.36994E-05, 2.00270E-05, 1.48168E-05, 6.15388E-06, 3.30628E-07, 2.39836E-07, 2.76027E-07, 6.15388E-06
4, 1.34775E-05, 2.00881E-05, 1.47404E-05, 5.34196E-06, 3.36638E-07, 2.42130E-07, 2.80336E-07, 5.34196E-06
5, 1.50875E-05, 2.01417E-05, 1.46802E-05, 5.66900E-06, 3.41027E-07, 2.45242E-07, 2.84902E-07, 5.66900E-06
6, 1.77381E-05, 2.01879E-05, 1.46280E-05, 5.86149E-06, 3.47216E-07, 2.48643E-07, 2.90136E-07, 5.86149E-06
7, 2.05183E-05, 2.02266E-05, 1.45805E-05, 5.92801E-06, 3.53585E-07, 2.52285E-07, 2.95472E-07, 5.92801E-06
8, 2.33938E-05, 2.02576E-05, 1.45341E-05, 5.97358E-06, 3.60400E-07, 2.56046E-07, 3.01069E-07, 5.97358E-06
9, 2.63210E-05, 2.02806E-05, 1.44858E-05, 6.12833E-06, 3.67125E-07, 2.59824E-07, 3.06615E-07, 6.12833E-06
10, 2.92540E-05, 2.02952E-05, 1.44330E-05, 6.29514E-06, 3.73895E-07, 2.63564E-07, 3.12092E-07, 6.29514E-06
11, 3.21473E-05, 2.03012E-05, 1.43736E-05, 6.45928E-06, 3.80360E-07, 2.67222E-07, 3.17393E-07, 6.45928E-06
12, 3.49578E-05, 2.02981E-05, 1.43065E-05, 6.61958E-06, 3.86589E-07, 2.70768E-07, 3.22575E-07, 6.61958E-06
13, 3.76457E-05, 2.02860E-05, 1.42310E-05, 6.77498E-06, 3.92822E-07, 2.74197E-07, 3.27606E-07, 6.77498E-06
14, 4.01760E-05, 2.02646E-05, 1.41470E-05, 6.92451E-06, 3.98858E-07, 2.77478E-07, 3.32418E-07, 6.92451E-06
15, 4.25190E-05, 2.02340E-05, 1.40553E-05, 7.06718E-06, 4.04585E-07, 2.80619E-07, 3.36995E-07, 7.06718E-06
16, 4.46516E-05, 2.01945E-05, 1.39567E-05, 7.20198E-06, 4.10065E-07, 2.83636E-07, 3.41366E-07, 7.20198E-06
17, 4.65568E-05, 2.01463E-05, 1.38742E-05, 7.32779E-06, 4.15428E-07, 2.86507E-07, 3.45546E-07, 7.32779E-06
18, 4.82239E-05, 2.00900E-05, 1.38373E-05, 7.44337E-06, 4.20703E-07, 2.89217E-07, 3.49516E-07, 7.44337E-06
19, 4.96483E-05, 2.00261E-05, 1.37948E-05, 7.54736E-06, 4.25661E-07, 2.91793E-07, 3.53282E-07, 7.54736E-06
20, 5.08308E-05, 1.99552E-05, 1.37471E-05, 7.63829E-06, 4.30360E-07, 2.94246E-07, 3.56855E-07, 7.63829E-06
21, 5.17768E-05, 1.98783E-05, 1.36942E-05, 7.71464E-06, 4.34821E-07, 2.96574E-07, 3.60282E-07, 7.71464E-06
22, 5.24959E-05, 1.97959E-05, 1.36364E-05, 7.77490E-06, 4.39098E-07, 2.98791E-07, 3.63550E-07, 7.77490E-06
23, 5.30007E-05, 1.97090E-05, 1.35739E-05, 7.81768E-06, 4.43122E-07, 3.00919E-07, 3.66668E-07, 7.81768E-06
24, 5.33060E-05, 1.96184E-05, 1.35070E-05, 7.84180E-06, 4.46868E-07, 3.02948E-07, 3.69679E-07, 7.84180E-06
25, 5.34283E-05, 1.95248E-05, 1.34360E-05, 7.84641E-06, 4.50312E-07, 3.04879E-07, 3.72570E-07, 7.84641E-06
26, 5.33847E-05, 1.94288E-05, 1.33611E-05, 7.83105E-06, 4.53541E-07, 3.06719E-07, 3.75350E-07, 7.83105E-06
27, 5.31927E-05, 1.93310E-05, 1.32828E-05, 7.79574E-06, 4.56569E-07, 3.08476E-07, 3.78017E-07, 7.79574E-06
28, 5.28693E-05, 1.92318E-05, 1.32014E-05, 7.74095E-06, 4.59298E-07, 3.10170E-07, 3.80578E-07, 7.74095E-06
29, 5.24308E-05, 1.91316E-05, 1.31174E-05, 7.66767E-06, 4.61727E-07, 3.11810E-07, 3.83032E-07, 7.66767E-06
30, 5.18926E-05, 1.90306E-05, 1.30314E-05, 7.57727E-06, 4.63948E-07, 3.13405E-07, 3.85382E-07, 7.57727E-06
31, 5.12687E-05, 1.89287E-05, 1.29439E-05, 7.47147E-06, 4.65909E-07, 3.14948E-07, 3.87619E-07, 7.47147E-06
32, 5.05720E-05, 1.88261E-05, 1.28556E-05, 7.35224E-06, 4.67602E-07, 3.16425E-07, 3.89737E-07, 7.35224E-06
33, 4.98139E-05, 1.87227E-05, 1.27669E-05, 7.22168E-06, 4.69052E-07, 3.17848E-07, 3.91767E-07, 7.22168E-06
34, 4.90045E-05, 1.86183E-05, 1.26785E-05, 7.08191E-06, 4.70292E-07, 3.19196E-07, 3.93707E-07, 7.08191E-06
35, 4.81527E-05, 1.85128E-05, 1.25908E-05, 6.93499E-06, 4.71266E-07, 3.20479E-07, 3.95569E-07, 6.93499E-06
