time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,         NaN
1, 5.94939E-04, 1.67933E-04, 1.68744E-04, 8.95462E-02, 1.24058E-05, 8.52424E-06, 5.10544E-06, 5.05935E+00
2, 5.46194E-04, 2.24637E-04, 2.20951E-04, 5.73918E-02, 9.45006E-06, 5.84876E-06, 3.75384E-06, 2.25387E+01
3, 1.32041E-04, 8.90973E-05, 8.38561E-05, 8.77387E-03, 3.63772E-06, 2.44966E-06, 1.46789E-06, 1.11224E+01
4, 1.67507E-04, 3.09050E-05, 4.32896E-05, 8.02310E-04, 3.05883E-06, 2.10109E-06, 1.27412E-06, 1.90557E+00
5, 1.74624E-04, 3.41309E-05, 4.37869E-05, 4.48782E-04, 3.17588E-06, 2.17473E-06, 1.32763E-06, 2.64936E-01
6, 1.76469E-04, 3.43223E-05, 4.41281E-05, 3.10872E-04, 3.18783E-06, 2.19035E-06, 1.33479E-06, 3.22020E-02
7, 1.74263E-04, 3.40426E-05, 4.42979E-05, 3.35042E-04, 3.18840E-06, 2.19995E-06, 1.33918E-06, 6.63591E-03
8, 1.72389E-04, 3.37747E-05, 4.44631E-05, 3.20259E-04, 3.18983E-06, 2.20995E-06, 1.34395E-06, 3.32608E-03
9, 1.70412E-04, 3.35025E-05, 4.46943E-05, 3.22827E-04, 3.19134E-06, 2.21991E-06, 1.34880E-06, 1.15415E-03
10, 1.68452E-04, 3.32313E-05, 4.49132E-05, 3.21278E-04, 3.19297E-06, 2.22994E-06, 1.35375E-06, 9.49403E-04
11, 1.66470E-04, 3.29582E-05, 4.51192E-05, 3.20948E-04, 3.19465E-06, 2.23996E-06, 1.35883E-06, 8.30504E-04
12, 1.64475E-04, 3.26835E-05, 4.53122E-05, 3.20099E-04, 3.19638E-06, 2.24997E-06, 1.36402E-06, 8.58801E-04
13, 1.62464E-04, 3.24073E-05, 4.54921E-05, 3.19262E-04, 3.19820E-06, 2.25996E-06, 1.36931E-06, 8.63948E-04
14, 1.60440E-04, 3.21296E-05, 4.56590E-05, 3.18276E-04, 3.20017E-06, 2.26995E-06, 1.37470E-06, 8.75334E-04
15, 1.58402E-04, 3.18505E-05, 4.58129E-05, 3.17192E-04, 3.20234E-06, 2.27993E-06, 1.38014E-06, 8.86503E-04
16, 1.56352E-04, 3.15702E-05, 4.59537E-05, 3.15994E-04, 3.20457E-06, 2.28991E-06, 1.38564E-06, 8.98555E-04
17, 1.54290E-04, 3.14772E-05, 4.60814E-05, 3.14687E-04, 3.20697E-06, 2.29987E-06, 1.39116E-06, 9.09931E-04
18, 1.52218E-04, 3.14029E-05, 4.63750E-05, 3.13269E-04, 3.20952E-06, 2.30982E-06, 1.39674E-06, 9.20984E-04
19, 1.50135E-04, 3.13272E-05, 4.68806E-05, 3.11742E-04, 3.21215E-06, 2.31974E-06, 1.40239E-06, 9.31490E-04
20, 1.48043E-04, 3.12500E-05, 4.73782E-05, 3.10105E-04, 3.21480E-06, 2.32966E-06, 1.40806E-06, 9.41510E-04
21, 1.46172E-04, 3.11714E-05, 4.78674E-05, 3.08358E-04, 3.21749E-06, 2.33956E-06, 1.41383E-06, 9.51022E-04
22, 1.46180E-04, 3.10914E-05, 4.83475E-05, 3.06502E-04, 3.22031E-06, 2.34943E-06, 1.41969E-06, 9.60029E-04
23, 1.46157E-04, 3.10101E-05, 4.88179E-05, 3.04538E-04, 3.22322E-06, 2.35926E-06, 1.42565E-06, 9.68526E-04
24, 1.46104E-04, 3.09275E-05, 4.92781E-05, 3.02466E-04, 3.22618E-06, 2.36904E-06, 1.43170E-06, 9.76512E-04
25, 1.46021E-04, 3.08435E-05, 4.97273E-05, 3.00287E-04, 3.22917E-06, 2.37875E-06, 1.43782E-06, 9.83985E-04
26, 1.45908E-04, 3.07583E-05, 5.01651E-05, 2.98001E-04, 3.23228E-06, 2.38839E-06, 1.44398E-06, 9.90944E-04
27, 1.45765E-04, 3.06717E-05, 5.05907E-05, 2.95610E-04, 3.23555E-06, 2.39795E-06, 1.45020E-06, 9.97389E-04
28, 1.45592E-04, 3.05840E-05, 5.10036E-05, 2.93115E-04, 3.23885E-06, 2.40746E-06, 1.45648E-06, 1.00332E-03
29, 1.45390E-04, 3.04950E-05, 5.14032E-05, 2.90515E-04, 3.24228E-06, 2.41689E-06, 1.46288E-06, 1.00873E-03
30, 1.45159E-04, 3.04048E-05, 5.17889E-05, 2.87814E-04, 3.24577E-06, 2.42620E-06, 1.46930E-06, 1.01364E-03
31, 1.44900E-04, 3.03135E-05, 5.21600E-05, 2.85011E-04, 3.24927E-06, 2.43543E-06, 1.47575E-06, 1.01802E-03
32, 1.44612E-04, 3.02209E-05, 5.25160E-05, 2.82109E-04, 3.25282E-06, 2.44459E-06, 1.48236E-06, 1.02190E-03
33, 1.44295E-04, 3.01272E-05, 5.28563E-05, 2.79108E-04, 3.25639E-06, 2.45363E-06, 1.48907E-06, 1.02527E-03
34, 1.43951E-04, 3.00324E-05, 5.31802E-05, 2.76010E-04, 3.26000E-06, 2.46257E-06, 1.49590E-06, 1.02812E-03
35, 1.43579E-04, 2.99364E-05, 5.34872E-05, 2.72816E-04, 3.26361E-06, 2.47141E-06, 1.50280E-06, 1.03048E-03
36, 1.43180E-04, 2.98393E-05, 5.37768E-05, 2.69529E-04, 3.26730E-06, 2.48016E-06, 1.50972E-06, 1.03233E-03
37, 1.42754E-04, 2.97411E-05, 5.40483E-05, 2.66150E-04, 3.27100E-06, 2.48880E-06, 1.51667E-06, 1.03368E-03
38, 1.42301E-04, 2.96418E-05, 5.43012E-05, 2.62680E-04, 3.27485E-06, 2.49732E-06, 1.52361E-06, 1.03454E-03
39, 1.41822E-04, 2.95414E-05, 5.45350E-05, 2.59122E-04, 3.27883E-06, 2.50575E-06, 1.53056E-06, 1.03490E-03
40, 1.41317E-04, 2.94399E-05, 5.47491E-05, 2.55478E-04, 3.28289E-06, 2.51410E-06, 1.53749E-06, 1.03478E-03
41, 1.40786E-04, 2.93373E-05, 5.49430E-05, 2.51749E-04, 3.28698E-06, 2.52234E-06, 1.54442E-06, 1.03418E-03
42, 1.40230E-04, 2.92337E-05, 5.51161E-05, 2.47938E-04, 3.29109E-06, 2.53046E-06, 1.55137E-06, 1.03310E-03
43, 1.39650E-04, 2.91289E-05, 5.52680E-05, 2.44046E-04, 3.29526E-06, 2.53846E-06, 1.55831E-06, 1.03154E-03
44, 1.39045E-04, 2.90231E-05, 5.53983E-05, 2.40077E-04, 3.29952E-06, 2.54634E-06, 1.56525E-06, 1.02952E-03
45, 1.38416E-04, 2.89162E-05, 5.55063E-05, 2.36031E-04, 3.30385E-06, 2.55412E-06, 1.57218E-06, 1.02704E-03
46, 1.37763E-04, 2.88082E-05, 5.55917E-05, 2.31913E-04, 3.30824E-06, 2.56176E-06, 1.57912E-06, 1.02411E-03
47, 1.37087E-04, 2.86992E-05, 5.56541E-05, 2.27723E-04, 3.31267E-06, 2.56927E-06, 1.58610E-06, 1.02073E-03
48, 1.36389E-04, 2.85891E-05, 5.56930E-05, 2.23464E-04, 3.31711E-06, 2.57662E-06, 1.59306E-06, 1.01690E-03
49, 1.35667E-04, 2.84779E-05, 5.57079E-05, 2.19417E-04, 3.32163E-06, 2.58385E-06, 1.60003E-06, 1.01264E-03
50, 1.34925E-04, 2.83656E-05, 5.56986E-05, 2.16803E-04, 3.32618E-06, 2.59096E-06, 1.60708E-06, 1.00796E-03
51, 1.34160E-04, 2.82522E-05, 5.56647E-05, 2.14125E-04, 3.33067E-06, 2.59793E-06, 1.61415E-06, 1.00285E-03
52, 1.33375E-04, 2.81377E-05, 5.56057E-05, 2.11384E-04, 3.33512E-06, 2.60475E-06, 1.62122E-06, 9.97335E-04
53, 1.32568E-04, 2.80222E-05, 5.55215E-05, 2.08582E-04, 3.33954E-06, 2.61141E-06, 1.62828E-06, 9.91414E-04
54, 1.31742E-04, 2.79055E-05, 5.54117E-05, 2.05720E-04, 3.34391E-06, 2.61794E-06, 1.63535E-06, 9.85096E-04
55, 1.30896E-04, 2.77877E-05, 5.52759E-05, 2.02799E-04, 3.34836E-06, 2.62431E-06, 1.64243E-06, 9.78390E-04
56, 1.30031E-04, 2.76688E-05, 5.51141E-05, 1.99822E-04, 3.35288E-06, 2.63057E-06, 1.64949E-06, 9.71305E-04
57, 1.29147E-04, 2.75488E-05, 5.54455E-05, 1.96789E-04, 3.35737E-06, 2.63666E-06, 1.65657E-06, 9.63848E-04
58, 1.28245E-04, 2.74276E-05, 5.59462E-05, 1.93704E-04, 3.36189E-06, 2.64261E-06, 1.66365E-06, 9.60041E-04
59, 1.27325E-04, 2.73053E-05, 5.64368E-05, 1.90567E-04, 3.36640E-06, 2.64843E-06, 1.67074E-06, 9.70626E-04
60, 1.26387E-04, 2.71818E-05, 5.69167E-05, 1.87380E-04, 3.37090E-06, 2.65414E-06, 1.67783E-06, 9.80707E-04
61, 1.25433E-04, 2.70572E-05, 5.73852E-05, 1.84145E-04, 3.37534E-06, 2.65971E-06, 1.68493E-06, 9.90276E-04
62, 1.24462E-04, 2.73220E-05, 5.78418E-05, 1.80864E-04, 3.37984E-06, 2.66510E-06, 1.69203E-06, 9.99329E-04
63, 1.23476E-04, 2.76461E-05, 5.82856E-05, 1.77539E-04, 3.38435E-06, 2.67031E-06, 1.69913E-06, 1.00786E-03
64, 1.22474E-04, 2.79627E-05, 5.87162E-05, 1.74172E-04, 3.38877E-06, 2.67538E-06, 1.70622E-06, 1.01587E-03
65, 1.21457E-04, 2.82716E-05, 5.91326E-05, 1.70764E-04, 3.39306E-06, 2.68031E-06, 1.71328E-06, 1.02335E-03
66, 1.20426E-04, 2.85727E-05, 5.95345E-05, 1.67317E-04, 3.39730E-06, 2.68505E-06, 1.72037E-06, 1.03030E-03
67, 1.19381E-04, 2.88657E-05, 5.99209E-05, 1.63835E-04, 3.40148E-06, 2.68967E-06, 1.72743E-06, 1.03672E-03
68, 1.18323E-04, 2.91505E-05, 6.02913E-05, 1.60317E-04, 3.40565E-06, 2.69414E-06, 1.73447E-06, 1.04260E-03
69, 1.17251E-04, 2.94269E-05, 6.06451E-05, 1.56768E-04, 3.40974E-06, 2.69846E-06, 1.74150E-06, 1.04793E-03
70, 1.16168E-04, 2.96948E-05, 6.09815E-05, 1.53188E-04, 3.41372E-06, 2.70264E-06, 1.74853E-06, 1.05273E-03
71, 1.15072E-04, 2.99540E-05, 6.12998E-05, 1.49579E-04, 3.41764E-06, 2.70668E-06, 1.75554E-06, 1.05699E-03
72, 1.13965E-04, 3.02043E-05, 6.15995E-05, 1.46127E-04, 3.42153E-06, 2.71060E-06, 1.76253E-06, 1.06070E-03
73, 1.12847E-04, 3.04456E-05, 6.18799E-05, 1.43886E-04, 3.42539E-06, 2.71434E-06, 1.76947E-06, 1.06387E-03
74, 1.11718E-04, 3.06778E-05, 6.21402E-05, 1.41623E-04, 3.42921E-06, 2.71790E-06, 1.77643E-06, 1.06649E-03
75, 1.10580E-04, 3.09007E-05, 6.23800E-05, 1.39339E-04, 3.43299E-06, 2.72129E-06, 1.78340E-06, 1.06858E-03
76, 1.09432E-04, 3.11142E-05, 6.25986E-05, 1.37036E-04, 3.43668E-06, 2.72454E-06, 1.79036E-06, 1.07012E-03
77, 1.08275E-04, 3.13182E-05, 6.27952E-05, 1.34713E-04, 3.44029E-06, 2.72765E-06, 1.79728E-06, 1.07111E-03
