time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,         NaN
1, 4.11162E-03, 2.47595E-03, 2.22106E-03, 3.43962E-02, 1.59454E-04, 1.25622E-04, 1.05183E-04, 3.56751E+00
2, 7.27835E-03, 4.96595E-03, 2.95944E-03, 3.36553E-02, 3.05639E-04, 2.37730E-04, 1.93104E-04, 3.50304E-01
3, 1.06408E-02, 7.42469E-03, 4.45155E-03, 3.38286E-02, 4.53929E-04, 3.52989E-04, 2.87791E-04, 3.94360E-01
4, 1.48893E-02, 1.02740E-02, 5.77546E-03, 3.33941E-02, 6.00176E-04, 4.67112E-04, 3.81098E-04, 3.52527E-01
5, 1.91729E-02, 1.31511E-02, 6.87516E-03, 3.29919E-02, 7.42992E-04, 5.79221E-04, 4.73573E-04, 3.54843E-01
6, 2.45012E-02, 1.59133E-02, 8.26893E-03, 3.25139E-02, 8.82915E-04, 6.89564E-04, 5.64785E-04, 3.61435E-01
7, 2.96758E-02, 1.84317E-02, 9.34204E-03, 3.19941E-02, 1.01998E-03, 7.98238E-04, 6.54797E-04, 3.64435E-01
8, 3.42730E-02, 2.05926E-02, 9.95454E-03, 3.15058E-02, 1.15460E-03, 9.05280E-04, 7.43785E-04, 3.78130E-01
9, 4.07543E-02, 2.30151E-02, 1.18142E-02, 3.12362E-02, 1.28745E-03, 1.01081E-03, 8.32187E-04, 3.90954E-01
10, 4.74823E-02, 2.62602E-02, 1.34266E-02, 3.09205E-02, 1.41838E-03, 1.11479E-03, 9.19579E-04, 4.00097E-01
11, 5.61798E-02, 2.92479E-02, 1.46180E-02, 3.07154E-02, 1.54564E-03, 1.21660E-03, 1.00607E-03, 4.13187E-01
12, 6.56036E-02, 3.18635E-02, 1.62300E-02, 3.23148E-02, 1.67093E-03, 1.31747E-03, 1.09179E-03, 4.18118E-01
13, 7.48244E-02, 3.40012E-02, 1.84753E-02, 3.36638E-02, 1.79311E-03, 1.41684E-03, 1.17651E-03, 4.35535E-01
14, 8.34491E-02, 3.55691E-02, 2.02711E-02, 3.47179E-02, 1.91296E-03, 1.51525E-03, 1.25978E-03, 4.36771E-01
15, 9.10612E-02, 3.64933E-02, 2.29347E-02, 3.54368E-02, 2.03097E-03, 1.61233E-03, 1.34287E-03, 4.43214E-01
16, 9.86759E-02, 3.97142E-02, 2.59802E-02, 3.57860E-02, 2.14759E-03, 1.70877E-03, 1.42532E-03, 4.49326E-01
17, 1.09187E-01, 4.26479E-02, 2.86497E-02, 3.57392E-02, 2.25976E-03, 1.80456E-03, 1.50618E-03, 4.64654E-01
18, 1.18338E-01, 4.50956E-02, 3.07431E-02, 3.73748E-02, 2.37078E-03, 1.89930E-03, 1.58592E-03, 4.86575E-01
19, 1.25597E-01, 4.69644E-02, 3.23045E-02, 3.89028E-02, 2.47727E-03, 1.99312E-03, 1.66531E-03, 4.92453E-01
20, 1.30451E-01, 4.81826E-02, 3.79237E-02, 4.00502E-02, 2.58285E-03, 2.08601E-03, 1.74492E-03, 4.82010E-01
21, 1.32452E-01, 4.87326E-02, 4.33193E-02, 4.07714E-02, 2.68727E-03, 2.17715E-03, 1.82399E-03, 4.68896E-01
22, 1.39838E-01, 5.11803E-02, 4.82018E-02, 4.10298E-02, 2.78700E-03, 2.26867E-03, 1.90223E-03, 4.84539E-01
23, 1.45091E-01, 5.39890E-02, 5.22653E-02, 4.07997E-02, 2.88593E-03, 2.35983E-03, 1.97951E-03, 4.84219E-01
24, 1.47143E-01, 5.64940E-02, 5.52095E-02, 4.09454E-02, 2.98429E-03, 2.44954E-03, 2.05707E-03, 4.68384E-01
25, 1.51619E-01, 6.38510E-02, 5.67504E-02, 4.25457E-02, 3.07834E-03, 2.53720E-03, 2.13443E-03, 4.38267E-01
26, 1.66041E-01, 7.12357E-02, 5.66383E-02, 4.36895E-02, 3.17016E-03, 2.62424E-03, 2.21165E-03, 4.18306E-01
27, 1.76842E-01, 7.91034E-02, 6.22072E-02, 4.43308E-02, 3.26002E-03, 2.71042E-03, 2.28747E-03, 4.16081E-01
28, 1.95789E-01, 8.72019E-02, 7.02943E-02, 4.44353E-02, 3.34882E-03, 2.79494E-03, 2.36378E-03, 4.03622E-01
29, 2.12467E-01, 9.51046E-02, 7.77370E-02, 4.39825E-02, 3.43324E-03, 2.87923E-03, 2.43958E-03, 4.13622E-01
30, 2.24524E-01, 1.02680E-01, 8.42267E-02, 4.29668E-02, 3.51638E-03, 2.96273E-03, 2.51408E-03, 4.19205E-01
31, 2.31370E-01, 1.09797E-01, 8.94625E-02, 4.40056E-02, 3.60073E-03, 3.04620E-03, 2.58692E-03, 4.10480E-01
32, 2.36096E-01, 1.16343E-01, 9.31658E-02, 4.50295E-02, 3.68337E-03, 3.12928E-03, 2.65874E-03, 4.21934E-01
33, 2.48603E-01, 1.22217E-01, 9.50955E-02, 4.55074E-02, 3.76608E-03, 3.21190E-03, 2.73015E-03, 4.45716E-01
34, 2.55222E-01, 1.27331E-01, 9.50606E-02, 4.71274E-02, 3.84820E-03, 3.29393E-03, 2.80389E-03, 4.99153E-01
35, 2.55435E-01, 1.31753E-01, 9.30246E-02, 4.86981E-02, 3.92866E-03, 3.37429E-03, 2.87784E-03, 5.39313E-01
36, 2.52343E-01, 1.36970E-01, 8.88429E-02, 5.00322E-02, 4.01473E-03, 3.45269E-03, 2.95070E-03, 5.63569E-01
37, 2.67349E-01, 1.41258E-01, 8.25280E-02, 5.17489E-02, 4.10091E-03, 3.53007E-03, 3.02215E-03, 5.69924E-01
38, 2.77373E-01, 1.44553E-01, 7.41688E-02, 5.31593E-02, 4.18422E-03, 3.60824E-03, 3.09154E-03, 5.57233E-01
39, 2.81749E-01, 1.46818E-01, 8.03018E-02, 5.45017E-02, 4.26199E-03, 3.68732E-03, 3.15969E-03, 5.25373E-01
40, 2.80085E-01, 1.48507E-01, 9.08836E-02, 5.59898E-02, 4.34317E-03, 3.76766E-03, 3.22669E-03, 5.11678E-01
41, 2.72188E-01, 1.51142E-01, 9.96078E-02, 5.71268E-02, 4.42635E-03, 3.84815E-03, 3.29335E-03, 5.49018E-01
42, 2.58901E-01, 1.52623E-01, 1.06120E-01, 5.85858E-02, 4.50551E-03, 3.92696E-03, 3.36010E-03, 5.71277E-01
43, 2.68210E-01, 1.52932E-01, 1.10218E-01, 5.97247E-02, 4.58637E-03, 4.00615E-03, 3.42618E-03, 5.77488E-01
44, 2.82110E-01, 1.52235E-01, 1.11771E-01, 6.10008E-02, 4.66653E-03, 4.08490E-03, 3.49099E-03, 5.67375E-01
45, 2.97436E-01, 1.58712E-01, 1.10730E-01, 6.20875E-02, 4.74739E-03, 4.16283E-03, 3.55745E-03, 5.41353E-01
46, 3.06884E-01, 1.69926E-01, 1.07119E-01, 6.32296E-02, 4.82461E-03, 4.24124E-03, 3.62361E-03, 5.00496E-01
47, 3.10258E-01, 1.80083E-01, 1.01039E-01, 6.42055E-02, 4.90277E-03, 4.32039E-03, 3.69169E-03, 4.46503E-01
48, 3.07566E-01, 1.88976E-01, 1.03940E-01, 6.52167E-02, 4.97913E-03, 4.39686E-03, 3.76015E-03, 3.86831E-01
49, 3.32695E-01, 1.96419E-01, 1.09156E-01, 6.60204E-02, 5.05379E-03, 4.47264E-03, 3.82889E-03, 3.92117E-01
