time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
1, 3.76516E-03, 2.31001E-03, 1.73206E-03, 1.31159E-02
2, 7.54735E-03, 4.66976E-03, 3.19584E-03, 1.13117E-02
3, 1.10542E-02, 7.12098E-03, 4.81621E-03, 1.01661E-02
4, 1.52866E-02, 1.00620E-02, 6.18465E-03, 7.18973E-03
5, 1.95443E-02, 1.30289E-02, 7.29021E-03, 6.27539E-03
6, 2.47981E-02, 1.58713E-02, 8.54588E-03, 5.96958E-03
7, 2.99184E-02, 1.84550E-02, 9.43884E-03, 5.24411E-03
8, 3.44746E-02, 2.06625E-02, 1.00588E-02, 6.00542E-03
9, 3.91280E-02, 2.30775E-02, 1.17782E-02, 6.77643E-03
10, 4.60094E-02, 2.63191E-02, 1.33009E-02, 6.67940E-03
11, 5.42730E-02, 2.92964E-02, 1.44613E-02, 6.00293E-03
12, 6.38098E-02, 3.18971E-02, 1.63329E-02, 5.49503E-03
13, 7.31661E-02, 3.40162E-02, 1.85539E-02, 5.10452E-03
14, 8.19490E-02, 3.55624E-02, 2.03243E-02, 4.71930E-03
15, 8.97471E-02, 3.64630E-02, 2.34696E-02, 4.27957E-03
16, 9.70016E-02, 3.95374E-02, 2.65022E-02, 4.43428E-03
17, 1.07686E-01, 4.24485E-02, 2.91790E-02, 4.53660E-03
18, 1.17037E-01, 4.48712E-02, 3.12981E-02, 4.54262E-03
19, 1.24519E-01, 4.67223E-02, 3.28893E-02, 4.38098E-03
20, 1.29612E-01, 4.79335E-02, 3.85774E-02, 4.06107E-03
21, 1.31840E-01, 4.85091E-02, 4.40243E-02, 4.40902E-03
22, 1.38634E-01, 5.12349E-02, 4.89366E-02, 4.84199E-03
23, 1.44017E-01, 5.40199E-02, 5.30058E-02, 5.05469E-03
24, 1.46241E-01, 5.63034E-02, 5.59255E-02, 5.03584E-03
25, 1.49897E-01, 6.32120E-02, 5.74096E-02, 4.79849E-03
26, 1.64275E-01, 7.07004E-02, 5.72109E-02, 4.40877E-03
27, 1.75074E-01, 7.84292E-02, 6.24498E-02, 4.37466E-03
28, 1.94098E-01, 8.66168E-02, 7.04459E-02, 4.54269E-03
29, 2.10664E-01, 9.45926E-02, 7.78035E-02, 4.58140E-03
30, 2.22660E-01, 1.02232E-01, 8.42242E-02, 4.68469E-03
31, 2.29502E-01, 1.09414E-01, 8.94154E-02, 4.88838E-03
32, 2.34386E-01, 1.16028E-01, 9.31037E-02, 4.96502E-03
33, 2.46819E-01, 1.21972E-01, 9.50490E-02, 4.92309E-03
34, 2.53427E-01, 1.27161E-01, 9.50584E-02, 4.77640E-03
35, 2.53693E-01, 1.31523E-01, 9.29976E-02, 5.14357E-03
36, 2.50743E-01, 1.36746E-01, 8.88006E-02, 5.43746E-03
