time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_star, rel_err_v_star, rel_err_w_star, rel_err_dp
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
1, 6.39526E-05, 3.84796E-05, 3.38026E-05, 4.01864E-03, 2.53571E-06, 2.01670E-06, 1.66543E-06, 6.00372E-04
2, 1.14885E-04, 7.71912E-05, 4.63418E-05, 4.00133E-03, 4.91120E-06, 3.84419E-06, 3.07839E-06, 6.02813E-04
3, 1.71918E-04, 1.16170E-04, 6.92005E-05, 4.00091E-03, 7.35576E-06, 5.75812E-06, 4.61367E-06, 6.04548E-04
4, 2.28561E-04, 1.55086E-04, 9.18051E-05, 3.99206E-03, 9.79432E-06, 7.66811E-06, 6.14539E-06, 6.06531E-04
5, 2.84730E-04, 1.94173E-04, 1.14123E-04, 3.98329E-03, 1.22262E-05, 9.57285E-06, 7.67426E-06, 6.08530E-04
6, 3.40340E-04, 2.33340E-04, 1.36122E-04, 3.97456E-03, 1.46512E-05, 1.14729E-05, 9.20008E-06, 6.10466E-04
7, 3.95311E-04, 2.72553E-04, 1.57769E-04, 3.96589E-03, 1.70700E-05, 1.33680E-05, 1.07228E-05, 6.12349E-04
8, 4.49562E-04, 3.11785E-04, 1.79033E-04, 3.95728E-03, 1.94824E-05, 1.52580E-05, 1.22425E-05, 6.14173E-04
9, 5.03015E-04, 3.51004E-04, 1.99883E-04, 3.94873E-03, 2.18875E-05, 1.71430E-05, 1.37592E-05, 6.15944E-04
10, 5.58491E-04, 3.90182E-04, 2.20288E-04, 3.94024E-03, 2.42858E-05, 1.90234E-05, 1.52731E-05, 6.17646E-04
11, 6.14649E-04, 4.29290E-04, 2.40216E-04, 3.93183E-03, 2.66774E-05, 2.08994E-05, 1.67838E-05, 6.19277E-04
12, 6.70597E-04, 4.68297E-04, 2.59639E-04, 3.92350E-03, 2.90623E-05, 2.27711E-05, 1.82911E-05, 6.20841E-04
13, 7.26267E-04, 5.07174E-04, 2.78525E-04, 3.91524E-03, 3.14405E-05, 2.46374E-05, 1.97953E-05, 6.22334E-04
14, 7.81596E-04, 5.45893E-04, 2.99894E-04, 3.90707E-03, 3.38116E-05, 2.64985E-05, 2.12972E-05, 6.23764E-04
15, 8.42961E-04, 5.84424E-04, 3.22377E-04, 3.89898E-03, 3.61763E-05, 2.83556E-05, 2.27964E-05, 6.25130E-04
16, 9.05075E-04, 6.22739E-04, 3.44853E-04, 3.89099E-03, 3.85333E-05, 3.02080E-05, 2.42932E-05, 6.26426E-04
17, 9.67513E-04, 6.60808E-04, 3.67295E-04, 3.88310E-03, 4.08839E-05, 3.20556E-05, 2.57871E-05, 6.27639E-04
18, 1.03020E-03, 6.98604E-04, 3.89672E-04, 3.87530E-03, 4.32294E-05, 3.38980E-05, 2.72788E-05, 6.28772E-04
19, 1.09306E-03, 7.36099E-04, 4.11956E-04, 3.86762E-03, 4.55687E-05, 3.57355E-05, 2.87679E-05, 6.29814E-04
20, 1.15602E-03, 7.73263E-04, 4.34117E-04, 3.86004E-03, 4.79031E-05, 3.75677E-05, 3.02543E-05, 6.30769E-04
21, 1.21900E-03, 8.10071E-04, 4.56126E-04, 3.85257E-03, 5.02303E-05, 3.93946E-05, 3.17372E-05, 6.31635E-04
22, 1.28192E-03, 8.46494E-04, 4.77951E-04, 3.84522E-03, 5.25507E-05, 4.12173E-05, 3.32164E-05, 6.32404E-04
23, 1.34470E-03, 8.82505E-04, 4.99565E-04, 3.83799E-03, 5.48653E-05, 4.30367E-05, 3.46927E-05, 6.33071E-04
24, 1.40728E-03, 9.18078E-04, 5.20936E-04, 3.83089E-03, 5.71715E-05, 4.48531E-05, 3.61666E-05, 6.33642E-04
25, 1.46958E-03, 9.53186E-04, 5.42036E-04, 3.82392E-03, 5.94711E-05, 4.66662E-05, 3.76379E-05, 6.34115E-04
26, 1.53152E-03, 9.95090E-04, 5.62834E-04, 3.81709E-03, 6.17620E-05, 4.84755E-05, 3.91064E-05, 6.34482E-04
27, 1.59302E-03, 1.03926E-03, 5.83301E-04, 3.81039E-03, 6.40501E-05, 5.02791E-05, 4.05720E-05, 6.34746E-04
28, 1.65402E-03, 1.08363E-03, 6.03407E-04, 3.80384E-03, 6.63311E-05, 5.20792E-05, 4.20349E-05, 6.34916E-04
29, 1.71444E-03, 1.12816E-03, 6.23123E-04, 3.79743E-03, 6.86030E-05, 5.38760E-05, 4.34950E-05, 6.34983E-04
30, 1.77421E-03, 1.17283E-03, 6.42420E-04, 3.79118E-03, 7.08656E-05, 5.56676E-05, 4.49522E-05, 6.34942E-04
31, 1.83326E-03, 1.21762E-03, 6.61269E-04, 3.78508E-03, 7.31206E-05, 5.74538E-05, 4.64056E-05, 6.34791E-04
32, 1.89151E-03, 1.26248E-03, 6.79642E-04, 3.77914E-03, 7.53664E-05, 5.92357E-05, 4.78560E-05, 6.34529E-04
33, 1.95593E-03, 1.30740E-03, 6.97510E-04, 3.77336E-03, 7.76038E-05, 6.10140E-05, 4.93044E-05, 6.34160E-04
34, 2.02749E-03, 1.35234E-03, 7.14845E-04, 3.76776E-03, 7.98369E-05, 6.27878E-05, 5.07494E-05, 6.33678E-04
35, 2.09896E-03, 1.39727E-03, 7.31621E-04, 3.76232E-03, 8.20651E-05, 6.45565E-05, 5.21919E-05, 6.33083E-04
36, 2.17024E-03, 1.44218E-03, 7.47808E-04, 3.75706E-03, 8.42886E-05, 6.63211E-05, 5.36322E-05, 6.32372E-04
37, 2.24127E-03, 1.48702E-03, 7.63383E-04, 3.75198E-03, 8.65039E-05, 6.80826E-05, 5.50715E-05, 6.31551E-04
38, 2.31197E-03, 1.53177E-03, 7.78317E-04, 3.74708E-03, 8.87123E-05, 6.98394E-05, 5.65089E-05, 6.30619E-04
39, 2.38227E-03, 1.57640E-03, 7.92585E-04, 3.74237E-03, 9.09154E-05, 7.15912E-05, 5.79427E-05, 6.29570E-04
40, 2.45211E-03, 1.62089E-03, 8.06163E-04, 3.73786E-03, 9.31109E-05, 7.33385E-05, 5.93733E-05, 6.28408E-04
41, 2.52140E-03, 1.66519E-03, 8.19026E-04, 3.73354E-03, 9.53074E-05, 7.50785E-05, 6.08033E-05, 6.27149E-04
