time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
1, 1.68388E-04, 1.23312E-04, 1.36051E-04, 7.05936E-03
2, 1.20115E-04, 1.08947E-04, 9.75172E-05, 1.56814E-02
3, 7.71041E-05, 6.37341E-05, 6.44415E-05, 1.24374E-02
4, 1.78269E-05, 1.18375E-05, 6.91603E-06, 1.88828E-04
5, 1.76490E-05, 1.18447E-05, 6.82268E-06, 1.61079E-04
6, 1.79852E-05, 1.19102E-05, 6.77054E-06, 3.93136E-05
7, 1.83367E-05, 1.20717E-05, 6.77202E-06, 5.74009E-06
8, 1.86466E-05, 1.22216E-05, 6.76116E-06, 2.32666E-06
9, 1.89398E-05, 1.23637E-05, 6.73784E-06, 7.26850E-07
10, 1.92068E-05, 1.24980E-05, 6.70211E-06, 2.64216E-07
11, 1.94472E-05, 1.26235E-05, 6.65402E-06, 1.15691E-07
12, 1.96604E-05, 1.27398E-05, 6.59366E-06, 1.12196E-07
13, 1.98462E-05, 1.28469E-05, 6.52116E-06, 1.14453E-07
14, 2.00044E-05, 1.29446E-05, 6.43669E-06, 1.15251E-07
15, 2.01349E-05, 1.30326E-05, 6.34044E-06, 1.15504E-07
16, 2.05119E-05, 1.31109E-05, 6.23265E-06, 1.15581E-07
17, 2.09028E-05, 1.31793E-05, 6.11360E-06, 1.15379E-07
18, 2.12646E-05, 1.32377E-05, 6.11861E-06, 1.14895E-07
19, 2.15964E-05, 1.32859E-05, 6.14907E-06, 1.14147E-07
20, 2.18976E-05, 1.33239E-05, 6.16882E-06, 1.13146E-07
21, 2.21675E-05, 1.33516E-05, 6.17776E-06, 1.12658E-07
22, 2.24058E-05, 1.33688E-05, 6.17580E-06, 1.13795E-07
23, 2.26119E-05, 1.33756E-05, 6.16290E-06, 1.14661E-07
24, 2.27856E-05, 1.33719E-05, 6.13906E-06, 1.15258E-07
25, 2.29269E-05, 1.33576E-05, 6.21896E-06, 1.15588E-07
26, 2.30354E-05, 1.33327E-05, 6.35040E-06, 1.15656E-07
27, 2.31114E-05, 1.32973E-05, 6.47829E-06, 1.15468E-07
28, 2.31549E-05, 1.32513E-05, 6.60224E-06, 1.15030E-07
29, 2.31660E-05, 1.32114E-05, 6.72188E-06, 1.14350E-07
30, 2.31451E-05, 1.33594E-05, 6.83682E-06, 1.13437E-07
31, 2.30926E-05, 1.34982E-05, 6.94668E-06, 1.12300E-07
32, 2.30580E-05, 1.36275E-05, 7.05107E-06, 1.13746E-07
33, 2.32728E-05, 1.37472E-05, 7.14962E-06, 1.14983E-07
34, 2.37850E-05, 1.38571E-05, 7.24195E-06, 1.16037E-07
35, 2.42713E-05, 1.39570E-05, 7.32770E-06, 1.17023E-07
36, 2.47240E-05, 1.40467E-05, 7.40651E-06, 1.17768E-07
37, 2.51423E-05, 1.41297E-05, 7.61046E-06, 1.18274E-07
38, 2.55254E-05, 1.42221E-05, 7.83926E-06, 1.18542E-07
39, 2.58728E-05, 1.43047E-05, 8.06719E-06, 1.18575E-07
40, 2.61839E-05, 1.43774E-05, 8.29379E-06, 1.18376E-07
41, 2.64584E-05, 1.44401E-05, 8.51855E-06, 1.17950E-07
42, 2.66959E-05, 1.44925E-05, 8.74097E-06, 1.17300E-07
43, 2.68964E-05, 1.45346E-05, 8.96053E-06, 1.16433E-07
44, 2.70597E-05, 1.45661E-05, 9.17670E-06, 1.16581E-07
45, 2.71859E-05, 1.45871E-05, 9.38896E-06, 1.18355E-07
46, 2.72751E-05, 1.45975E-05, 9.59678E-06, 1.19866E-07
47, 2.73275E-05, 1.45971E-05, 9.79962E-06, 1.21113E-07
48, 2.77513E-05, 1.45859E-05, 9.99695E-06, 1.22093E-07
49, 2.82616E-05, 1.45639E-05, 1.01882E-05, 1.22806E-07
50, 2.87541E-05, 1.45311E-05, 1.03729E-05, 1.23252E-07
51, 2.92280E-05, 1.44874E-05, 1.05505E-05, 1.23434E-07
52, 2.96822E-05, 1.44329E-05, 1.07205E-05, 1.23353E-07
53, 3.01157E-05, 1.43677E-05, 1.08822E-05, 1.23015E-07
54, 3.05276E-05, 1.42916E-05, 1.10354E-05, 1.22422E-07
55, 3.09169E-05, 1.42050E-05, 1.11794E-05, 1.21582E-07
56, 3.13259E-05, 1.41078E-05, 1.13137E-05, 1.20500E-07
57, 3.20582E-05, 1.41744E-05, 1.14380E-05, 1.19182E-07
58, 3.27742E-05, 1.42834E-05, 1.15517E-05, 1.17638E-07
59, 3.34723E-05, 1.43831E-05, 1.16545E-05, 1.15875E-07
60, 3.41511E-05, 1.44734E-05, 1.17458E-05, 1.13903E-07
61, 3.48094E-05, 1.45540E-05, 1.18254E-05, 1.12455E-07
62, 3.54455E-05, 1.46248E-05, 1.18929E-05, 1.11582E-07
63, 3.60583E-05, 1.46857E-05, 1.19479E-05, 1.10447E-07
64, 3.66464E-05, 1.47367E-05, 1.19902E-05, 1.09047E-07
65, 3.72085E-05, 1.47775E-05, 1.20193E-05, 1.08532E-07
66, 3.77432E-05, 1.48083E-05, 1.20352E-05, 1.09597E-07
67, 3.82494E-05, 1.48288E-05, 1.20375E-05, 1.10476E-07
68, 3.87258E-05, 1.48391E-05, 1.20262E-05, 1.11159E-07
69, 3.91713E-05, 1.48391E-05, 1.21474E-05, 1.11634E-07
70, 3.95847E-05, 1.48289E-05, 1.24115E-05, 1.11892E-07
71, 3.99650E-05, 1.48084E-05, 1.26670E-05, 1.11921E-07
72, 4.03112E-05, 1.47777E-05, 1.29134E-05, 1.11716E-07
73, 4.06223E-05, 1.47652E-05, 1.31499E-05, 1.11266E-07
74, 4.08974E-05, 1.47601E-05, 1.33761E-05, 1.10567E-07
75, 4.11358E-05, 1.47448E-05, 1.35912E-05, 1.09614E-07
76, 4.13366E-05, 1.47192E-05, 1.37946E-05, 1.08402E-07
77, 4.14991E-05, 1.46834E-05, 1.39858E-05, 1.07217E-07
78, 4.16227E-05, 1.46374E-05, 1.41643E-05, 1.06419E-07
79, 4.20438E-05, 1.45812E-05, 1.43293E-05, 1.05360E-07
80, 4.26135E-05, 1.45150E-05, 1.44806E-05, 1.04034E-07
81, 4.31488E-05, 1.44387E-05, 1.46176E-05, 1.02440E-07
82, 4.36485E-05, 1.43525E-05, 1.47397E-05, 1.00577E-07
83, 4.41111E-05, 1.42566E-05, 1.48467E-05, 9.84454E-08
84, 4.45354E-05, 1.41510E-05, 1.49381E-05, 9.60484E-08
85, 4.49201E-05, 1.40359E-05, 1.50136E-05, 9.33900E-08
86, 4.52641E-05, 1.39411E-05, 1.50729E-05, 9.04763E-08
87, 4.55664E-05, 1.38873E-05, 1.51156E-05, 8.78924E-08
88, 4.58258E-05, 1.38239E-05, 1.51415E-05, 8.56445E-08
89, 4.60414E-05, 1.37511E-05, 1.51505E-05, 8.44558E-08
90, 4.62125E-05, 1.36689E-05, 1.51423E-05, 8.77275E-08
91, 4.63381E-05, 1.35774E-05, 1.51169E-05, 9.09161E-08
92, 4.64176E-05, 1.34768E-05, 1.50741E-05, 9.39136E-08
93, 4.64504E-05, 1.33671E-05, 1.50138E-05, 9.67169E-08
94, 4.64360E-05, 1.32486E-05, 1.49362E-05, 9.93233E-08
95, 4.63740E-05, 1.31810E-05, 1.48412E-05, 1.01731E-07
96, 4.62639E-05, 1.32297E-05, 1.49090E-05, 1.03938E-07
97, 4.61057E-05, 1.32705E-05, 1.51983E-05, 1.05944E-07
98, 4.58991E-05, 1.33034E-05, 1.54732E-05, 1.07747E-07
99, 4.56441E-05, 1.33877E-05, 1.57329E-05, 1.09348E-07
100, 4.54672E-05, 1.34719E-05, 1.59767E-05, 1.10746E-07
101, 4.57402E-05, 1.35476E-05, 1.62040E-05, 1.11942E-07
102, 4.59691E-05, 1.36148E-05, 1.64141E-05, 1.12937E-07
103, 4.61532E-05, 1.36734E-05, 1.66063E-05, 1.13731E-07
104, 4.62914E-05, 1.37232E-05, 1.67801E-05, 1.14326E-07
105, 4.63830E-05, 1.37642E-05, 1.69350E-05, 1.14723E-07
106, 4.64273E-05, 1.37963E-05, 1.70704E-05, 1.14925E-07
107, 4.64237E-05, 1.38195E-05, 1.71859E-05, 1.14933E-07
108, 4.63716E-05, 1.38336E-05, 1.72810E-05, 1.14749E-07
109, 4.62706E-05, 1.38725E-05, 1.73553E-05, 1.14376E-07
110, 4.61205E-05, 1.39146E-05, 1.74086E-05, 1.13817E-07
111, 4.59210E-05, 1.39473E-05, 1.74404E-05, 1.13074E-07
112, 4.56720E-05, 1.39705E-05, 1.74506E-05, 1.12152E-07
113, 4.53734E-05, 1.39841E-05, 1.74389E-05, 1.12328E-07
114, 4.50254E-05, 1.39881E-05, 1.74051E-05, 1.12287E-07
115, 4.46281E-05, 1.39825E-05, 1.73492E-05, 1.11939E-07
116, 4.41819E-05, 1.39671E-05, 1.72711E-05, 1.11283E-07
117, 4.36872E-05, 1.39421E-05, 1.71706E-05, 1.10322E-07
118, 4.31444E-05, 1.39073E-05, 1.70480E-05, 1.09057E-07
119, 4.25542E-05, 1.38628E-05, 1.69032E-05, 1.07492E-07
120, 4.19174E-05, 1.38087E-05, 1.67363E-05, 1.05873E-07
121, 4.12347E-05, 1.37450E-05, 1.65475E-05, 1.04956E-07
122, 4.09445E-05, 1.38033E-05, 1.63370E-05, 1.03739E-07
123, 4.11829E-05, 1.41250E-05, 1.61051E-05, 1.02230E-07
124, 4.17464E-05, 1.44421E-05, 1.58520E-05, 1.00437E-07
125, 4.25585E-05, 1.47545E-05, 1.61009E-05, 9.83701E-08
126, 4.33194E-05, 1.50619E-05, 1.65004E-05, 9.60398E-08
127, 4.40280E-05, 1.53641E-05, 1.68879E-05, 9.60417E-08
128, 4.46836E-05, 1.56609E-05, 1.72628E-05, 9.77984E-08
129, 4.52855E-05, 1.59520E-05, 1.76243E-05, 9.94782E-08
130, 4.58330E-05, 1.62373E-05, 1.79719E-05, 1.01072E-07
