time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
1, 4.11162E-03, 2.47595E-03, 2.22106E-03, 3.15921E-02
2, 4.54570E-03, 3.10564E-03, 2.17090E-03, 3.25845E-02
3, 3.91646E-03, 2.75722E-03, 1.48792E-03, 4.84470E-03
4, 4.23327E-03, 2.76714E-03, 1.42346E-03, 3.87220E-03
5, 4.49309E-03, 2.86898E-03, 1.38565E-03, 1.72683E-03
6, 4.85940E-03, 2.95007E-03, 1.35520E-03, 1.04936E-03
7, 5.11310E-03, 2.97463E-03, 1.33511E-03, 9.25349E-04
8, 5.66346E-03, 2.98658E-03, 1.46449E-03, 6.38343E-04
9, 6.17318E-03, 2.96206E-03, 1.61036E-03, 5.34198E-04
10, 6.62715E-03, 3.02095E-03, 1.74534E-03, 3.46049E-04
11, 7.09766E-03, 3.11828E-03, 1.84898E-03, 3.48234E-04
12, 7.74110E-03, 3.18237E-03, 1.91807E-03, 2.11792E-04
13, 8.31128E-03, 3.21140E-03, 1.99605E-03, 2.44855E-04
14, 8.78908E-03, 3.20441E-03, 2.23071E-03, 1.42774E-04
15, 9.15570E-03, 3.19431E-03, 2.43926E-03, 1.78674E-04
16, 9.39573E-03, 3.14801E-03, 2.61145E-03, 1.12294E-04
17, 9.65158E-03, 3.06628E-03, 2.73810E-03, 1.31774E-04
18, 1.00741E-02, 3.04568E-03, 2.81160E-03, 9.71595E-05
19, 1.03533E-02, 3.07736E-03, 2.82627E-03, 9.35084E-05
20, 1.04741E-02, 3.07771E-03, 2.82940E-03, 8.90524E-05
21, 1.04261E-02, 3.04687E-03, 3.09777E-03, 9.43041E-05
22, 1.02047E-02, 3.04254E-03, 3.31383E-03, 1.05756E-04
23, 1.02014E-02, 3.11557E-03, 3.46677E-03, 1.13746E-04
24, 1.01787E-02, 3.15502E-03, 3.54770E-03, 1.18242E-04
25, 9.97990E-03, 3.15960E-03, 3.55024E-03, 1.19327E-04
26, 9.60364E-03, 3.30022E-03, 3.47083E-03, 1.17182E-04
27, 9.59208E-03, 3.60149E-03, 3.30897E-03, 1.12685E-04
28, 1.02593E-02, 3.88632E-03, 3.59652E-03, 1.08513E-04
29, 1.08367E-02, 4.15136E-03, 3.93117E-03, 1.01022E-04
30, 1.12035E-02, 4.39368E-03, 4.21470E-03, 9.43162E-05
31, 1.13581E-02, 4.61078E-03, 4.43872E-03, 9.87355E-05
32, 1.13063E-02, 4.81940E-03, 4.59698E-03, 1.15216E-04
33, 1.12773E-02, 5.02835E-03, 4.68739E-03, 1.28360E-04
34, 1.13476E-02, 5.20478E-03, 4.70445E-03, 1.37141E-04
35, 1.11989E-02, 5.34741E-03, 4.64792E-03, 1.40835E-04
36, 1.10548E-02, 5.45564E-03, 4.51989E-03, 1.39101E-04
37, 1.14792E-02, 5.52945E-03, 4.32464E-03, 1.32025E-04
38, 1.17130E-02, 5.56944E-03, 4.06843E-03, 1.20106E-04
39, 1.17526E-02, 5.57670E-03, 3.75915E-03, 1.10446E-04
40, 1.15997E-02, 5.55276E-03, 3.40593E-03, 1.07601E-04
41, 1.12613E-02, 5.54120E-03, 3.01873E-03, 1.01316E-04
42, 1.07490E-02, 5.50309E-03, 2.95087E-03, 9.26191E-05
43, 1.00784E-02, 5.43534E-03, 3.02710E-03, 8.25344E-05
44, 9.26854E-03, 5.37383E-03, 3.12159E-03, 8.18762E-05
45, 8.34074E-03, 5.72438E-03, 3.15004E-03, 7.89526E-05
46, 7.32336E-03, 6.02731E-03, 3.11566E-03, 7.97033E-05
47, 7.29618E-03, 6.27977E-03, 3.02309E-03, 8.17659E-05
48, 7.15851E-03, 6.48002E-03, 2.87825E-03, 8.21163E-05
49, 7.69562E-03, 6.62746E-03, 2.68802E-03, 7.99098E-05
50, 8.26535E-03, 6.72255E-03, 2.73613E-03, 7.55862E-05
51, 8.71794E-03, 6.76716E-03, 2.73381E-03, 6.96337E-05
52, 9.05284E-03, 6.76268E-03, 2.68329E-03, 6.40788E-05
53, 9.27201E-03, 6.71191E-03, 2.58847E-03, 6.39441E-05
54, 9.37962E-03, 6.61818E-03, 2.45429E-03, 6.27943E-05
55, 9.38179E-03, 6.48522E-03, 2.28647E-03, 6.15187E-05
56, 9.28622E-03, 6.31701E-03, 2.09130E-03, 6.00141E-05
57, 9.10188E-03, 6.11769E-03, 1.99066E-03, 5.80379E-05
58, 8.83866E-03, 5.89145E-03, 2.06374E-03, 5.56551E-05
59, 8.50711E-03, 5.64246E-03, 2.10449E-03, 5.29119E-05
60, 8.11807E-03, 5.37479E-03, 2.11419E-03, 4.98461E-05
61, 7.68337E-03, 5.09237E-03, 2.09444E-03, 4.64944E-05
62, 7.21258E-03, 4.79889E-03, 2.04774E-03, 4.28985E-05
63, 6.71598E-03, 4.49784E-03, 1.97710E-03, 3.91075E-05
64, 6.20322E-03, 4.19242E-03, 1.88585E-03, 3.51790E-05
65, 5.68319E-03, 3.88554E-03, 1.77757E-03, 3.11782E-05
66, 5.16387E-03, 3.57981E-03, 1.65597E-03, 3.07450E-05
67, 4.93936E-03, 3.27755E-03, 1.52476E-03, 3.07943E-05
68, 4.67566E-03, 2.98077E-03, 1.38755E-03, 3.05100E-05
69, 4.38294E-03, 2.69118E-03, 1.24775E-03, 3.00543E-05
70, 4.07134E-03, 2.41019E-03, 1.10854E-03, 2.97801E-05
71, 3.75024E-03, 2.13897E-03, 9.72735E-04, 3.01688E-05
