time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
1, 2.37566E-03, 6.71807E-04, 6.75718E-04, 8.95053E-02, 4.95379E-05, 3.41008E-05, 2.04442E-05, 2.08449E-02
2, 4.68990E-03, 9.56376E-04, 1.24123E-03, 3.78657E-02, 7.96709E-05, 5.36806E-05, 3.30925E-05, 8.87574E-03
3, 3.13903E-03, 6.98701E-04, 9.85836E-04, 2.82828E-02, 5.87997E-05, 4.00855E-05, 2.47680E-05, 6.66069E-03
4, 2.46573E-03, 4.63744E-04, 7.24035E-04, 5.46828E-03, 4.98219E-05, 3.51559E-05, 2.13519E-05, 1.29423E-03
5, 2.46159E-03, 5.04991E-04, 7.49731E-04, 4.03088E-03, 5.11996E-05, 3.68716E-05, 2.22733E-05, 9.59082E-04
6, 2.36160E-03, 4.97786E-04, 7.56438E-04, 5.05183E-03, 5.14706E-05, 3.74431E-05, 2.26898E-05, 1.20873E-03
7, 2.32754E-03, 4.94306E-04, 8.02013E-04, 4.32874E-03, 5.16398E-05, 3.81262E-05, 2.30585E-05, 1.04182E-03
8, 2.33225E-03, 4.88648E-04, 8.24089E-04, 4.45681E-03, 5.18761E-05, 3.87262E-05, 2.34662E-05, 1.07926E-03
9, 2.30730E-03, 4.82757E-04, 8.49733E-04, 4.26367E-03, 5.20904E-05, 3.93223E-05, 2.38832E-05, 1.03917E-03
10, 2.28556E-03, 4.76639E-04, 8.68125E-04, 4.12712E-03, 5.23377E-05, 3.98863E-05, 2.43291E-05, 1.01267E-03
11, 2.25215E-03, 4.70185E-04, 8.83021E-04, 3.96193E-03, 5.25892E-05, 4.04264E-05, 2.47729E-05, 9.78957E-04
12, 2.21453E-03, 4.63498E-04, 8.91983E-04, 3.77346E-03, 5.28663E-05, 4.09371E-05, 2.52192E-05, 9.39170E-04
13, 2.16980E-03, 4.56517E-04, 8.95347E-04, 3.58276E-03, 5.31510E-05, 4.14146E-05, 2.56649E-05, 8.98417E-04
14, 2.11994E-03, 4.49270E-04, 8.92309E-04, 3.43113E-03, 5.34418E-05, 4.18565E-05, 2.61181E-05, 8.67074E-04
15, 2.06468E-03, 4.41734E-04, 8.89249E-04, 3.32042E-03, 5.37280E-05, 4.22610E-05, 2.65711E-05, 8.45799E-04
16, 2.00486E-03, 4.33907E-04, 9.20514E-04, 3.19365E-03, 5.40183E-05, 4.26301E-05, 2.70255E-05, 8.20174E-04
17, 1.94081E-03, 4.50685E-04, 9.48680E-04, 3.05772E-03, 5.43016E-05, 4.29591E-05, 2.74798E-05, 7.91857E-04
18, 1.87311E-03, 4.69528E-04, 9.73045E-04, 2.90962E-03, 5.45682E-05, 4.32488E-05, 2.79316E-05, 7.59963E-04
19, 1.80225E-03, 4.86159E-04, 9.92922E-04, 2.75376E-03, 5.48184E-05, 4.35016E-05, 2.83788E-05, 7.25539E-04
20, 1.72874E-03, 5.00467E-04, 1.00763E-03, 2.66453E-03, 5.50549E-05, 4.37134E-05, 2.88236E-05, 7.08268E-04
21, 1.65308E-03, 5.12290E-04, 1.01653E-03, 2.58482E-03, 5.52774E-05, 4.38863E-05, 2.92697E-05, 6.93275E-04
22, 1.57594E-03, 5.21558E-04, 1.01903E-03, 2.49854E-03, 5.54773E-05, 4.40175E-05, 2.97265E-05, 6.76250E-04
23, 1.58391E-03, 5.28180E-04, 1.01460E-03, 2.40620E-03, 5.56586E-05, 4.41111E-05, 3.01954E-05, 6.57264E-04
24, 1.59385E-03, 5.32141E-04, 1.00280E-03, 2.30814E-03, 5.58140E-05, 4.41698E-05, 3.06663E-05, 6.36347E-04
25, 1.59936E-03, 5.33419E-04, 9.83284E-04, 2.20485E-03, 5.59645E-05, 4.41943E-05, 3.11341E-05, 6.13563E-04
26, 1.60049E-03, 5.32061E-04, 1.00424E-03, 2.12009E-03, 5.61042E-05, 4.41848E-05, 3.16002E-05, 5.95530E-04
27, 1.59733E-03, 5.28114E-04, 1.03199E-03, 2.09021E-03, 5.62335E-05, 4.41468E-05, 3.20623E-05, 5.92680E-04
28, 1.58998E-03, 5.21681E-04, 1.05533E-03, 2.20374E-03, 5.63578E-05, 4.40813E-05, 3.25212E-05, 6.30783E-04
