time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
1, 3.54133E-04, 8.28048E-05, 8.69786E-05, 5.07584E-03, 2.39563E-06, 1.18049E-06, 1.13182E-06, 1.18211E-03
2, 8.08194E-05, 1.57397E-05, 1.92343E-05, 4.32536E-03, 1.14405E-06, 5.52528E-07, 5.59872E-07, 1.00811E-03
3, 5.75871E-05, 1.16875E-05, 1.65485E-05, 3.44808E-03, 1.19936E-06, 6.03113E-07, 5.86086E-07, 8.04066E-04
4, 5.25460E-05, 1.06509E-05, 1.46219E-05, 2.89261E-03, 1.23574E-06, 6.64833E-07, 5.96701E-07, 6.74890E-04
5, 4.80107E-05, 9.58803E-06, 1.47001E-05, 2.74955E-03, 1.21918E-06, 7.00005E-07, 5.75009E-07, 6.41852E-04
6, 4.51318E-05, 8.83543E-06, 1.43642E-05, 2.66934E-03, 1.19560E-06, 7.22195E-07, 5.42419E-07, 6.23461E-04
7, 4.36972E-05, 8.54528E-06, 1.38151E-05, 2.48728E-03, 1.19022E-06, 7.41291E-07, 5.12406E-07, 5.81252E-04
8, 4.31051E-05, 8.47484E-06, 1.31735E-05, 2.21798E-03, 1.20481E-06, 7.63800E-07, 4.94557E-07, 5.18602E-04
9, 4.28738E-05, 8.48201E-06, 1.25064E-05, 1.87677E-03, 1.23245E-06, 7.89819E-07, 4.91991E-07, 4.39063E-04
10, 4.27631E-05, 8.51032E-06, 1.19016E-05, 1.48156E-03, 1.26501E-06, 8.17339E-07, 4.95272E-07, 3.46797E-04
11, 4.26958E-05, 8.53504E-06, 1.19120E-05, 1.20309E-03, 1.29756E-06, 8.45669E-07, 5.01221E-07, 2.81771E-04
12, 4.26512E-05, 8.58362E-06, 1.18855E-05, 1.26386E-03, 1.32429E-06, 8.73730E-07, 5.12381E-07, 2.96170E-04
13, 4.26078E-05, 8.65186E-06, 1.18518E-05, 1.24860E-03, 1.34681E-06, 9.00001E-07, 5.28814E-07, 2.92761E-04
14, 4.25388E-05, 8.70470E-06, 1.18206E-05, 1.14995E-03, 1.36589E-06, 9.23782E-07, 5.44742E-07, 2.69785E-04
15, 4.24309E-05, 8.74265E-06, 1.17874E-05, 1.04993E-03, 1.37557E-06, 9.44827E-07, 5.57185E-07, 2.46462E-04
16, 4.22966E-05, 8.76494E-06, 1.17470E-05, 1.07217E-03, 1.37349E-06, 9.62177E-07, 5.65690E-07, 2.51828E-04
17, 4.21708E-05, 8.76953E-06, 1.17108E-05, 1.05629E-03, 1.35610E-06, 9.74315E-07, 5.68965E-07, 2.48246E-04
18, 4.20934E-05, 8.79997E-06, 1.16514E-05, 9.93421E-04, 1.32419E-06, 9.79877E-07, 5.66308E-07, 2.33607E-04
19, 4.20903E-05, 8.86038E-06, 1.17498E-05, 1.01478E-03, 1.28094E-06, 9.78331E-07, 5.58915E-07, 2.38773E-04
20, 4.21613E-05, 8.90866E-06, 1.19550E-05, 1.09544E-03, 1.22996E-06, 9.69573E-07, 5.48434E-07, 2.57906E-04
21, 4.22788E-05, 8.93694E-06, 1.20916E-05, 1.13280E-03, 1.17386E-06, 9.53835E-07, 5.36204E-07, 2.66864E-04
22, 4.23961E-05, 8.93978E-06, 1.21570E-05, 1.13232E-03, 1.11569E-06, 9.31504E-07, 5.22687E-07, 2.66914E-04
23, 4.24607E-05, 8.91505E-06, 1.21540E-05, 1.11743E-03, 1.05690E-06, 9.02806E-07, 5.06726E-07, 2.63565E-04
24, 4.24272E-05, 8.86391E-06, 1.20881E-05, 1.20696E-03, 9.97932E-07, 8.68328E-07, 4.87738E-07, 2.84857E-04
25, 4.22660E-05, 8.79015E-06, 1.19658E-05, 1.33985E-03, 9.39790E-07, 8.28988E-07, 4.65913E-07, 3.16418E-04
26, 4.19675E-05, 8.69894E-06, 1.17952E-05, 1.43295E-03, 8.83628E-07, 7.85902E-07, 4.41821E-07, 3.38618E-04
27, 4.15409E-05, 8.59554E-06, 1.15856E-05, 1.48196E-03, 8.31793E-07, 7.40022E-07, 4.16673E-07, 3.50420E-04
28, 4.10102E-05, 8.48420E-06, 1.13491E-05, 1.48513E-03, 7.86391E-07, 6.92478E-07, 3.92628E-07, 3.51393E-04
29, 4.04087E-05, 8.36756E-06, 1.11863E-05, 1.44314E-03, 7.48744E-07, 6.44511E-07, 3.72032E-07, 3.41677E-04
30, 3.97727E-05, 8.25956E-06, 1.11975E-05, 1.35886E-03, 7.18846E-07, 5.97365E-07, 3.55797E-07, 3.21933E-04
31, 3.91375E-05, 8.14936E-06, 1.12097E-05, 1.23713E-03, 6.95628E-07, 5.52311E-07, 3.43906E-07, 2.93283E-04
32, 3.85333E-05, 8.03357E-06, 1.12222E-05, 1.13571E-03, 6.77948E-07, 5.10436E-07, 3.36136E-07, 2.69416E-04
