time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_star, rel_err_v_star, rel_err_w_star, rel_err_dp
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
1, 1.48685E-05, 9.01951E-06, 6.54007E-06, 8.17067E-04, 6.60157E-07, 5.14757E-07, 4.40590E-07, 9.46519E-05
2, 1.46299E-05, 9.38304E-06, 6.28354E-06, 7.14214E-04, 6.34404E-07, 4.97050E-07, 4.16416E-07, 3.53694E-05
3, 1.44466E-05, 9.73104E-06, 5.96021E-06, 6.48996E-04, 6.23718E-07, 4.93068E-07, 4.05355E-07, 4.10230E-05
4, 1.43455E-05, 9.99052E-06, 5.64844E-06, 4.50837E-04, 6.25195E-07, 5.01968E-07, 4.03260E-07, 4.15601E-05
5, 1.43066E-05, 1.01172E-05, 5.74030E-06, 3.19164E-04, 6.29507E-07, 5.12131E-07, 4.02208E-07, 3.91198E-05
6, 1.42932E-05, 1.01449E-05, 5.82464E-06, 2.90746E-04, 6.32250E-07, 5.18754E-07, 4.00950E-07, 3.52876E-05
7, 1.42741E-05, 1.01105E-05, 5.81012E-06, 2.57502E-04, 6.33082E-07, 5.21641E-07, 4.00007E-07, 3.16389E-05
8, 1.42337E-05, 1.00445E-05, 5.72347E-06, 2.41696E-04, 6.32656E-07, 5.20718E-07, 3.98962E-07, 2.90211E-05
9, 1.41712E-05, 9.96917E-06, 5.59452E-06, 2.08399E-04, 6.32279E-07, 5.16847E-07, 3.97627E-07, 2.74539E-05
10, 1.40953E-05, 9.89998E-06, 5.60652E-06, 1.80694E-04, 6.32469E-07, 5.11542E-07, 3.96176E-07, 2.60555E-05
11, 1.40180E-05, 9.84622E-06, 5.69996E-06, 2.02718E-04, 6.32783E-07, 5.05685E-07, 3.94754E-07, 2.45063E-05
12, 1.41264E-05, 9.81194E-06, 5.75386E-06, 2.32903E-04, 6.33020E-07, 5.00197E-07, 3.93758E-07, 2.31289E-05
13, 1.42144E-05, 9.79694E-06, 5.76769E-06, 2.34319E-04, 6.32672E-07, 4.95551E-07, 3.93179E-07, 2.16978E-05
14, 1.42751E-05, 9.79816E-06, 5.74926E-06, 2.09007E-04, 6.31433E-07, 4.91773E-07, 3.92724E-07, 2.02564E-05
15, 1.43106E-05, 9.81138E-06, 5.70992E-06, 1.70521E-04, 6.29042E-07, 4.88338E-07, 3.92045E-07, 1.92235E-05
16, 1.43287E-05, 9.83245E-06, 5.66062E-06, 1.52691E-04, 6.25733E-07, 4.85429E-07, 3.90805E-07, 1.85888E-05
17, 1.43415E-05, 9.85814E-06, 5.60964E-06, 1.41656E-04, 6.21969E-07, 4.83400E-07, 3.89156E-07, 1.83734E-05
18, 1.43616E-05, 9.88626E-06, 5.56191E-06, 1.62236E-04, 6.17958E-07, 4.82244E-07, 3.87220E-07, 1.85029E-05
19, 1.43990E-05, 9.91544E-06, 5.51940E-06, 1.78913E-04, 6.14264E-07, 4.82042E-07, 3.85322E-07, 1.85837E-05
20, 1.44587E-05, 9.94473E-06, 5.48208E-06, 1.82679E-04, 6.11222E-07, 4.82661E-07, 3.83909E-07, 1.81595E-05
21, 1.45398E-05, 9.97327E-06, 5.44897E-06, 1.73840E-04, 6.08870E-07, 4.83778E-07, 3.83206E-07, 1.71695E-05
22, 1.46364E-05, 1.00001E-05, 5.41891E-06, 1.53686E-04, 6.07011E-07, 4.84814E-07, 3.83031E-07, 1.57605E-05
23, 1.47396E-05, 1.00244E-05, 5.39106E-06, 1.24218E-04, 6.05636E-07, 4.85398E-07, 3.83117E-07, 1.41181E-05
24, 1.48396E-05, 1.00451E-05, 5.36494E-06, 1.08371E-04, 6.04837E-07, 4.85345E-07, 3.83268E-07, 1.24383E-05
25, 1.49280E-05, 1.00617E-05, 5.34045E-06, 9.08270E-05, 6.04314E-07, 4.84627E-07, 3.83216E-07, 1.10337E-05
26, 1.49989E-05, 1.00739E-05, 5.32934E-06, 7.65498E-05, 6.03887E-07, 4.83285E-07, 3.82895E-07, 1.00108E-05
27, 1.50529E-05, 1.00819E-05, 5.33902E-06, 7.80404E-05, 6.03456E-07, 4.81570E-07, 3.82406E-07, 9.61842E-06
28, 1.51367E-05, 1.00862E-05, 5.35192E-06, 8.39875E-05, 6.03015E-07, 4.79651E-07, 3.81775E-07, 9.88312E-06
29, 1.52014E-05, 1.00879E-05, 5.36790E-06, 1.09054E-04, 6.02638E-07, 4.77731E-07, 3.81071E-07, 1.07806E-05
30, 1.52505E-05, 1.00880E-05, 5.38632E-06, 1.36585E-04, 6.02290E-07, 4.75879E-07, 3.80342E-07, 1.18506E-05
31, 1.52883E-05, 1.00880E-05, 5.40616E-06, 1.56656E-04, 6.01953E-07, 4.74176E-07, 3.79608E-07, 1.27839E-05
32, 1.53188E-05, 1.00889E-05, 5.42614E-06, 1.68485E-04, 6.01713E-07, 4.72707E-07, 3.78933E-07, 1.34523E-05
33, 1.53455E-05, 1.00918E-05, 5.44489E-06, 1.71682E-04, 6.01601E-07, 4.71625E-07, 3.78473E-07, 1.37296E-05
34, 1.53719E-05, 1.00974E-05, 5.46109E-06, 1.66274E-04, 6.01702E-07, 4.70967E-07, 3.78240E-07, 1.35157E-05
35, 1.54007E-05, 1.01061E-05, 5.47370E-06, 1.52725E-04, 6.01986E-07, 4.70699E-07, 3.78093E-07, 1.28155E-05
36, 1.54341E-05, 1.01180E-05, 5.48201E-06, 1.31933E-04, 6.02304E-07, 4.70772E-07, 3.77991E-07, 1.17855E-05
37, 1.54739E-05, 1.01327E-05, 5.48576E-06, 1.05207E-04, 6.02519E-07, 4.71038E-07, 3.77905E-07, 1.06751E-05
38, 1.55210E-05, 1.01497E-05, 5.48506E-06, 7.42067E-05, 6.02478E-07, 4.71409E-07, 3.77726E-07, 9.88060E-06
39, 1.55758E-05, 1.01682E-05, 5.48044E-06, 6.23190E-05, 6.02015E-07, 4.71811E-07, 3.77373E-07, 9.74224E-06
40, 1.56380E-05, 1.01873E-05, 5.47265E-06, 5.51030E-05, 6.01054E-07, 4.72109E-07, 3.76811E-07, 9.90051E-06
41, 1.57066E-05, 1.02063E-05, 5.46261E-06, 4.69170E-05, 5.99657E-07, 4.72189E-07, 3.76083E-07, 1.01619E-05
42, 1.57805E-05, 1.02244E-05, 5.45125E-06, 5.30719E-05, 5.97915E-07, 4.72046E-07, 3.75238E-07, 1.04180E-05
43, 1.58580E-05, 1.02410E-05, 5.43944E-06, 7.61927E-05, 5.95983E-07, 4.71751E-07, 3.74334E-07, 1.05934E-05
44, 1.59373E-05, 1.02558E-05, 5.42791E-06, 9.29363E-05, 5.94037E-07, 4.71411E-07, 3.73458E-07, 1.05748E-05
45, 1.60169E-05, 1.02684E-05, 5.41719E-06, 1.02613E-04, 5.92311E-07, 4.71182E-07, 3.72716E-07, 1.02279E-05
46, 1.60951E-05, 1.02789E-05, 5.40764E-06, 1.05055E-04, 5.91262E-07, 4.71278E-07, 3.72350E-07, 9.55204E-06
47, 1.61706E-05, 1.02870E-05, 5.39943E-06, 1.00611E-04, 5.90696E-07, 4.71549E-07, 3.72209E-07, 8.57872E-06
48, 1.62423E-05, 1.02930E-05, 5.39260E-06, 9.00936E-05, 5.90450E-07, 4.71959E-07, 3.72158E-07, 7.45343E-06
49, 1.63095E-05, 1.02967E-05, 5.38710E-06, 7.46927E-05, 5.90318E-07, 4.72270E-07, 3.72077E-07, 6.20277E-06
50, 1.63716E-05, 1.02983E-05, 5.38280E-06, 5.58647E-05, 5.90130E-07, 4.72369E-07, 3.71859E-07, 4.97242E-06
51, 1.64286E-05, 1.02977E-05, 5.37955E-06, 3.52058E-05, 5.89815E-07, 4.72211E-07, 3.71479E-07, 4.10436E-06
52, 1.64804E-05, 1.02949E-05, 5.37718E-06, 3.27815E-05, 5.89360E-07, 4.71776E-07, 3.70938E-07, 4.32144E-06
53, 1.65273E-05, 1.02898E-05, 5.37554E-06, 3.25976E-05, 5.88783E-07, 4.71090E-07, 3.70270E-07, 5.38562E-06
54, 1.65697E-05, 1.02824E-05, 5.37445E-06, 3.15934E-05, 5.88140E-07, 4.70204E-07, 3.69525E-07, 6.76347E-06
55, 1.66082E-05, 1.02753E-05, 5.37373E-06, 3.72194E-05, 5.87455E-07, 4.69200E-07, 3.68770E-07, 8.08406E-06
56, 1.66435E-05, 1.02667E-05, 5.37320E-06, 4.51716E-05, 5.86780E-07, 4.68133E-07, 3.68058E-07, 9.17697E-06
57, 1.66763E-05, 1.02753E-05, 5.37266E-06, 5.00879E-05, 5.86158E-07, 4.67055E-07, 3.67449E-07, 9.98889E-06
58, 1.67073E-05, 1.03025E-05, 5.37189E-06, 5.30283E-05, 5.85654E-07, 4.66003E-07, 3.66984E-07, 1.05102E-05
59, 1.67373E-05, 1.03279E-05, 5.37064E-06, 5.35106E-05, 5.85276E-07, 4.65090E-07, 3.66676E-07, 1.07475E-05
60, 1.67669E-05, 1.03520E-05, 5.36869E-06, 5.16858E-05, 5.85056E-07, 4.64421E-07, 3.66531E-07, 1.07218E-05
61, 1.67968E-05, 1.03750E-05, 5.36581E-06, 4.82096E-05, 5.84891E-07, 4.63989E-07, 3.66555E-07, 1.04481E-05
62, 1.68273E-05, 1.03974E-05, 5.36177E-06, 4.32366E-05, 5.84678E-07, 4.63672E-07, 3.66645E-07, 9.94310E-06
63, 1.68589E-05, 1.04196E-05, 5.35640E-06, 3.75532E-05, 5.84351E-07, 4.63422E-07, 3.66742E-07, 9.25113E-06
64, 1.68916E-05, 1.04420E-05, 5.34956E-06, 3.22548E-05, 5.83913E-07, 4.63207E-07, 3.66802E-07, 8.43695E-06
65, 1.69254E-05, 1.04652E-05, 5.34117E-06, 3.31441E-05, 5.83371E-07, 4.62989E-07, 3.66802E-07, 7.52754E-06
66, 1.69601E-05, 1.04896E-05, 5.33118E-06, 3.53796E-05, 5.82716E-07, 4.62758E-07, 3.66733E-07, 6.57906E-06
67, 1.69951E-05, 1.05153E-05, 5.31960E-06, 3.95539E-05, 5.81966E-07, 4.62510E-07, 3.66599E-07, 5.63453E-06
68, 1.70301E-05, 1.05427E-05, 5.30651E-06, 4.57115E-05, 5.81155E-07, 4.62239E-07, 3.66402E-07, 4.76576E-06
69, 1.70643E-05, 1.05719E-05, 5.29197E-06, 4.92706E-05, 5.80278E-07, 4.61930E-07, 3.66130E-07, 4.08986E-06
70, 1.70971E-05, 1.06030E-05, 5.27612E-06, 5.01909E-05, 5.79353E-07, 4.61566E-07, 3.65791E-07, 3.71244E-06
71, 1.71277E-05, 1.06358E-05, 5.25909E-06, 4.85781E-05, 5.78428E-07, 4.61183E-07, 3.65437E-07, 3.53324E-06
72, 1.71555E-05, 1.06704E-05, 5.24101E-06, 4.46619E-05, 5.77524E-07, 4.60797E-07, 3.65067E-07, 3.50431E-06
73, 1.71799E-05, 1.07063E-05, 5.22201E-06, 3.87701E-05, 5.76653E-07, 4.60417E-07, 3.64679E-07, 3.60031E-06
74, 1.72192E-05, 1.07435E-05, 5.20220E-06, 3.13015E-05, 5.75839E-07, 4.60040E-07, 3.64278E-07, 3.76973E-06
75, 1.72910E-05, 1.07815E-05, 5.18167E-06, 2.39388E-05, 5.75113E-07, 4.59676E-07, 3.63880E-07, 4.01917E-06
