time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_star, rel_err_v_star, rel_err_w_star, rel_err_dp
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
1, 1.59816E-05, 9.61665E-06, 8.44783E-06, 2.00840E-03, 6.33844E-07, 5.04142E-07, 4.16420E-07, 3.00158E-04
2, 1.77643E-05, 1.19033E-05, 8.90030E-06, 1.04104E-05, 6.66450E-07, 5.43375E-07, 4.30859E-07, 8.42231E-07
3, 1.43552E-05, 9.70311E-06, 5.78385E-06, 9.99033E-06, 6.13268E-07, 4.80078E-07, 3.84515E-07, 9.36279E-07
4, 1.43400E-05, 9.69894E-06, 5.77126E-06, 4.83538E-06, 6.12824E-07, 4.79993E-07, 3.84025E-07, 4.26367E-07
5, 1.43240E-05, 9.72532E-06, 5.75853E-06, 4.25304E-06, 6.12150E-07, 4.79542E-07, 3.83772E-07, 3.81156E-07
6, 1.43062E-05, 9.74366E-06, 5.74517E-06, 4.31414E-06, 6.11590E-07, 4.79240E-07, 3.83431E-07, 3.79277E-07
7, 1.42867E-05, 9.76500E-06, 5.73117E-06, 4.30444E-06, 6.11019E-07, 4.78912E-07, 3.83100E-07, 3.79119E-07
8, 1.42654E-05, 9.78609E-06, 5.71654E-06, 4.31102E-06, 6.10463E-07, 4.78590E-07, 3.82767E-07, 3.78877E-07
9, 1.42425E-05, 9.80667E-06, 5.70127E-06, 4.31674E-06, 6.09911E-07, 4.78269E-07, 3.82438E-07, 3.78688E-07
10, 1.42179E-05, 9.82676E-06, 5.68537E-06, 4.32185E-06, 6.09351E-07, 4.77950E-07, 3.82108E-07, 3.78540E-07
11, 1.42103E-05, 9.84636E-06, 5.66883E-06, 4.32676E-06, 6.08794E-07, 4.77627E-07, 3.81775E-07, 3.78437E-07
12, 1.42569E-05, 9.86548E-06, 5.65167E-06, 4.33143E-06, 6.08235E-07, 4.77306E-07, 3.81441E-07, 3.78374E-07
13, 1.43021E-05, 9.88410E-06, 5.63388E-06, 4.33586E-06, 6.07689E-07, 4.76986E-07, 3.81110E-07, 3.78354E-07
14, 1.43461E-05, 9.90223E-06, 5.61546E-06, 4.34005E-06, 6.07147E-07, 4.76665E-07, 3.80777E-07, 3.78380E-07
15, 1.43887E-05, 9.91986E-06, 5.59641E-06, 4.34400E-06, 6.06600E-07, 4.76344E-07, 3.80444E-07, 3.78450E-07
16, 1.44300E-05, 9.93699E-06, 5.57675E-06, 4.34770E-06, 6.06049E-07, 4.76026E-07, 3.80114E-07, 3.78565E-07
17, 1.44699E-05, 9.95363E-06, 5.55647E-06, 4.35117E-06, 6.05499E-07, 4.75707E-07, 3.79785E-07, 3.78725E-07
18, 1.45085E-05, 9.96977E-06, 5.53557E-06, 4.35439E-06, 6.04948E-07, 4.75394E-07, 3.79458E-07, 3.78930E-07
19, 1.45457E-05, 9.98540E-06, 5.51406E-06, 4.35737E-06, 6.04407E-07, 4.75081E-07, 3.79132E-07, 3.79180E-07
20, 1.45816E-05, 1.00005E-05, 5.49194E-06, 4.36010E-06, 6.03868E-07, 4.74771E-07, 3.78806E-07, 3.79480E-07
21, 1.46162E-05, 1.00152E-05, 5.46922E-06, 4.36260E-06, 6.03325E-07, 4.74464E-07, 3.78481E-07, 3.79832E-07
22, 1.46493E-05, 1.00293E-05, 5.44589E-06, 4.36485E-06, 6.02780E-07, 4.74155E-07, 3.78158E-07, 3.80236E-07
23, 1.46811E-05, 1.00429E-05, 5.42195E-06, 4.36687E-06, 6.02236E-07, 4.73852E-07, 3.77834E-07, 3.80694E-07
24, 1.47115E-05, 1.00560E-05, 5.39743E-06, 4.36864E-06, 6.01705E-07, 4.73547E-07, 3.77511E-07, 3.81207E-07
25, 1.47406E-05, 1.00686E-05, 5.37230E-06, 4.37018E-06, 6.01166E-07, 4.73238E-07, 3.77187E-07, 3.81770E-07
26, 1.47683E-05, 1.00807E-05, 5.35353E-06, 4.37147E-06, 6.00633E-07, 4.72931E-07, 3.76866E-07, 3.82393E-07
27, 1.47946E-05, 1.00923E-05, 5.36329E-06, 4.37253E-06, 6.00098E-07, 4.72630E-07, 3.76549E-07, 3.83078E-07
28, 1.48708E-05, 1.01034E-05, 5.37251E-06, 4.37335E-06, 5.99560E-07, 4.72330E-07, 3.76233E-07, 3.83820E-07
29, 1.49530E-05, 1.01139E-05, 5.38118E-06, 4.37393E-06, 5.99022E-07, 4.72026E-07, 3.75919E-07, 3.84621E-07
30, 1.50339E-05, 1.01240E-05, 5.38929E-06, 4.37427E-06, 5.98484E-07, 4.71720E-07, 3.75606E-07, 3.85487E-07
31, 1.51135E-05, 1.01335E-05, 5.39686E-06, 4.37438E-06, 5.97949E-07, 4.71416E-07, 3.75298E-07, 3.86419E-07
32, 1.51917E-05, 1.01425E-05, 5.40386E-06, 4.38787E-06, 5.97416E-07, 4.71108E-07, 3.74994E-07, 3.87415E-07
33, 1.52686E-05, 1.01510E-05, 5.41031E-06, 4.40150E-06, 5.96879E-07, 4.70797E-07, 3.74689E-07, 3.88474E-07
34, 1.53442E-05, 1.01590E-05, 5.41620E-06, 4.41492E-06, 5.96343E-07, 4.70488E-07, 3.74385E-07, 3.89599E-07
35, 1.54183E-05, 1.01664E-05, 5.42153E-06, 4.42815E-06, 5.95821E-07, 4.70177E-07, 3.74081E-07, 3.90794E-07
36, 1.54911E-05, 1.01734E-05, 5.42630E-06, 4.44117E-06, 5.95306E-07, 4.69870E-07, 3.73777E-07, 3.92062E-07
37, 1.55624E-05, 1.01798E-05, 5.43050E-06, 4.45399E-06, 5.94787E-07, 4.69564E-07, 3.73474E-07, 3.93404E-07
38, 1.56324E-05, 1.01857E-05, 5.43413E-06, 4.46661E-06, 5.94267E-07, 4.69256E-07, 3.73170E-07, 3.94817E-07
