time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
1, 6.20773E-16, 4.89754E-16, 6.26005E-16, 4.76716E-16, 9.48761E-18, 8.23578E-18, 1.00983E-17, 7.11237E-17
2, 6.75910E-16, 4.89939E-16, 6.27846E-16, 3.05706E-15, 2.13197E-17, 1.35891E-17, 1.66834E-17, 7.28584E-16
3, 1.23033E-15, 7.35204E-16, 6.29671E-16, 4.01367E-15, 4.73202E-17, 2.61833E-17, 3.17564E-17, 9.57567E-16
4, 1.22468E-15, 7.35520E-16, 9.47217E-16, 4.48417E-15, 7.94240E-17, 4.44898E-17, 5.22530E-17, 1.09288E-15
5, 1.82853E-15, 7.35856E-16, 9.49898E-16, 4.76716E-15, 1.09375E-16, 6.27978E-17, 7.18133E-17, 1.14839E-15
6, 1.21335E-15, 7.36214E-16, 1.27006E-15, 5.79208E-15, 1.32572E-16, 7.80373E-17, 8.75853E-17, 1.43310E-15
7, 1.20766E-15, 9.82124E-16, 1.27355E-15, 5.65051E-15, 1.50361E-16, 9.06629E-17, 1.00583E-16, 1.42247E-15
8, 2.40394E-15, 9.82660E-16, 9.57745E-16, 5.85943E-15, 1.63696E-16, 1.00628E-16, 1.10204E-16, 1.47972E-15
9, 1.79442E-15, 9.83227E-16, 1.28038E-15, 5.54855E-15, 1.73992E-16, 1.08120E-16, 1.18551E-16, 1.42941E-15
10, 1.78590E-15, 9.83825E-16, 1.28372E-15, 5.76708E-15, 1.82045E-16, 1.13965E-16, 1.25233E-16, 1.53263E-15
11, 1.77739E-15, 9.84457E-16, 1.28701E-15, 4.94325E-15, 1.89360E-16, 1.20085E-16, 1.30071E-16, 1.32533E-15
12, 2.35855E-15, 9.85123E-16, 1.29023E-15, 4.85300E-15, 1.94316E-16, 1.23204E-16, 1.35356E-16, 1.32880E-15
13, 1.76046E-15, 1.23228E-15, 1.29340E-15, 4.76306E-15, 1.99278E-16, 1.26646E-16, 1.39586E-16, 1.34961E-15
14, 1.75204E-15, 1.47984E-15, 1.29650E-15, 4.77149E-15, 2.03267E-16, 1.30216E-16, 1.43749E-16, 1.36696E-15
15, 2.32490E-15, 1.72783E-15, 1.29954E-15, 4.96892E-15, 2.06322E-16, 1.33108E-16, 1.45556E-16, 1.42074E-15
16, 1.95227E-15, 1.48221E-15, 1.62815E-15, 4.31375E-15, 2.08740E-16, 1.35702E-16, 1.48975E-16, 1.26461E-15
17, 2.08690E-15, 1.48348E-15, 1.30543E-15, 4.87857E-15, 2.10314E-16, 1.37375E-16, 1.50336E-16, 1.46671E-15
18, 2.29185E-15, 1.23734E-15, 1.30826E-15, 4.24767E-15, 2.12251E-16, 1.39702E-16, 1.53309E-16, 1.29063E-15
19, 2.28100E-15, 1.23850E-15, 1.31103E-15, 4.88204E-15, 2.13921E-16, 1.41003E-16, 1.56356E-16, 1.52135E-15
20, 2.27025E-15, 1.23970E-15, 1.31373E-15, 4.09918E-15, 2.16439E-16, 1.42922E-16, 1.57961E-16, 1.31145E-15
21, 2.25961E-15, 1.48915E-15, 1.64545E-15, 5.14405E-15, 2.17751E-16, 1.43797E-16, 1.59150E-16, 1.66880E-15
22, 2.24907E-15, 1.24226E-15, 1.31891E-15, 4.63745E-15, 2.18021E-16, 1.44564E-16, 1.60908E-16, 1.53003E-15
23, 2.23865E-15, 1.24362E-15, 1.65173E-15, 3.81643E-15, 2.19047E-16, 1.46251E-16, 1.63366E-16, 1.28283E-15
24, 2.78545E-15, 1.24503E-15, 1.98567E-15, 3.92055E-15, 2.19770E-16, 1.48148E-16, 1.63154E-16, 1.32880E-15
