time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_star, rel_err_v_star, rel_err_w_star, rel_err_dp
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
1, 3.62018E-05, 3.19944E-05, 4.53324E-05, 8.30649E-03, 1.69403E-06, 1.93103E-06, 1.50624E-06, 1.66278E-03
2, 5.66393E-05, 5.36335E-05, 3.83884E-05, 8.29018E-05, 2.05137E-06, 2.20251E-06, 1.69741E-06, 2.74236E-05
3, 4.48515E-05, 3.48567E-05, 3.48881E-05, 1.30884E-04, 1.70410E-06, 1.93701E-06, 1.44477E-06, 3.00613E-05
4, 4.50804E-05, 3.49661E-05, 3.47763E-05, 7.66611E-05, 1.70227E-06, 1.93825E-06, 1.44157E-06, 2.59224E-05
5, 4.55734E-05, 3.48997E-05, 3.48067E-05, 8.84450E-05, 1.69693E-06, 1.93942E-06, 1.43891E-06, 2.67075E-05
6, 4.59424E-05, 3.49263E-05, 3.47465E-05, 8.75447E-05, 1.69292E-06, 1.94077E-06, 1.43610E-06, 2.65289E-05
7, 4.63252E-05, 3.49364E-05, 3.46975E-05, 8.77233E-05, 1.68878E-06, 1.94210E-06, 1.43335E-06, 2.64152E-05
8, 4.67074E-05, 3.49434E-05, 3.46519E-05, 8.75739E-05, 1.68474E-06, 1.94343E-06, 1.43064E-06, 2.62833E-05
9, 4.70872E-05, 3.49475E-05, 3.46247E-05, 8.74685E-05, 1.68076E-06, 1.94475E-06, 1.42795E-06, 2.61441E-05
10, 4.74650E-05, 3.49486E-05, 3.45966E-05, 8.73413E-05, 1.67684E-06, 1.94608E-06, 1.42530E-06, 2.59995E-05
11, 4.78405E-05, 3.49467E-05, 3.45675E-05, 8.72059E-05, 1.67300E-06, 1.94743E-06, 1.42270E-06, 2.58490E-05
12, 4.82139E-05, 3.49420E-05, 3.45374E-05, 8.70586E-05, 1.66924E-06, 1.94880E-06, 1.42015E-06, 2.56925E-05
13, 4.85850E-05, 3.49344E-05, 3.45064E-05, 8.69002E-05, 1.66555E-06, 1.95016E-06, 1.41763E-06, 2.55300E-05
14, 4.89537E-05, 3.49238E-05, 3.44743E-05, 8.67304E-05, 1.66193E-06, 1.95154E-06, 1.41515E-06, 2.53615E-05
15, 4.93201E-05, 3.49105E-05, 3.44413E-05, 8.65490E-05, 1.65838E-06, 1.95293E-06, 1.41270E-06, 2.51871E-05
16, 4.96841E-05, 3.48943E-05, 3.44073E-05, 8.63561E-05, 1.65492E-06, 1.95432E-06, 1.41029E-06, 2.50069E-05
17, 5.00456E-05, 3.48752E-05, 3.43723E-05, 8.61515E-05, 1.65152E-06, 1.95570E-06, 1.40791E-06, 2.48208E-05
18, 5.04045E-05, 3.48534E-05, 3.43364E-05, 8.59351E-05, 1.64821E-06, 1.95711E-06, 1.40558E-06, 2.46289E-05
19, 5.07610E-05, 3.48289E-05, 3.42995E-05, 8.57070E-05, 1.64499E-06, 1.95852E-06, 1.40328E-06, 2.44314E-05
20, 5.11147E-05, 3.48016E-05, 3.42616E-05, 8.54669E-05, 1.64185E-06, 1.95995E-06, 1.40101E-06, 2.42282E-05
