time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_star, rel_err_v_star, rel_err_w_star, rel_err_dp
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
1, 1.59816E-05, 9.61665E-06, 8.44783E-06, 2.00840E-03, 6.33844E-07, 5.04142E-07, 4.16420E-07, 3.00158E-04
2, 2.87351E-05, 1.92623E-05, 1.15957E-05, 2.00409E-03, 1.22867E-06, 9.61556E-07, 7.70096E-07, 3.00760E-04
3, 4.30577E-05, 2.89430E-05, 1.73568E-05, 2.00397E-03, 1.84163E-06, 1.44129E-06, 1.15464E-06, 3.01196E-04
4, 5.73426E-05, 3.86197E-05, 2.30904E-05, 2.00175E-03, 2.45372E-06, 1.92054E-06, 1.53875E-06, 3.01702E-04
5, 7.15844E-05, 4.83236E-05, 2.87943E-05, 1.99955E-03, 3.06487E-06, 2.39912E-06, 1.92252E-06, 3.02211E-04
6, 8.57780E-05, 5.80447E-05, 3.44666E-05, 1.99734E-03, 3.67520E-06, 2.87708E-06, 2.30592E-06, 3.02713E-04
7, 9.99179E-05, 6.77810E-05, 4.01052E-05, 1.99515E-03, 4.28467E-06, 3.35442E-06, 2.68893E-06, 3.03209E-04
8, 1.13999E-04, 7.75308E-05, 4.57081E-05, 1.99296E-03, 4.89333E-06, 3.83114E-06, 3.07154E-06, 3.03699E-04
9, 1.28016E-04, 8.72922E-05, 5.12733E-05, 1.99078E-03, 5.50119E-06, 4.30725E-06, 3.45381E-06, 3.04184E-04
10, 1.41964E-04, 9.70633E-05, 5.67987E-05, 1.98860E-03, 6.10814E-06, 4.78279E-06, 3.83567E-06, 3.04663E-04
11, 1.55838E-04, 1.06842E-04, 6.22824E-05, 1.98643E-03, 6.71422E-06, 5.25768E-06, 4.21713E-06, 3.05137E-04
12, 1.69633E-04, 1.16627E-04, 6.77223E-05, 1.98427E-03, 7.31949E-06, 5.73197E-06, 4.59822E-06, 3.05604E-04
13, 1.83343E-04, 1.26416E-04, 7.31165E-05, 1.98211E-03, 7.92410E-06, 6.20563E-06, 4.97891E-06, 3.06063E-04
14, 1.96963E-04, 1.36208E-04, 7.84630E-05, 1.97997E-03, 8.52785E-06, 6.67865E-06, 5.35923E-06, 3.06514E-04
15, 2.10490E-04, 1.46000E-04, 8.37598E-05, 1.97783E-03, 9.13068E-06, 7.15096E-06, 5.73917E-06, 3.06959E-04
16, 2.23917E-04, 1.55790E-04, 8.90050E-05, 1.97570E-03, 9.73258E-06, 7.62271E-06, 6.11874E-06, 3.07398E-04
17, 2.37240E-04, 1.65578E-04, 9.41967E-05, 1.97357E-03, 1.03336E-05, 8.09385E-06, 6.49791E-06, 3.07828E-04
18, 2.51061E-04, 1.75360E-04, 9.93329E-05, 1.97146E-03, 1.09338E-05, 8.56437E-06, 6.87670E-06, 3.08249E-04
19, 2.65107E-04, 1.85135E-04, 1.04412E-04, 1.96935E-03, 1.15330E-05, 9.03436E-06, 7.25517E-06, 3.08662E-04
20, 2.79134E-04, 1.94902E-04, 1.09431E-04, 1.96726E-03, 1.21316E-05, 9.50377E-06, 7.63320E-06, 3.09065E-04
21, 2.93140E-04, 2.04658E-04, 1.14390E-04, 1.96517E-03, 1.27291E-05, 9.97264E-06, 8.01082E-06, 3.09460E-04
22, 3.07119E-04, 2.14402E-04, 1.19285E-04, 1.96309E-03, 1.33260E-05, 1.04410E-05, 8.38800E-06, 3.09847E-04
23, 3.21068E-04, 2.24131E-04, 1.24115E-04, 1.96102E-03, 1.39219E-05, 1.09087E-05, 8.76477E-06, 3.10225E-04
24, 3.34983E-04, 2.33844E-04, 1.28879E-04, 1.95897E-03, 1.45169E-05, 1.13758E-05, 9.14120E-06, 3.10594E-04
25, 3.48860E-04, 2.43540E-04, 1.33574E-04, 1.95692E-03, 1.51112E-05, 1.18421E-05, 9.51727E-06, 3.10954E-04
26, 3.62694E-04, 2.53215E-04, 1.38866E-04, 1.95488E-03, 1.57045E-05, 1.23077E-05, 9.89307E-06, 3.11307E-04
27, 3.76601E-04, 2.62869E-04, 1.44461E-04, 1.95286E-03, 1.62969E-05, 1.27729E-05, 1.02685E-05, 3.11652E-04
28, 3.91935E-04, 2.72500E-04, 1.50060E-04, 1.95084E-03, 1.68886E-05, 1.32376E-05, 1.06436E-05, 3.11988E-04
29, 4.07324E-04, 2.82106E-04, 1.55660E-04, 1.94884E-03, 1.74794E-05, 1.37016E-05, 1.10184E-05, 3.12317E-04
30, 4.22762E-04, 2.91684E-04, 1.61259E-04, 1.94685E-03, 1.80693E-05, 1.41651E-05, 1.13929E-05, 3.12637E-04
31, 4.38247E-04, 3.01234E-04, 1.66855E-04, 1.94487E-03, 1.86580E-05, 1.46281E-05, 1.17670E-05, 3.12946E-04
32, 4.53772E-04, 3.10754E-04, 1.72447E-04, 1.94290E-03, 1.92460E-05, 1.50903E-05, 1.21408E-05, 3.13245E-04
33, 4.69334E-04, 3.20241E-04, 1.78033E-04, 1.94095E-03, 1.98336E-05, 1.55520E-05, 1.25142E-05, 3.13534E-04
34, 4.84927E-04, 3.29694E-04, 1.83611E-04, 1.93901E-03, 2.04203E-05, 1.60130E-05, 1.28874E-05, 3.13813E-04
35, 5.00546E-04, 3.39112E-04, 1.89179E-04, 1.93708E-03, 2.10064E-05, 1.64732E-05, 1.32603E-05, 3.14081E-04
36, 5.16187E-04, 3.48492E-04, 1.94736E-04, 1.93516E-03, 2.15915E-05, 1.69329E-05, 1.36328E-05, 3.14337E-04
37, 5.31846E-04, 3.57832E-04, 2.00279E-04, 1.93326E-03, 2.21760E-05, 1.73920E-05, 1.40050E-05, 3.14583E-04
38, 5.47516E-04, 3.67132E-04, 2.05807E-04, 1.93137E-03, 2.27601E-05, 1.78504E-05, 1.43769E-05, 3.14817E-04
