time_step, rms_u, rms_v, rms_w, rms_p
0, 3.56018E-01, 9.07009E-01, 7.11459E-01, 2.31962E-01
1, 3.57691E-01, 9.06759E-01, 7.09402E-01, 2.32890E-01
2, 3.59310E-01, 9.06418E-01, 7.07322E-01, 2.36059E-01
3, 3.60952E-01, 9.06053E-01, 7.05272E-01, 2.38576E-01
4, 3.62615E-01, 9.05664E-01, 7.03254E-01, 2.41397E-01
5, 3.64300E-01, 9.05250E-01, 7.01269E-01, 2.44534E-01
6, 3.66004E-01, 9.04811E-01, 6.99318E-01, 2.47985E-01
7, 3.67727E-01, 9.04345E-01, 6.97402E-01, 2.51742E-01
8, 3.69468E-01, 9.03852E-01, 6.95523E-01, 2.55793E-01
9, 3.71224E-01, 9.03330E-01, 6.93681E-01, 2.60120E-01
10, 3.72996E-01, 9.02781E-01, 6.91877E-01, 2.64702E-01
11, 3.74781E-01, 9.02201E-01, 6.90112E-01, 2.69513E-01
12, 3.76579E-01, 9.01592E-01, 6.88387E-01, 2.74525E-01
13, 3.78387E-01, 9.00951E-01, 6.86702E-01, 2.79708E-01
14, 3.80204E-01, 9.00280E-01, 6.85058E-01, 2.85031E-01
15, 3.82029E-01, 8.99576E-01, 6.83455E-01, 2.90463E-01
16, 3.83861E-01, 8.98839E-01, 6.81894E-01, 2.95974E-01
17, 3.85698E-01, 8.98070E-01, 6.80375E-01, 3.01532E-01
18, 3.87538E-01, 8.97266E-01, 6.78898E-01, 3.07112E-01
19, 3.89381E-01, 8.96429E-01, 6.77464E-01, 3.12688E-01
20, 3.91224E-01, 8.95557E-01, 6.76073E-01, 3.18237E-01
21, 3.93067E-01, 8.94651E-01, 6.74725E-01, 3.23740E-01
22, 3.94909E-01, 8.93709E-01, 6.73420E-01, 3.29180E-01
23, 3.96747E-01, 8.92733E-01, 6.72159E-01, 3.34542E-01
24, 3.98580E-01, 8.91720E-01, 6.70941E-01, 3.39817E-01
25, 4.00408E-01, 8.90673E-01, 6.69768E-01, 3.44994E-01
26, 4.02228E-01, 8.89589E-01, 6.68638E-01, 3.50069E-01
27, 4.04040E-01, 8.88470E-01, 6.67553E-01, 3.55038E-01
28, 4.05843E-01, 8.87316E-01, 6.66512E-01, 3.59897E-01
29, 4.07634E-01, 8.86126E-01, 6.65516E-01, 3.64647E-01
30, 4.09413E-01, 8.84900E-01, 6.64565E-01, 3.69288E-01
31, 4.11180E-01, 8.83639E-01, 6.63660E-01, 3.73823E-01
32, 4.12932E-01, 8.82343E-01, 6.62799E-01, 3.78253E-01
33, 4.14668E-01, 8.81011E-01, 6.61984E-01, 3.82582E-01
34, 4.16388E-01, 8.79645E-01, 6.61215E-01, 3.86811E-01
35, 4.18091E-01, 8.78244E-01, 6.60492E-01, 3.90945E-01
36, 4.19775E-01, 8.76809E-01, 6.59814E-01, 3.94985E-01
37, 4.21440E-01, 8.75339E-01, 6.59183E-01, 3.98934E-01
38, 4.23084E-01, 8.73836E-01, 6.58598E-01, 4.02792E-01
39, 4.24707E-01, 8.72299E-01, 6.58058E-01, 4.06560E-01
40, 4.26308E-01, 8.70729E-01, 6.57564E-01, 4.10237E-01
41, 4.27886E-01, 8.69126E-01, 6.57116E-01, 4.13823E-01
42, 4.29440E-01, 8.67491E-01, 6.56713E-01, 4.17315E-01
43, 4.30969E-01, 8.65823E-01, 6.56355E-01, 4.20708E-01
44, 4.32473E-01, 8.64124E-01, 6.56041E-01, 4.24000E-01
45, 4.33950E-01, 8.62394E-01, 6.55770E-01, 4.27185E-01
46, 4.35400E-01, 8.60633E-01, 6.55542E-01, 4.30256E-01
47, 4.36822E-01, 8.58841E-01, 6.55355E-01, 4.33208E-01
48, 4.38215E-01, 8.57020E-01, 6.55210E-01, 4.36035E-01
49, 4.39579E-01, 8.55169E-01, 6.55103E-01, 4.38728E-01
50, 4.40912E-01, 8.53291E-01, 6.55035E-01, 4.41282E-01
51, 4.42215E-01, 8.51384E-01, 6.55003E-01, 4.43689E-01
52, 4.43486E-01, 8.49450E-01, 6.55007E-01, 4.45945E-01
53, 4.44726E-01, 8.47490E-01, 6.55043E-01, 4.48044E-01
54, 4.45933E-01, 8.45504E-01, 6.55111E-01, 4.49983E-01
55, 4.47107E-01, 8.43493E-01, 6.55208E-01, 4.51758E-01
56, 4.48248E-01, 8.41459E-01, 6.55333E-01, 4.53368E-01
57, 4.49356E-01, 8.39401E-01, 6.55484E-01, 4.54814E-01
58, 4.50430E-01, 8.37321E-01, 6.55658E-01, 4.56098E-01
59, 4.51471E-01, 8.35220E-01, 6.55854E-01, 4.57223E-01
60, 4.52478E-01, 8.33099E-01, 6.56068E-01, 4.58196E-01
61, 4.53451E-01, 8.30959E-01, 6.56301E-01, 4.59022E-01
62, 4.54392E-01, 8.28800E-01, 6.56549E-01, 4.59712E-01
63, 4.55299E-01, 8.26624E-01, 6.56810E-01, 4.60274E-01
64, 4.56173E-01, 8.24431E-01, 6.57083E-01, 4.60721E-01
65, 4.57015E-01, 8.22222E-01, 6.57367E-01, 4.61064E-01
66, 4.57825E-01, 8.19998E-01, 6.57659E-01, 4.61316E-01
67, 4.58603E-01, 8.17760E-01, 6.57958E-01, 4.61491E-01
68, 4.59350E-01, 8.15508E-01, 6.58263E-01, 4.61602E-01
69, 4.60065E-01, 8.13243E-01, 6.58573E-01, 4.61662E-01
70, 4.60749E-01, 8.10966E-01, 6.58886E-01, 4.61684E-01
71, 4.61403E-01, 8.08676E-01, 6.59202E-01, 4.61680E-01
