time_step, rms_u, rms_v, rms_w, rms_p
0, 4.54307E-01, 4.82407E-01, 6.21733E-01, 2.75886E-01
1, 4.54243E-01, 4.82336E-01, 6.21740E-01, 2.75817E-01
2, 4.54180E-01, 4.82265E-01, 6.21747E-01, 2.75748E-01
3, 4.54116E-01, 4.82195E-01, 6.21754E-01, 2.75679E-01
4, 4.54052E-01, 4.82124E-01, 6.21761E-01, 2.75610E-01
5, 4.53989E-01, 4.82053E-01, 6.21768E-01, 2.75541E-01
6, 4.53925E-01, 4.81983E-01, 6.21775E-01, 2.75472E-01
7, 4.53861E-01, 4.81913E-01, 6.21782E-01, 2.75403E-01
8, 4.53797E-01, 4.81842E-01, 6.21789E-01, 2.75335E-01
9, 4.53733E-01, 4.81772E-01, 6.21796E-01, 2.75266E-01
10, 4.53669E-01, 4.81702E-01, 6.21802E-01, 2.75197E-01
11, 4.53605E-01, 4.81632E-01, 6.21809E-01, 2.75129E-01
12, 4.53541E-01, 4.81562E-01, 6.21816E-01, 2.75060E-01
13, 4.53477E-01, 4.81492E-01, 6.21823E-01, 2.74992E-01
14, 4.53413E-01, 4.81422E-01, 6.21830E-01, 2.74924E-01
15, 4.53349E-01, 4.81352E-01, 6.21837E-01, 2.74855E-01
16, 4.53284E-01, 4.81283E-01, 6.21844E-01, 2.74787E-01
17, 4.53220E-01, 4.81213E-01, 6.21851E-01, 2.74719E-01
18, 4.53156E-01, 4.81143E-01, 6.21858E-01, 2.74651E-01
19, 4.53091E-01, 4.81074E-01, 6.21865E-01, 2.74583E-01
20, 4.53027E-01, 4.81005E-01, 6.21872E-01, 2.74516E-01
21, 4.52963E-01, 4.80935E-01, 6.21879E-01, 2.74448E-01
22, 4.52898E-01, 4.80866E-01, 6.21886E-01, 2.74380E-01
23, 4.52833E-01, 4.80797E-01, 6.21893E-01, 2.74313E-01
24, 4.52769E-01, 4.80728E-01, 6.21900E-01, 2.74245E-01
25, 4.52704E-01, 4.80659E-01, 6.21907E-01, 2.74178E-01
26, 4.52639E-01, 4.80590E-01, 6.21913E-01, 2.74110E-01
27, 4.52575E-01, 4.80522E-01, 6.21920E-01, 2.74043E-01
28, 4.52510E-01, 4.80453E-01, 6.21927E-01, 2.73976E-01
29, 4.52445E-01, 4.80384E-01, 6.21934E-01, 2.73909E-01
30, 4.52380E-01, 4.80316E-01, 6.21941E-01, 2.73841E-01
31, 4.52315E-01, 4.80247E-01, 6.21948E-01, 2.73775E-01
32, 4.52250E-01, 4.80179E-01, 6.21955E-01, 2.73708E-01
33, 4.52185E-01, 4.80111E-01, 6.21962E-01, 2.73641E-01
34, 4.52120E-01, 4.80042E-01, 6.21969E-01, 2.73574E-01
35, 4.52055E-01, 4.79974E-01, 6.21976E-01, 2.73507E-01
36, 4.51990E-01, 4.79906E-01, 6.21982E-01, 2.73441E-01
37, 4.51925E-01, 4.79838E-01, 6.21989E-01, 2.73374E-01
38, 4.51860E-01, 4.79770E-01, 6.21996E-01, 2.73308E-01
39, 4.51794E-01, 4.79703E-01, 6.22003E-01, 2.73241E-01
40, 4.51729E-01, 4.79635E-01, 6.22010E-01, 2.73175E-01
41, 4.51664E-01, 4.79567E-01, 6.22017E-01, 2.73109E-01
42, 4.51598E-01, 4.79500E-01, 6.22024E-01, 2.73043E-01
43, 4.51533E-01, 4.79432E-01, 6.22031E-01, 2.72977E-01
44, 4.51467E-01, 4.79365E-01, 6.22037E-01, 2.72911E-01
45, 4.51402E-01, 4.79298E-01, 6.22044E-01, 2.72845E-01
46, 4.51336E-01, 4.79230E-01, 6.22051E-01, 2.72779E-01
47, 4.51271E-01, 4.79163E-01, 6.22058E-01, 2.72713E-01
48, 4.51205E-01, 4.79096E-01, 6.22065E-01, 2.72648E-01
49, 4.51140E-01, 4.79029E-01, 6.22072E-01, 2.72582E-01
50, 4.51074E-01, 4.78962E-01, 6.22078E-01, 2.72517E-01
51, 4.51008E-01, 4.78895E-01, 6.22085E-01, 2.72451E-01
52, 4.50942E-01, 4.78829E-01, 6.22092E-01, 2.72386E-01
53, 4.50876E-01, 4.78762E-01, 6.22099E-01, 2.72321E-01
54, 4.50811E-01, 4.78695E-01, 6.22106E-01, 2.72255E-01
55, 4.50745E-01, 4.78629E-01, 6.22113E-01, 2.72190E-01
56, 4.50679E-01, 4.78563E-01, 6.22119E-01, 2.72125E-01
57, 4.50613E-01, 4.78496E-01, 6.22126E-01, 2.72060E-01
58, 4.50547E-01, 4.78430E-01, 6.22133E-01, 2.71995E-01
59, 4.50481E-01, 4.78364E-01, 6.22140E-01, 2.71931E-01
60, 4.50415E-01, 4.78298E-01, 6.22147E-01, 2.71866E-01
61, 4.50348E-01, 4.78232E-01, 6.22153E-01, 2.71801E-01
62, 4.50282E-01, 4.78166E-01, 6.22160E-01, 2.71737E-01
63, 4.50216E-01, 4.78100E-01, 6.22167E-01, 2.71672E-01
64, 4.50150E-01, 4.78034E-01, 6.22174E-01, 2.71608E-01
65, 4.50084E-01, 4.77969E-01, 6.22180E-01, 2.71544E-01
66, 4.50017E-01, 4.77903E-01, 6.22187E-01, 2.71479E-01
67, 4.49951E-01, 4.77838E-01, 6.22194E-01, 2.71415E-01
68, 4.49885E-01, 4.77772E-01, 6.22201E-01, 2.71351E-01
69, 4.49818E-01, 4.77707E-01, 6.22207E-01, 2.71287E-01
70, 4.49752E-01, 4.77642E-01, 6.22214E-01, 2.71223E-01
71, 4.49685E-01, 4.77577E-01, 6.22221E-01, 2.71159E-01
72, 4.49619E-01, 4.77512E-01, 6.22228E-01, 2.71096E-01
73, 4.49552E-01, 4.77447E-01, 6.22234E-01, 2.71032E-01
74, 4.49485E-01, 4.77382E-01, 6.22241E-01, 2.70968E-01
75, 4.49419E-01, 4.77317E-01, 6.22248E-01, 2.70905E-01
76, 4.49352E-01, 4.77252E-01, 6.22254E-01, 2.70841E-01
77, 4.49285E-01, 4.77187E-01, 6.22261E-01, 2.70778E-01
78, 4.49219E-01, 4.77123E-01, 6.22268E-01, 2.70715E-01
79, 4.49152E-01, 4.77058E-01, 6.22274E-01, 2.70652E-01
80, 4.49085E-01, 4.76994E-01, 6.22281E-01, 2.70588E-01
81, 4.49018E-01, 4.76930E-01, 6.22288E-01, 2.70525E-01
82, 4.48951E-01, 4.76865E-01, 6.22294E-01, 2.70462E-01
83, 4.48885E-01, 4.76801E-01, 6.22301E-01, 2.70400E-01
84, 4.48818E-01, 4.76737E-01, 6.22308E-01, 2.70337E-01
85, 4.48751E-01, 4.76673E-01, 6.22314E-01, 2.70274E-01
86, 4.48684E-01, 4.76609E-01, 6.22321E-01, 2.70211E-01
