time_step, rms_u, rms_v, rms_w, rms_p
0, 3.56018E-01, 9.07009E-01, 7.11459E-01, 2.31962E-01
1, 3.57689E-01, 9.06759E-01, 7.09402E-01, 2.32933E-01
2, 3.59310E-01, 9.06419E-01, 7.07324E-01, 2.36097E-01
3, 3.60952E-01, 9.06055E-01, 7.05275E-01, 2.38618E-01
4, 3.62616E-01, 9.05667E-01, 7.03258E-01, 2.41445E-01
5, 3.64300E-01, 9.05254E-01, 7.01274E-01, 2.44591E-01
6, 3.66005E-01, 9.04816E-01, 6.99324E-01, 2.48054E-01
7, 3.67728E-01, 9.04351E-01, 6.97410E-01, 2.51829E-01
8, 3.69469E-01, 9.03859E-01, 6.95532E-01, 2.55903E-01
9, 3.71227E-01, 9.03339E-01, 6.93691E-01, 2.60258E-01
10, 3.72999E-01, 9.02790E-01, 6.91888E-01, 2.64874E-01
11, 3.74784E-01, 9.02211E-01, 6.90124E-01, 2.69723E-01
12, 3.76582E-01, 9.01603E-01, 6.88399E-01, 2.74779E-01
13, 3.78390E-01, 9.00964E-01, 6.86715E-01, 2.80011E-01
14, 3.80208E-01, 9.00293E-01, 6.85072E-01, 2.85387E-01
15, 3.82034E-01, 8.99590E-01, 6.83470E-01, 2.90874E-01
16, 3.83866E-01, 8.98854E-01, 6.81910E-01, 2.96442E-01
17, 3.85703E-01, 8.98086E-01, 6.80391E-01, 3.02060E-01
18, 3.87544E-01, 8.97284E-01, 6.78915E-01, 3.07701E-01
19, 3.89386E-01, 8.96447E-01, 6.77482E-01, 3.13337E-01
20, 3.91230E-01, 8.95576E-01, 6.76091E-01, 3.18947E-01
21, 3.93074E-01, 8.94671E-01, 6.74744E-01, 3.24509E-01
22, 3.94915E-01, 8.93730E-01, 6.73440E-01, 3.30007E-01
23, 3.96753E-01, 8.92755E-01, 6.72179E-01, 3.35426E-01
24, 3.98587E-01, 8.91743E-01, 6.70963E-01, 3.40755E-01
25, 4.00415E-01, 8.90697E-01, 6.69790E-01, 3.45985E-01
26, 4.02236E-01, 8.89614E-01, 6.68661E-01, 3.51110E-01
27, 4.04048E-01, 8.88496E-01, 6.67576E-01, 3.56127E-01
28, 4.05851E-01, 8.87342E-01, 6.66536E-01, 3.61032E-01
29, 4.07642E-01, 8.86153E-01, 6.65541E-01, 3.65826E-01
30, 4.09422E-01, 8.84928E-01, 6.64590E-01, 3.70510E-01
31, 4.11189E-01, 8.83668E-01, 6.63685E-01, 3.75086E-01
32, 4.12941E-01, 8.82373E-01, 6.62825E-01, 3.79555E-01
33, 4.14678E-01, 8.81042E-01, 6.62011E-01, 3.83923E-01
34, 4.16398E-01, 8.79677E-01, 6.61242E-01, 3.88190E-01
35, 4.18101E-01, 8.78277E-01, 6.60519E-01, 3.92361E-01
36, 4.19785E-01, 8.76842E-01, 6.59842E-01, 3.96439E-01
37, 4.21450E-01, 8.75373E-01, 6.59211E-01, 4.00424E-01
38, 4.23095E-01, 8.73871E-01, 6.58626E-01, 4.04320E-01
39, 4.24718E-01, 8.72335E-01, 6.58087E-01, 4.08126E-01
40, 4.26319E-01, 8.70766E-01, 6.57594E-01, 4.11841E-01
41, 4.27897E-01, 8.69164E-01, 6.57146E-01, 4.15466E-01
42, 4.29451E-01, 8.67529E-01, 6.56743E-01, 4.18996E-01
43, 4.30981E-01, 8.65862E-01, 6.56385E-01, 4.22429E-01
44, 4.32485E-01, 8.64164E-01, 6.56072E-01, 4.25760E-01
45, 4.33962E-01, 8.62434E-01, 6.55801E-01, 4.28984E-01
46, 4.35412E-01, 8.60673E-01, 6.55574E-01, 4.32095E-01
47, 4.36834E-01, 8.58882E-01, 6.55388E-01, 4.35087E-01
48, 4.38228E-01, 8.57062E-01, 6.55242E-01, 4.37952E-01
49, 4.39592E-01, 8.55212E-01, 6.55137E-01, 4.40683E-01
50, 4.40926E-01, 8.53334E-01, 6.55069E-01, 4.43274E-01
51, 4.42229E-01, 8.51428E-01, 6.55037E-01, 4.45718E-01
52, 4.43500E-01, 8.49495E-01, 6.55041E-01, 4.48008E-01
53, 4.44740E-01, 8.47535E-01, 6.55078E-01, 4.50141E-01
54, 4.45947E-01, 8.45549E-01, 6.55147E-01, 4.52111E-01
55, 4.47122E-01, 8.43539E-01, 6.55245E-01, 4.53915E-01
56, 4.48263E-01, 8.41505E-01, 6.55370E-01, 4.55554E-01
57, 4.49371E-01, 8.39448E-01, 6.55521E-01, 4.57026E-01
58, 4.50446E-01, 8.37369E-01, 6.55696E-01, 4.58335E-01
59, 4.51486E-01, 8.35268E-01, 6.55892E-01, 4.59484E-01
60, 4.52494E-01, 8.33148E-01, 6.56107E-01, 4.60478E-01
61, 4.53468E-01, 8.31008E-01, 6.56340E-01, 4.61325E-01
62, 4.54408E-01, 8.28849E-01, 6.56589E-01, 4.62035E-01
63, 4.55316E-01, 8.26673E-01, 6.56851E-01, 4.62617E-01
64, 4.56190E-01, 8.24481E-01, 6.57125E-01, 4.63082E-01
65, 4.57033E-01, 8.22272E-01, 6.57409E-01, 4.63444E-01
66, 4.57843E-01, 8.20049E-01, 6.57701E-01, 4.63716E-01
67, 4.58621E-01, 8.17811E-01, 6.58001E-01, 4.63911E-01
68, 4.59368E-01, 8.15559E-01, 6.58307E-01, 4.64042E-01
69, 4.60083E-01, 8.13294E-01, 6.58617E-01, 4.64124E-01
70, 4.60768E-01, 8.11017E-01, 6.58931E-01, 4.64168E-01
71, 4.61422E-01, 8.08727E-01, 6.59247E-01, 4.64187E-01
72, 4.62046E-01, 8.06426E-01, 6.59565E-01, 4.64192E-01
73, 4.62640E-01, 8.04113E-01, 6.59885E-01, 4.64193E-01
74, 4.63204E-01, 8.01790E-01, 6.60205E-01, 4.64196E-01
75, 4.63738E-01, 7.99455E-01, 6.60525E-01, 4.64210E-01
76, 4.64244E-01, 7.97111E-01, 6.60846E-01, 4.64240E-01
77, 4.64720E-01, 7.94756E-01, 6.61166E-01, 4.64288E-01
78, 4.65169E-01, 7.92391E-01, 6.61486E-01, 4.64356E-01
79, 4.65590E-01, 7.90017E-01, 6.61806E-01, 4.64446E-01
80, 4.65983E-01, 7.87634E-01, 6.62125E-01, 4.64556E-01
81, 4.66351E-01, 7.85242E-01, 6.62444E-01, 4.64683E-01
82, 4.66694E-01, 7.82842E-01, 6.62763E-01, 4.64825E-01
83, 4.67013E-01, 7.80434E-01, 6.63082E-01, 4.64977E-01
84, 4.67309E-01, 7.78019E-01, 6.63401E-01, 4.65135E-01
85, 4.67584E-01, 7.75597E-01, 6.63720E-01, 4.65293E-01
86, 4.67839E-01, 7.73170E-01, 6.64039E-01, 4.65446E-01
87, 4.68075E-01, 7.70737E-01, 6.64358E-01, 4.65588E-01
88, 4.68295E-01, 7.68300E-01, 6.64678E-01, 4.65714E-01
89, 4.68499E-01, 7.65860E-01, 6.64996E-01, 4.65817E-01
90, 4.68688E-01, 7.63416E-01, 6.65314E-01, 4.65894E-01
91, 4.68866E-01, 7.60971E-01, 6.65631E-01, 4.65940E-01
92, 4.69032E-01, 7.58526E-01, 6.65947E-01, 4.65950E-01
93, 4.69188E-01, 7.56080E-01, 6.66260E-01, 4.65922E-01
94, 4.69335E-01, 7.53636E-01, 6.66570E-01, 4.65852E-01
95, 4.69475E-01, 7.51193E-01, 6.66877E-01, 4.65738E-01
96, 4.69608E-01, 7.48754E-01, 6.67178E-01, 4.65578E-01
97, 4.69735E-01, 7.46319E-01, 6.67474E-01, 4.65373E-01
98, 4.69858E-01, 7.43888E-01, 6.67763E-01, 4.65120E-01
99, 4.69976E-01, 7.41463E-01, 6.68044E-01, 4.64822E-01
100, 4.70091E-01, 7.39044E-01, 6.68316E-01, 4.64477E-01
101, 4.70203E-01, 7.36632E-01, 6.68578E-01, 4.64088E-01
102, 4.70313E-01, 7.34227E-01, 6.68828E-01, 4.63656E-01
103, 4.70421E-01, 7.31831E-01, 6.69067E-01, 4.63183E-01
104, 4.70528E-01, 7.29443E-01, 6.69291E-01, 4.62671E-01
105, 4.70634E-01, 7.27063E-01, 6.69501E-01, 4.62123E-01
106, 4.70739E-01, 7.24692E-01, 6.69696E-01, 4.61542E-01
107, 4.70845E-01, 7.22330E-01, 6.69874E-01, 4.60932E-01
108, 4.70952E-01, 7.19977E-01, 6.70035E-01, 4.60295E-01
109, 4.71059E-01, 7.17633E-01, 6.70177E-01, 4.59635E-01
110, 4.71168E-01, 7.15298E-01, 6.70301E-01, 4.58956E-01
111, 4.71280E-01, 7.12971E-01, 6.70405E-01, 4.58261E-01
112, 4.71393E-01, 7.10653E-01, 6.70489E-01, 4.57555E-01
113, 4.71510E-01, 7.08343E-01, 6.70553E-01, 4.56841E-01
114, 4.71631E-01, 7.06040E-01, 6.70594E-01, 4.56123E-01
115, 4.71755E-01, 7.03746E-01, 6.70614E-01, 4.55404E-01
116, 4.71885E-01, 7.01458E-01, 6.70611E-01, 4.54688E-01
117, 4.72019E-01, 6.99178E-01, 6.70586E-01, 4.53977E-01
118, 4.72159E-01, 6.96904E-01, 6.70537E-01, 4.53275E-01
119, 4.72304E-01, 6.94637E-01, 6.70465E-01, 4.52583E-01
120, 4.72456E-01, 6.92377E-01, 6.70369E-01, 4.51904E-01
121, 4.72615E-01, 6.90122E-01, 6.70250E-01, 4.51240E-01
122, 4.72780E-01, 6.87874E-01, 6.70106E-01, 4.50591E-01
123, 4.72953E-01, 6.85632E-01, 6.69938E-01, 4.49958E-01
124, 4.73133E-01, 6.83396E-01, 6.69746E-01, 4.49341E-01
125, 4.73320E-01, 6.81167E-01, 6.69530E-01, 4.48740E-01
126, 4.73514E-01, 6.78944E-01, 6.69290E-01, 4.48155E-01
127, 4.73715E-01, 6.76727E-01, 6.69026E-01, 4.47583E-01
128, 4.73923E-01, 6.74517E-01, 6.68738E-01, 4.47024E-01
129, 4.74137E-01, 6.72314E-01, 6.68426E-01, 4.46476E-01
130, 4.74358E-01, 6.70119E-01, 6.68091E-01, 4.45936E-01
131, 4.74585E-01, 6.67932E-01, 6.67732E-01, 4.45402E-01
132, 4.74817E-01, 6.65753E-01, 6.67350E-01, 4.44871E-01
133, 4.75054E-01, 6.63582E-01, 6.66944E-01, 4.44340E-01
134, 4.75296E-01, 6.61421E-01, 6.66516E-01, 4.43807E-01
135, 4.75542E-01, 6.59270E-01, 6.66065E-01, 4.43268E-01
136, 4.75792E-01, 6.57129E-01, 6.65591E-01, 4.42720E-01
137, 4.76045E-01, 6.55000E-01, 6.65095E-01, 4.42161E-01
138, 4.76301E-01, 6.52882E-01, 6.64576E-01, 4.41587E-01
139, 4.76558E-01, 6.50777E-01, 6.64035E-01, 4.40996E-01
140, 4.76818E-01, 6.48685E-01, 6.63472E-01, 4.40384E-01
141, 4.77079E-01, 6.46607E-01, 6.62887E-01, 4.39750E-01
142, 4.77342E-01, 6.44544E-01, 6.62280E-01, 4.39091E-01
143, 4.77604E-01, 6.42495E-01, 6.61652E-01, 4.38404E-01
144, 4.77867E-01, 6.40463E-01, 6.61003E-01, 4.37689E-01
145, 4.78129E-01, 6.38447E-01, 6.60333E-01, 4.36942E-01
146, 4.78391E-01, 6.36449E-01, 6.59642E-01, 4.36163E-01
147, 4.78651E-01, 6.34469E-01, 6.58931E-01, 4.35349E-01
148, 4.78910E-01, 6.32507E-01, 6.58199E-01, 4.34501E-01
149, 4.79166E-01, 6.30564E-01, 6.57448E-01, 4.33616E-01
150, 4.79420E-01, 6.28641E-01, 6.56678E-01, 4.32694E-01
151, 4.79671E-01, 6.26737E-01, 6.55890E-01, 4.31735E-01
152, 4.79918E-01, 6.24855E-01, 6.55083E-01, 4.30737E-01
153, 4.80161E-01, 6.22993E-01, 6.54259E-01, 4.29701E-01
154, 4.80400E-01, 6.21152E-01, 6.53419E-01, 4.28626E-01
155, 4.80633E-01, 6.19333E-01, 6.52563E-01, 4.27512E-01
156, 4.80860E-01, 6.17535E-01, 6.51692E-01, 4.26359E-01
157, 4.81081E-01, 6.15758E-01, 6.50808E-01, 4.25167E-01
158, 4.81295E-01, 6.14003E-01, 6.49911E-01, 4.23936E-01
159, 4.81502E-01, 6.12270E-01, 6.49004E-01, 4.22667E-01
160, 4.81700E-01, 6.10558E-01, 6.48086E-01, 4.21360E-01
161, 4.81889E-01, 6.08867E-01, 6.47160E-01, 4.20015E-01
162, 4.82069E-01, 6.07197E-01, 6.46227E-01, 4.18633E-01
163, 4.82239E-01, 6.05547E-01, 6.45289E-01, 4.17214E-01
164, 4.82398E-01, 6.03918E-01, 6.44348E-01, 4.15760E-01
165, 4.82547E-01, 6.02307E-01, 6.43406E-01, 4.14271E-01
166, 4.82685E-01, 6.00716E-01, 6.42464E-01, 4.12747E-01
167, 4.82811E-01, 5.99142E-01, 6.41525E-01, 4.11190E-01
168, 4.82926E-01, 5.97586E-01, 6.40591E-01, 4.09600E-01
169, 4.83029E-01, 5.96046E-01, 6.39664E-01, 4.07978E-01
170, 4.83120E-01, 5.94523E-01, 6.38745E-01, 4.06327E-01
171, 4.83200E-01, 5.93013E-01, 6.37838E-01, 4.04646E-01
172, 4.83268E-01, 5.91518E-01, 6.36945E-01, 4.02937E-01
173, 4.83325E-01, 5.90036E-01, 6.36067E-01, 4.01201E-01
174, 4.83371E-01, 5.88566E-01, 6.35206E-01, 3.99439E-01
175, 4.83406E-01, 5.87106E-01, 6.34365E-01, 3.97654E-01
176, 4.83432E-01, 5.85657E-01, 6.33546E-01, 3.95845E-01
177, 4.83447E-01, 5.84217E-01, 6.32749E-01, 3.94015E-01
178, 4.83454E-01, 5.82784E-01, 6.31976E-01, 3.92166E-01
179, 4.83453E-01, 5.81359E-01, 6.31230E-01, 3.90298E-01
180, 4.83444E-01, 5.79939E-01, 6.30510E-01, 3.88413E-01
181, 4.83427E-01, 5.78525E-01, 6.29817E-01, 3.86514E-01
182, 4.83404E-01, 5.77115E-01, 6.29153E-01, 3.84600E-01
183, 4.83375E-01, 5.75709E-01, 6.28517E-01, 3.82675E-01
184, 4.83340E-01, 5.74305E-01, 6.27911E-01, 3.80739E-01
185, 4.83300E-01, 5.72903E-01, 6.27333E-01, 3.78795E-01
186, 4.83254E-01, 5.71503E-01, 6.26783E-01, 3.76843E-01
187, 4.83204E-01, 5.70103E-01, 6.26262E-01, 3.74886E-01
188, 4.83149E-01, 5.68704E-01, 6.25769E-01, 3.72925E-01
189, 4.83089E-01, 5.67304E-01, 6.25303E-01, 3.70963E-01
190, 4.83025E-01, 5.65903E-01, 6.24862E-01, 3.68999E-01
191, 4.82955E-01, 5.64501E-01, 6.24448E-01, 3.67037E-01
192, 4.82880E-01, 5.63097E-01, 6.24057E-01, 3.65077E-01
193, 4.82800E-01, 5.61692E-01, 6.23690E-01, 3.63122E-01
194, 4.82713E-01, 5.60284E-01, 6.23346E-01, 3.61173E-01
195, 4.82620E-01, 5.58875E-01, 6.23022E-01, 3.59231E-01
196, 4.82520E-01, 5.57462E-01, 6.22719E-01, 3.57299E-01
197, 4.82413E-01, 5.56048E-01, 6.22436E-01, 3.55377E-01
198, 4.82297E-01, 5.54630E-01, 6.22171E-01, 3.53467E-01
199, 4.82173E-01, 5.53209E-01, 6.21923E-01, 3.51570E-01
