time_step, rms_u, rms_v, rms_w, rms_p
0, 4.54215E-01, 4.82347E-01, 6.21786E-01, 1.95063E-01
1, 4.53705E-01, 4.81782E-01, 6.21842E-01, 1.95452E-01
2, 4.53192E-01, 4.81223E-01, 6.21897E-01, 1.95843E-01
3, 4.52676E-01, 4.80670E-01, 6.21953E-01, 1.96238E-01
4, 4.52157E-01, 4.80121E-01, 6.22008E-01, 1.96634E-01
5, 4.51635E-01, 4.79578E-01, 6.22063E-01, 1.97033E-01
6, 4.51111E-01, 4.79039E-01, 6.22117E-01, 1.97434E-01
7, 4.50585E-01, 4.78507E-01, 6.22172E-01, 1.97836E-01
8, 4.50055E-01, 4.77979E-01, 6.22226E-01, 1.98241E-01
9, 4.49524E-01, 4.77457E-01, 6.22279E-01, 1.98647E-01
10, 4.48990E-01, 4.76940E-01, 6.22333E-01, 1.99055E-01
11, 4.48455E-01, 4.76428E-01, 6.22386E-01, 1.99465E-01
12, 4.47917E-01, 4.75922E-01, 6.22438E-01, 1.99876E-01
13, 4.47378E-01, 4.75421E-01, 6.22490E-01, 2.00288E-01
14, 4.46836E-01, 4.74926E-01, 6.22542E-01, 2.00701E-01
15, 4.46293E-01, 4.74436E-01, 6.22593E-01, 2.01116E-01
16, 4.45749E-01, 4.73951E-01, 6.22643E-01, 2.01532E-01
17, 4.45203E-01, 4.73472E-01, 6.22693E-01, 2.01949E-01
18, 4.44656E-01, 4.72998E-01, 6.22743E-01, 2.02366E-01
19, 4.44107E-01, 4.72529E-01, 6.22792E-01, 2.02785E-01
20, 4.43557E-01, 4.72066E-01, 6.22840E-01, 2.03204E-01
21, 4.43007E-01, 4.71608E-01, 6.22887E-01, 2.03624E-01
22, 4.42455E-01, 4.71155E-01, 6.22934E-01, 2.04045E-01
23, 4.41902E-01, 4.70708E-01, 6.22981E-01, 2.04467E-01
24, 4.41349E-01, 4.70266E-01, 6.23026E-01, 2.04889E-01
25, 4.40794E-01, 4.69830E-01, 6.23071E-01, 2.05312E-01
26, 4.40240E-01, 4.69398E-01, 6.23115E-01, 2.05736E-01
