time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,    Infinity
1, 9.08208E-08, 6.79355E-08, 6.04719E-08, 8.99370E-05, 5.12783E-09, 4.44283E-09, 3.58200E-09, 8.13896E+01
2, 1.46428E-06, 1.06078E-06, 1.52571E-06, 6.82746E-06, 1.69768E-08, 1.70070E-08, 1.23018E-08, 2.12588E-02
3, 9.03217E-08, 6.83744E-08, 4.42719E-08, 1.44004E-06, 4.56499E-09, 3.70754E-09, 2.95722E-09, 1.21541E-03
4, 9.40003E-08, 5.86520E-08, 6.99241E-08, 4.57017E-07, 4.04128E-09, 3.18167E-09, 2.57910E-09, 7.95532E-04
5, 9.08717E-08, 5.89387E-08, 3.42578E-08, 5.32021E-08, 4.04435E-09, 3.20258E-09, 2.57270E-09, 1.73031E-04
6, 9.10503E-08, 5.92559E-08, 3.43919E-08, 2.97045E-08, 4.00741E-09, 3.17153E-09, 2.55134E-09, 2.49553E-05
7, 9.10466E-08, 5.94139E-08, 3.45632E-08, 2.76708E-08, 3.99233E-09, 3.16378E-09, 2.54098E-09, 1.04180E-05
8, 9.08721E-08, 5.95782E-08, 3.46764E-08, 2.75058E-08, 3.97520E-09, 3.15326E-09, 2.53129E-09, 3.26476E-06
9, 9.24683E-08, 5.96916E-08, 3.47305E-08, 2.77043E-08, 3.95834E-09, 3.14364E-09, 2.52160E-09, 1.16010E-06
10, 9.40192E-08, 5.97510E-08, 3.47250E-08, 2.78606E-08, 3.94132E-09, 3.13417E-09, 2.51199E-09, 4.76548E-07
11, 9.54212E-08, 5.97601E-08, 3.46596E-08, 2.80002E-08, 3.92496E-09, 3.12500E-09, 2.50238E-09, 2.63596E-07
12, 9.66710E-08, 5.97223E-08, 3.45339E-08, 2.81173E-08, 3.90895E-09, 3.11629E-09, 2.49279E-09, 2.66009E-07
13, 9.77658E-08, 6.06648E-08, 3.43478E-08, 2.82080E-08, 3.89283E-09, 3.10765E-09, 2.48336E-09, 2.67182E-07
14, 9.87034E-08, 6.15679E-08, 3.41014E-08, 2.82725E-08, 3.87659E-09, 3.09895E-09, 2.47402E-09, 2.68162E-07
15, 9.94820E-08, 6.24306E-08, 3.45096E-08, 2.83107E-08, 3.86044E-09, 3.09043E-09, 2.46481E-09, 2.68445E-07
16, 1.01272E-07, 6.32517E-08, 3.49976E-08, 2.83221E-08, 3.84437E-09, 3.08183E-09, 2.45586E-09, 2.67955E-07
17, 1.03125E-07, 6.40302E-08, 3.54740E-08, 2.83066E-08, 3.82863E-09, 3.07322E-09, 2.44718E-09, 2.66754E-07
18, 1.04832E-07, 6.47648E-08, 3.59383E-08, 2.82641E-08, 3.81307E-09, 3.06466E-09, 2.43864E-09, 2.64828E-07
19, 1.06392E-07, 6.54548E-08, 3.63903E-08, 2.81946E-08, 3.79777E-09, 3.05607E-09, 2.43030E-09, 2.62194E-07
20, 1.07801E-07, 6.60991E-08, 3.68296E-08, 2.81981E-08, 3.78282E-09, 3.04757E-09, 2.42205E-09, 2.58863E-07
21, 1.10713E-07, 6.66967E-08, 3.72558E-08, 2.82381E-08, 3.76829E-09, 3.03954E-09, 2.41380E-09, 2.54853E-07
22, 1.14306E-07, 6.72468E-08, 3.76687E-08, 2.84024E-08, 3.75386E-09, 3.03139E-09, 2.40562E-09, 2.53200E-07
23, 1.17890E-07, 6.77486E-08, 3.80679E-08, 2.87350E-08, 3.73964E-09, 3.02328E-09, 2.39753E-09, 2.55986E-07
24, 1.21459E-07, 6.82013E-08, 3.84531E-08, 2.90446E-08, 3.72569E-09, 3.01543E-09, 2.38968E-09, 2.58128E-07
