time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
1, 8.73306E-04, 6.41051E-04, 3.84894E-04, 2.58502E-02
2, 1.32422E-03, 7.52830E-04, 7.63300E-04, 3.31551E-02
3, 9.43471E-04, 7.52007E-04, 3.49155E-04, 8.22897E-04
4, 9.62626E-04, 6.33621E-04, 3.52760E-04, 7.64343E-04
5, 9.82670E-04, 6.34321E-04, 3.53235E-04, 2.94618E-04
6, 1.00714E-03, 6.35757E-04, 3.51252E-04, 2.96701E-04
7, 1.02563E-03, 6.53366E-04, 3.46877E-04, 3.02809E-04
8, 1.04543E-03, 6.70359E-04, 3.40068E-04, 3.04381E-04
9, 1.07899E-03, 6.85668E-04, 3.30868E-04, 3.07677E-04
10, 1.10664E-03, 6.99050E-04, 3.19358E-04, 3.09539E-04
11, 1.13905E-03, 7.10507E-04, 3.18246E-04, 3.15942E-04
12, 1.19040E-03, 7.19964E-04, 3.15595E-04, 3.25902E-04
13, 1.23515E-03, 7.27358E-04, 3.11608E-04, 3.35024E-04
14, 1.27291E-03, 7.32635E-04, 3.29801E-04, 3.43228E-04
15, 1.32789E-03, 7.35755E-04, 3.49726E-04, 3.50472E-04
16, 1.39228E-03, 7.38264E-04, 3.69246E-04, 3.56698E-04
17, 1.45421E-03, 7.39502E-04, 3.88159E-04, 3.61864E-04
18, 1.51324E-03, 7.38596E-04, 4.06255E-04, 3.65945E-04
19, 1.56889E-03, 7.35520E-04, 4.23319E-04, 3.68926E-04
20, 1.62072E-03, 7.31050E-04, 4.39135E-04, 3.70809E-04
21, 1.66831E-03, 7.45809E-04, 4.53490E-04, 3.71608E-04
22, 1.73176E-03, 7.58772E-04, 4.66172E-04, 3.71349E-04
23, 1.81054E-03, 7.69858E-04, 4.76980E-04, 3.77690E-04
24, 1.88573E-03, 7.78994E-04, 4.85724E-04, 3.88191E-04
25, 1.95676E-03, 7.86115E-04, 4.92227E-04, 3.97629E-04
26, 2.02305E-03, 7.91167E-04, 5.00044E-04, 4.05923E-04
27, 2.08398E-03, 7.94105E-04, 5.28967E-04, 4.13005E-04
28, 2.13900E-03, 7.94894E-04, 5.56872E-04, 4.18815E-04
29, 2.18760E-03, 7.93516E-04, 5.83476E-04, 4.23306E-04
30, 2.22928E-03, 7.93468E-04, 6.08494E-04, 4.26443E-04
31, 2.26358E-03, 7.92425E-04, 6.31644E-04, 4.28205E-04
32, 2.29011E-03, 7.89220E-04, 6.52654E-04, 4.28580E-04
33, 2.30850E-03, 7.83844E-04, 6.71261E-04, 4.27573E-04
34, 2.34270E-03, 7.76304E-04, 6.87217E-04, 4.25197E-04
35, 2.39967E-03, 7.66620E-04, 7.00295E-04, 4.21480E-04
36, 2.44896E-03, 7.56057E-04, 7.10289E-04, 4.16461E-04
37, 2.49000E-03, 7.50793E-04, 7.17019E-04, 4.17009E-04
38, 2.52229E-03, 7.53845E-04, 7.20335E-04, 4.18044E-04
39, 2.54535E-03, 7.57446E-04, 7.20119E-04, 4.17584E-04
40, 2.55880E-03, 7.59198E-04, 7.16284E-04, 4.15635E-04
41, 2.56229E-03, 7.59087E-04, 7.27162E-04, 4.12221E-04
42, 2.55556E-03, 7.57111E-04, 7.59362E-04, 4.07380E-04
43, 2.53843E-03, 7.53279E-04, 7.88800E-04, 4.01169E-04
44, 2.51078E-03, 7.47614E-04, 8.15138E-04, 3.93658E-04
45, 2.48003E-03, 7.57128E-04, 8.38059E-04, 3.84936E-04
46, 2.49778E-03, 7.66551E-04, 8.57268E-04, 3.75102E-04
47, 2.50569E-03, 7.74043E-04, 8.72495E-04, 3.64269E-04
48, 2.50342E-03, 7.79537E-04, 8.83500E-04, 3.52561E-04
49, 2.49072E-03, 7.82976E-04, 8.90078E-04, 3.40108E-04
50, 2.46739E-03, 7.84318E-04, 8.92058E-04, 3.27049E-04
51, 2.43334E-03, 7.83514E-04, 8.89311E-04, 3.18243E-04
52, 2.38856E-03, 8.13661E-04, 8.81745E-04, 3.17985E-04
53, 2.33312E-03, 8.53130E-04, 8.69316E-04, 3.17343E-04
54, 2.34993E-03, 8.91820E-04, 8.52018E-04, 3.16376E-04
55, 2.38725E-03, 9.29618E-04, 8.29892E-04, 3.15150E-04
56, 2.43356E-03, 9.66409E-04, 8.72679E-04, 3.13732E-04
57, 2.52477E-03, 1.00209E-03, 9.16088E-04, 3.12190E-04
58, 2.60396E-03, 1.03655E-03, 9.57029E-04, 3.10589E-04
59, 2.67070E-03, 1.06969E-03, 9.95207E-04, 3.08990E-04
60, 2.72467E-03, 1.10142E-03, 1.03034E-03, 3.07451E-04
61, 2.76569E-03, 1.13166E-03, 1.06218E-03, 3.06020E-04
62, 2.79366E-03, 1.16033E-03, 1.09048E-03, 3.04738E-04
63, 2.80864E-03, 1.18734E-03, 1.11502E-03, 3.03634E-04
64, 2.81078E-03, 1.21265E-03, 1.13563E-03, 3.02725E-04
65, 2.80033E-03, 1.23619E-03, 1.15219E-03, 3.02079E-04
66, 2.77765E-03, 1.26155E-03, 1.16456E-03, 3.01993E-04
67, 2.77111E-03, 1.28747E-03, 1.17260E-03, 3.02063E-04
68, 2.78924E-03, 1.31137E-03, 1.17623E-03, 3.02254E-04
69, 2.79379E-03, 1.33318E-03, 1.17544E-03, 3.02519E-04
70, 2.78486E-03, 1.35286E-03, 1.17021E-03, 3.02802E-04
71, 2.76264E-03, 1.37039E-03, 1.16058E-03, 3.03038E-04
72, 2.72744E-03, 1.38574E-03, 1.14662E-03, 3.03159E-04
73, 2.75484E-03, 1.39888E-03, 1.12843E-03, 3.03090E-04
74, 2.81642E-03, 1.40983E-03, 1.10614E-03, 3.02755E-04
75, 2.86671E-03, 1.41859E-03, 1.07990E-03, 3.02564E-04
76, 2.90540E-03, 1.42517E-03, 1.04990E-03, 3.02472E-04
77, 2.93229E-03, 1.42959E-03, 1.01636E-03, 3.01964E-04
78, 2.94723E-03, 1.43188E-03, 9.79510E-04, 3.00981E-04
79, 2.95020E-03, 1.43209E-03, 9.39603E-04, 2.99468E-04
80, 2.94121E-03, 1.43026E-03, 8.96911E-04, 2.97384E-04
81, 2.92040E-03, 1.42644E-03, 8.51721E-04, 2.94699E-04
82, 2.88795E-03, 1.42392E-03, 8.04331E-04, 2.91392E-04
83, 2.84414E-03, 1.42251E-03, 7.55046E-04, 2.87458E-04
84, 2.78929E-03, 1.41901E-03, 7.25571E-04, 2.82902E-04
85, 2.72380E-03, 1.41348E-03, 7.39824E-04, 2.80732E-04
86, 2.64814E-03, 1.40599E-03, 7.51585E-04, 2.78888E-04
87, 2.56281E-03, 1.39661E-03, 7.60852E-04, 2.76484E-04
88, 2.46839E-03, 1.38543E-03, 7.72249E-04, 2.73562E-04
89, 2.36546E-03, 1.39745E-03, 7.85087E-04, 2.70167E-04
90, 2.25469E-03, 1.44551E-03, 7.93792E-04, 2.66355E-04
91, 2.13674E-03, 1.49064E-03, 7.98416E-04, 2.62182E-04
92, 2.01231E-03, 1.53270E-03, 7.99038E-04, 2.57708E-04
93, 1.88212E-03, 1.57156E-03, 7.95759E-04, 2.53277E-04
94, 1.84176E-03, 1.60713E-03, 7.88704E-04, 2.49461E-04
95, 1.85908E-03, 1.63932E-03, 7.78016E-04, 2.45517E-04
96, 1.86822E-03, 1.66807E-03, 7.63860E-04, 2.41503E-04
97, 1.86943E-03, 1.69333E-03, 7.46417E-04, 2.37470E-04
98, 1.95066E-03, 1.71508E-03, 7.25884E-04, 2.33465E-04
99, 2.03747E-03, 1.73331E-03, 7.17012E-04, 2.29529E-04
100, 2.11693E-03, 1.74802E-03, 7.28915E-04, 2.25698E-04
101, 2.18886E-03, 1.75926E-03, 7.37472E-04, 2.22002E-04
102, 2.25314E-03, 1.76705E-03, 7.42698E-04, 2.18465E-04
103, 2.30970E-03, 1.77144E-03, 7.44630E-04, 2.15103E-04
104, 2.35850E-03, 1.77250E-03, 7.43327E-04, 2.11927E-04
105, 2.39956E-03, 1.77031E-03, 7.38870E-04, 2.09111E-04
106, 2.43291E-03, 1.76496E-03, 7.31358E-04, 2.07296E-04
107, 2.45864E-03, 1.75655E-03, 7.20908E-04, 2.05862E-04
108, 2.47689E-03, 1.74519E-03, 7.07656E-04, 2.04583E-04
109, 2.48779E-03, 1.73100E-03, 6.91751E-04, 2.03445E-04
110, 2.49155E-03, 1.71410E-03, 6.73357E-04, 2.02431E-04
111, 2.48837E-03, 1.69463E-03, 6.52649E-04, 2.01522E-04
112, 2.47850E-03, 1.67272E-03, 6.29814E-04, 2.00698E-04
113, 2.46219E-03, 1.64850E-03, 6.05045E-04, 1.99936E-04
114, 2.43974E-03, 1.62212E-03, 5.78545E-04, 1.99216E-04
115, 2.41145E-03, 1.59373E-03, 5.50521E-04, 1.98514E-04
116, 2.37764E-03, 1.56346E-03, 5.59080E-04, 1.98150E-04
117, 2.33863E-03, 1.53146E-03, 5.70202E-04, 1.97812E-04
118, 2.29478E-03, 1.49788E-03, 5.79088E-04, 1.97935E-04
119, 2.24644E-03, 1.46286E-03, 5.85767E-04, 1.98340E-04
120, 2.19400E-03, 1.42653E-03, 5.90248E-04, 1.98653E-04
121, 2.13778E-03, 1.38904E-03, 5.92570E-04, 1.98860E-04
122, 2.07815E-03, 1.35052E-03, 5.92785E-04, 1.98945E-04
123, 2.01547E-03, 1.31111E-03, 5.90954E-04, 1.98899E-04
124, 1.95010E-03, 1.27094E-03, 5.87150E-04, 1.98710E-04
125, 1.88241E-03, 1.23013E-03, 5.81454E-04, 1.98497E-04
126, 1.81273E-03, 1.18880E-03, 5.73955E-04, 1.98438E-04
127, 1.74141E-03, 1.14706E-03, 5.64752E-04, 1.98221E-04
128, 1.66880E-03, 1.10505E-03, 5.53949E-04, 1.97842E-04
129, 1.59521E-03, 1.06284E-03, 5.41654E-04, 1.97303E-04
130, 1.52096E-03, 1.02056E-03, 5.27982E-04, 1.96604E-04
131, 1.48276E-03, 9.78303E-04, 5.13052E-04, 1.95749E-04
132, 1.46117E-03, 9.36152E-04, 4.96984E-04, 1.94743E-04
133, 1.43527E-03, 8.94197E-04, 4.79903E-04, 1.93589E-04
134, 1.40541E-03, 8.52521E-04, 4.61933E-04, 1.92501E-04
135, 1.37196E-03, 8.11200E-04, 4.43199E-04, 1.92348E-04
136, 1.33528E-03, 7.70304E-04, 4.23824E-04, 1.92131E-04
137, 1.29576E-03, 7.29899E-04, 4.03934E-04, 1.91779E-04
138, 1.25375E-03, 6.90046E-04, 3.83647E-04, 1.91296E-04
139, 1.20961E-03, 6.50800E-04, 3.63084E-04, 1.90689E-04
140, 1.16371E-03, 6.12212E-04, 3.42359E-04, 1.89964E-04
141, 1.11639E-03, 5.74327E-04, 3.21582E-04, 1.89126E-04
142, 1.06800E-03, 5.57927E-04, 3.00860E-04, 1.88180E-04
143, 1.01885E-03, 5.42118E-04, 2.80295E-04, 1.87133E-04
144, 9.69270E-04, 5.25985E-04, 2.59980E-04, 1.85989E-04
145, 9.19546E-04, 5.09604E-04, 2.40006E-04, 1.85183E-04
146, 8.69963E-04, 4.93047E-04, 2.20456E-04, 1.84283E-04
147, 8.20785E-04, 4.76383E-04, 2.01405E-04, 1.83289E-04
148, 7.72258E-04, 4.59675E-04, 1.82924E-04, 1.82203E-04
149, 7.24608E-04, 4.42986E-04, 1.72025E-04, 1.81030E-04
150, 6.78041E-04, 4.26373E-04, 1.71685E-04, 1.79770E-04
151, 6.32743E-04, 4.18064E-04, 1.71254E-04, 1.78848E-04
152, 5.97662E-04, 4.16401E-04, 1.70618E-04, 1.78458E-04
