time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,    Infinity
1, 7.29812E-04, 5.57082E-04, 5.60581E-04, 9.93442E-03, 2.75283E-05, 3.10717E-05, 2.32268E-05, 4.29884E+03
2, 5.56296E-04, 5.33920E-04, 3.48445E-04, 3.42526E-02, 9.45534E-06, 8.39003E-06, 6.68360E-06, 4.06696E+00
3, 4.30312E-04, 3.30221E-04, 3.32606E-04, 3.68994E-04, 9.20715E-06, 7.96288E-06, 6.52024E-06, 2.98341E+00
4, 7.59372E-05, 3.20726E-05, 2.80444E-05, 6.70328E-04, 1.93258E-06, 1.53052E-06, 1.08906E-06, 2.12563E-01
5, 6.86906E-05, 3.35198E-05, 2.79709E-05, 1.86119E-04, 2.15913E-06, 1.67319E-06, 1.20446E-06, 1.77370E-01
6, 7.16378E-05, 3.29045E-05, 2.76032E-05, 4.54056E-05, 1.98766E-06, 1.53972E-06, 1.09314E-06, 4.81879E-02
7, 7.40736E-05, 3.34389E-05, 2.69911E-05, 1.91483E-05, 1.98742E-06, 1.53087E-06, 1.08689E-06, 1.27054E-02
8, 7.54568E-05, 3.38675E-05, 2.66903E-05, 1.60936E-05, 1.95850E-06, 1.51253E-06, 1.07280E-06, 5.81478E-03
9, 7.65247E-05, 3.41453E-05, 2.65159E-05, 1.33946E-05, 1.93606E-06, 1.49697E-06, 1.06006E-06, 2.43203E-03
10, 7.69244E-05, 3.42930E-05, 2.60922E-05, 1.36711E-05, 1.91277E-06, 1.48148E-06, 1.04707E-06, 1.04524E-03
11, 7.81933E-05, 3.43051E-05, 2.54266E-05, 1.36499E-05, 1.88998E-06, 1.46687E-06, 1.03501E-06, 5.37200E-04
12, 8.09164E-05, 3.41810E-05, 2.52231E-05, 1.32564E-05, 1.86819E-06, 1.45288E-06, 1.02317E-06, 2.50093E-04
13, 8.30089E-05, 3.39224E-05, 2.51892E-05, 1.29435E-05, 1.84717E-06, 1.43904E-06, 1.01182E-06, 1.71684E-04
14, 8.44226E-05, 3.35320E-05, 2.49768E-05, 1.26655E-05, 1.82689E-06, 1.42597E-06, 1.00065E-06, 1.68810E-04
15, 8.51180E-05, 3.45799E-05, 2.47451E-05, 1.23665E-05, 1.80679E-06, 1.41320E-06, 9.89881E-07, 1.64612E-04
16, 8.50659E-05, 3.55180E-05, 2.46785E-05, 1.20602E-05, 1.78736E-06, 1.40047E-06, 9.79117E-07, 1.60561E-04
17, 8.57433E-05, 3.63277E-05, 2.51676E-05, 1.17536E-05, 1.76874E-06, 1.38805E-06, 9.68654E-07, 1.61679E-04
18, 8.77645E-05, 3.70044E-05, 2.59234E-05, 1.14448E-05, 1.74955E-06, 1.37585E-06, 9.58968E-07, 1.61420E-04
19, 8.91401E-05, 3.75431E-05, 2.65854E-05, 1.11682E-05, 1.73077E-06, 1.36378E-06, 9.49511E-07, 1.59911E-04
20, 8.98433E-05, 3.79405E-05, 2.71443E-05, 1.09393E-05, 1.71282E-06, 1.35188E-06, 9.40288E-07, 1.57254E-04
21, 9.14120E-05, 3.81941E-05, 2.80568E-05, 1.07192E-05, 1.69541E-06, 1.34037E-06, 9.31289E-07, 1.53561E-04
22, 9.46354E-05, 3.83027E-05, 2.97186E-05, 1.06458E-05, 1.67782E-06, 1.32933E-06, 9.22663E-07, 1.54759E-04
23, 9.71940E-05, 3.82662E-05, 3.13264E-05, 1.06656E-05, 1.66042E-06, 1.31806E-06, 9.14111E-07, 1.55382E-04
24, 9.90401E-05, 3.80856E-05, 3.28614E-05, 1.06173E-05, 1.64246E-06, 1.30702E-06, 9.05322E-07, 1.54464E-04
25, 1.00135E-04, 3.77630E-05, 3.43069E-05, 1.06189E-05, 1.62467E-06, 1.29654E-06, 8.96792E-07, 1.52817E-04
26, 1.00449E-04, 3.73017E-05, 3.56468E-05, 1.09792E-05, 1.60874E-06, 1.28654E-06, 8.88533E-07, 1.50329E-04
27, 9.99631E-05, 3.67062E-05, 3.68660E-05, 1.12720E-05, 1.59298E-06, 1.27646E-06, 8.80104E-07, 1.55004E-04
28, 9.86689E-05, 3.60421E-05, 3.79501E-05, 1.14952E-05, 1.57776E-06, 1.26615E-06, 8.71635E-07, 1.58767E-04
29, 9.85604E-05, 3.56026E-05, 3.88859E-05, 1.16477E-05, 1.56198E-06, 1.25610E-06, 8.62929E-07, 1.60909E-04
30, 1.00756E-04, 3.61368E-05, 3.96615E-05, 1.17290E-05, 1.54601E-06, 1.24609E-06, 8.54390E-07, 1.61423E-04
31, 1.02665E-04, 3.68118E-05, 4.02667E-05, 1.17399E-05, 1.52975E-06, 1.23622E-06, 8.46105E-07, 1.60332E-04
