time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
1, 2.90514E-04, 3.10199E-04, 3.65423E-04, 4.81495E-03
2, 2.48670E-04, 1.95798E-04, 1.65400E-04, 8.13988E-03
3, 2.42791E-04, 1.81622E-04, 8.84275E-05, 2.71156E-04
4, 2.45322E-04, 1.58617E-04, 8.86907E-05, 2.18950E-04
5, 2.49395E-04, 1.57765E-04, 8.81947E-05, 7.50610E-05
6, 2.54083E-04, 1.62433E-04, 8.71071E-05, 7.51735E-05
7, 2.59826E-04, 1.66618E-04, 8.54176E-05, 7.67335E-05
8, 2.68346E-04, 1.70357E-04, 8.31259E-05, 7.77839E-05
9, 2.75386E-04, 1.73664E-04, 8.02524E-05, 7.82659E-05
10, 2.83134E-04, 1.76493E-04, 8.01066E-05, 7.95706E-05
11, 2.96125E-04, 1.78826E-04, 7.95056E-05, 8.21342E-05
12, 3.07469E-04, 1.80649E-04, 7.82559E-05, 8.45080E-05
13, 3.17062E-04, 1.81949E-04, 8.15226E-05, 8.66491E-05
14, 3.31473E-04, 1.82716E-04, 8.64785E-05, 8.85541E-05
15, 3.47665E-04, 1.83276E-04, 9.13389E-05, 9.02089E-05
16, 3.63255E-04, 1.83578E-04, 9.60533E-05, 9.16003E-05
17, 3.78128E-04, 1.83352E-04, 1.00569E-04, 9.27205E-05
18, 3.92168E-04, 1.82590E-04, 1.04834E-04, 9.35651E-05
19, 4.05265E-04, 1.81824E-04, 1.08792E-04, 9.41328E-05
20, 4.17310E-04, 1.85472E-04, 1.12391E-04, 9.44260E-05
21, 4.31838E-04, 1.88676E-04, 1.15578E-04, 9.44502E-05
22, 4.51627E-04, 1.91416E-04, 1.18302E-04, 9.57169E-05
23, 4.70536E-04, 1.93672E-04, 1.20514E-04, 9.84586E-05
24, 4.88421E-04, 1.95431E-04, 1.22170E-04, 1.00939E-04
25, 5.05135E-04, 1.96677E-04, 1.24004E-04, 1.03138E-04
26, 5.20527E-04, 1.97400E-04, 1.31243E-04, 1.05037E-04
27, 5.34459E-04, 1.97591E-04, 1.38237E-04, 1.06619E-04
28, 5.46800E-04, 1.97244E-04, 1.44914E-04, 1.07872E-04
29, 5.57426E-04, 1.97302E-04, 1.51204E-04, 1.08786E-04
30, 5.66224E-04, 1.97042E-04, 1.57036E-04, 1.09354E-04
31, 5.73090E-04, 1.96246E-04, 1.62341E-04, 1.09572E-04
32, 5.77935E-04, 1.94911E-04, 1.67052E-04, 1.09440E-04
33, 5.83744E-04, 1.93039E-04, 1.71106E-04, 1.08960E-04
34, 5.98137E-04, 1.90633E-04, 1.74447E-04, 1.08138E-04
35, 6.10632E-04, 1.88085E-04, 1.77020E-04, 1.06982E-04
