time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,    Infinity
1, 5.54541E-05, 4.00515E-05, 2.44026E-05, 6.70496E-03, 3.20416E-06, 2.71239E-06, 2.20047E-06, 4.99179E+03
2, 8.41429E-05, 4.71951E-05, 4.74488E-05, 8.56186E-03, 2.95181E-06, 2.35549E-06, 1.93242E-06, 5.08592E+00
3, 5.74586E-05, 4.63112E-05, 2.29356E-05, 5.30738E-05, 2.66539E-06, 2.17720E-06, 1.72507E-06, 2.99014E+00
4, 5.69556E-05, 3.90037E-05, 2.28147E-05, 4.12753E-05, 2.44038E-06, 1.91359E-06, 1.53116E-06, 5.74581E-02
5, 5.67535E-05, 3.91574E-05, 2.26839E-05, 1.81566E-05, 2.43474E-06, 1.90972E-06, 1.52948E-06, 4.25037E-02
6, 5.67312E-05, 3.93065E-05, 2.25442E-05, 1.68560E-05, 2.43053E-06, 1.90736E-06, 1.52661E-06, 9.04320E-03
7, 5.70691E-05, 3.94415E-05, 2.23943E-05, 1.68565E-05, 2.42615E-06, 1.90469E-06, 1.52396E-06, 8.13425E-04
8, 5.73941E-05, 3.95763E-05, 2.22346E-05, 1.68387E-05, 2.42173E-06, 1.90216E-06, 1.52132E-06, 2.63336E-04
9, 5.76977E-05, 3.97028E-05, 2.20649E-05, 1.68342E-05, 2.41737E-06, 1.89965E-06, 1.51870E-06, 1.67229E-04
10, 5.79797E-05, 3.98213E-05, 2.18855E-05, 1.68223E-05, 2.41303E-06, 1.89717E-06, 1.51608E-06, 1.64118E-04
11, 5.82401E-05, 3.99317E-05, 2.16964E-05, 1.68061E-05, 2.40866E-06, 1.89470E-06, 1.51345E-06, 1.64705E-04
12, 5.84786E-05, 4.00341E-05, 2.14977E-05, 1.67857E-05, 2.40437E-06, 1.89222E-06, 1.51084E-06, 1.64740E-04
13, 5.86952E-05, 4.01283E-05, 2.14566E-05, 1.67611E-05, 2.40008E-06, 1.88976E-06, 1.50825E-06, 1.64624E-04
14, 5.93099E-05, 4.02143E-05, 2.15284E-05, 1.67323E-05, 2.39576E-06, 1.88733E-06, 1.50570E-06, 1.64409E-04
15, 5.99496E-05, 4.02922E-05, 2.15913E-05, 1.66992E-05, 2.39146E-06, 1.88488E-06, 1.50318E-06, 1.64078E-04
