time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
1, 1.78338E-04, 1.38983E-04, 1.39981E-04, 9.73513E-03
2, 1.29659E-04, 1.32970E-04, 8.80935E-05, 1.66405E-02
3, 1.01285E-04, 8.40310E-05, 8.08867E-05, 1.64241E-02
4, 8.37167E-06, 3.87994E-06, 3.54670E-06, 2.75814E-04
5, 7.46709E-06, 4.18137E-06, 3.52307E-06, 2.25526E-04
6, 7.45141E-06, 3.72211E-06, 3.49169E-06, 5.10007E-05
7, 7.65104E-06, 3.78593E-06, 3.46739E-06, 6.69133E-06
8, 7.87334E-06, 3.84797E-06, 3.43567E-06, 2.56766E-06
9, 8.10578E-06, 3.90521E-06, 3.44133E-06, 7.76648E-07
10, 8.32504E-06, 3.95940E-06, 3.44083E-06, 2.30194E-07
11, 8.53004E-06, 4.00987E-06, 3.43270E-06, 1.05876E-07
12, 8.71986E-06, 4.05653E-06, 3.41698E-06, 5.67849E-08
13, 8.89366E-06, 4.09932E-06, 3.39374E-06, 5.63544E-08
14, 9.05062E-06, 4.13819E-06, 3.36306E-06, 5.67879E-08
15, 9.18999E-06, 4.17306E-06, 3.32507E-06, 5.69912E-08
16, 9.31106E-06, 4.20388E-06, 3.27990E-06, 5.69838E-08
17, 9.41320E-06, 4.23061E-06, 3.27147E-06, 5.68495E-08
18, 9.49581E-06, 4.25321E-06, 3.26726E-06, 5.65735E-08
19, 9.55840E-06, 4.27163E-06, 3.25544E-06, 5.61495E-08
20, 9.60051E-06, 4.28586E-06, 3.23608E-06, 5.55794E-08
21, 9.62177E-06, 4.29588E-06, 3.20925E-06, 5.48637E-08
22, 9.62189E-06, 4.30167E-06, 3.17508E-06, 5.40036E-08
23, 9.69960E-06, 4.30324E-06, 3.13369E-06, 5.36861E-08
24, 9.88296E-06, 4.30057E-06, 3.11087E-06, 5.43512E-08
25, 1.00482E-05, 4.29370E-06, 3.11883E-06, 5.49169E-08
26, 1.01944E-05, 4.28263E-06, 3.12141E-06, 5.53789E-08
27, 1.03209E-05, 4.26740E-06, 3.11858E-06, 5.57329E-08
28, 1.04269E-05, 4.24804E-06, 3.11032E-06, 5.59754E-08
29, 1.05117E-05, 4.22460E-06, 3.09663E-06, 5.61026E-08
30, 1.05747E-05, 4.20905E-06, 3.07750E-06, 5.61117E-08
31, 1.06154E-05, 4.27585E-06, 3.05443E-06, 5.59998E-08
