time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
1, 1.02499E-03, 6.18348E-04, 5.46469E-04, 1.60423E-02
2, 1.11634E-03, 7.77825E-04, 5.56643E-04, 6.72013E-04
3, 9.40477E-04, 6.57344E-04, 3.54559E-04, 6.70097E-04
4, 9.65248E-04, 6.48918E-04, 3.52041E-04, 3.02235E-04
5, 9.95185E-04, 6.53435E-04, 3.54648E-04, 2.76422E-04
6, 1.02510E-03, 6.54433E-04, 3.54712E-04, 2.95200E-04
7, 1.04891E-03, 6.52806E-04, 3.52341E-04, 2.98167E-04
8, 1.06631E-03, 6.71312E-04, 3.47510E-04, 3.00648E-04
9, 1.07932E-03, 6.88526E-04, 3.40232E-04, 3.04505E-04
10, 1.11211E-03, 7.03863E-04, 3.30566E-04, 3.06882E-04
11, 1.13884E-03, 7.17301E-04, 3.19566E-04, 3.08052E-04
12, 1.17695E-03, 7.28751E-04, 3.18851E-04, 3.16008E-04
13, 1.22792E-03, 7.38139E-04, 3.15517E-04, 3.25565E-04
14, 1.27207E-03, 7.45404E-04, 3.28417E-04, 3.34243E-04
15, 1.30903E-03, 7.50494E-04, 3.49267E-04, 3.41986E-04
16, 1.35599E-03, 7.53785E-04, 3.69852E-04, 3.48734E-04
17, 1.42063E-03, 7.56920E-04, 3.89973E-04, 3.54440E-04
18, 1.48270E-03, 7.57884E-04, 4.09420E-04, 3.59067E-04
19, 1.54171E-03, 7.56643E-04, 4.27977E-04, 3.62596E-04
20, 1.59721E-03, 7.53175E-04, 4.45425E-04, 3.65021E-04
21, 1.64875E-03, 7.47472E-04, 4.61544E-04, 3.66350E-04
22, 1.69588E-03, 7.60550E-04, 4.76118E-04, 3.66602E-04
23, 1.76494E-03, 7.73507E-04, 4.88934E-04, 3.65812E-04
24, 1.84400E-03, 7.84537E-04, 4.99791E-04, 3.74195E-04
25, 1.91930E-03, 7.93566E-04, 5.08497E-04, 3.84183E-04
26, 1.99024E-03, 8.00529E-04, 5.14880E-04, 3.93075E-04
27, 2.05625E-03, 8.05374E-04, 5.18883E-04, 4.00796E-04
28, 2.11670E-03, 8.08058E-04, 5.48276E-04, 4.07281E-04
29, 2.17105E-03, 8.08549E-04, 5.76563E-04, 4.12476E-04
30, 2.21877E-03, 8.06830E-04, 6.03455E-04, 4.16340E-04
31, 2.25937E-03, 8.06524E-04, 6.28665E-04, 4.18845E-04
32, 2.29241E-03, 8.05152E-04, 6.51908E-04, 4.19973E-04
33, 2.31749E-03, 8.01577E-04, 6.72911E-04, 4.19721E-04
34, 2.33426E-03, 7.95793E-04, 6.91412E-04, 4.18098E-04
35, 2.38041E-03, 7.87812E-04, 7.07167E-04, 4.15125E-04
36, 2.43663E-03, 7.77669E-04, 7.19951E-04, 4.10836E-04
37, 2.48492E-03, 7.66944E-04, 7.29563E-04, 4.05803E-04
38, 2.52473E-03, 7.61287E-04, 7.35831E-04, 4.07618E-04
39, 2.55555E-03, 7.61876E-04, 7.38611E-04, 4.07950E-04
40, 2.57693E-03, 7.65183E-04, 7.37792E-04, 4.06798E-04
41, 2.58847E-03, 7.66607E-04, 7.33298E-04, 4.04176E-04
42, 2.58986E-03, 7.66138E-04, 7.45926E-04, 4.00118E-04
43, 2.58086E-03, 7.63776E-04, 7.78139E-04, 3.94671E-04
44, 2.56129E-03, 7.59537E-04, 8.07470E-04, 3.87901E-04
45, 2.53108E-03, 7.54037E-04, 8.33584E-04, 3.79888E-04
46, 2.51834E-03, 7.64294E-04, 8.56167E-04, 3.70727E-04
47, 2.53451E-03, 7.73682E-04, 8.74927E-04, 3.60527E-04
48, 2.54062E-03, 7.81107E-04, 8.89600E-04, 3.49405E-04
49, 2.53635E-03, 7.86500E-04, 8.99954E-04, 3.37490E-04
50, 2.52144E-03, 7.89812E-04, 9.05792E-04, 3.24918E-04
51, 2.49575E-03, 7.90992E-04, 9.06953E-04, 3.11827E-04
52, 2.45919E-03, 7.90000E-04, 9.03318E-04, 3.11465E-04
53, 2.41178E-03, 8.15491E-04, 8.94808E-04, 3.11128E-04
54, 2.35362E-03, 8.55026E-04, 8.81387E-04, 3.10451E-04
55, 2.36367E-03, 8.93755E-04, 8.63065E-04, 3.09498E-04
56, 2.39869E-03, 9.31563E-04, 8.42375E-04, 3.08336E-04
57, 2.46081E-03, 9.68337E-04, 8.88229E-04, 3.07032E-04
58, 2.54981E-03, 1.00397E-03, 9.31824E-04, 3.05654E-04
59, 2.62666E-03, 1.03836E-03, 9.72853E-04, 3.04265E-04
60, 2.69098E-03, 1.07140E-03, 1.01102E-03, 3.02925E-04
61, 2.74247E-03, 1.10301E-03, 1.04605E-03, 3.01684E-04
62, 2.78098E-03, 1.13311E-03, 1.07769E-03, 3.00587E-04
63, 2.80648E-03, 1.16160E-03, 1.10570E-03, 2.99667E-04
