time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
1, 4.89403E-16, 4.60881E-16, 7.14151E-16, 8.05986E-16
2, 9.79914E-16, 9.22834E-16, 1.07113E-15, 3.53323E-15
3, 9.81031E-16, 1.38585E-15, 1.07104E-15, 6.97934E-15
4, 1.47324E-15, 9.24953E-16, 1.42792E-15, 5.34616E-15
5, 9.83291E-16, 9.26001E-16, 1.07085E-15, 7.51450E-15
6, 1.47665E-15, 1.39056E-15, 1.07075E-15, 9.86920E-15
7, 1.97117E-15, 1.39211E-15, 1.42755E-15, 7.84941E-15
8, 1.23343E-15, 1.85820E-15, 1.42742E-15, 8.78362E-15
9, 1.48186E-15, 1.62770E-15, 1.07047E-15, 1.10515E-14
10, 1.23636E-15, 1.86224E-15, 1.42718E-15, 7.38153E-15
11, 1.48540E-15, 1.86424E-15, 1.42705E-15, 7.49800E-15
12, 1.48718E-15, 1.86623E-15, 1.42693E-15, 8.23218E-15
13, 1.73714E-15, 1.63467E-15, 1.78352E-15, 9.27819E-15
14, 1.73924E-15, 1.63637E-15, 1.78337E-15, 9.19177E-15
15, 1.74136E-15, 2.34009E-15, 1.78323E-15, 8.58755E-15
16, 1.74348E-15, 2.34248E-15, 1.42646E-15, 8.29194E-15
17, 1.99500E-15, 1.87589E-15, 1.42635E-15, 7.00870E-15
18, 1.99745E-15, 1.87776E-15, 1.78280E-15, 1.07135E-14
19, 1.49994E-15, 1.87963E-15, 1.78266E-15, 9.37761E-15
20, 1.50180E-15, 1.88147E-15, 2.13902E-15, 8.14127E-15
21, 1.50367E-15, 1.88330E-15, 1.78238E-15, 9.09615E-15
22, 1.50554E-15, 2.35638E-15, 1.78225E-15, 9.42573E-15
23, 2.00990E-15, 2.12276E-15, 1.42569E-15, 7.50078E-15
24, 1.50931E-15, 1.88867E-15, 1.78198E-15, 6.72514E-15
25, 2.01495E-15, 1.89043E-15, 1.78186E-15, 1.30514E-14
26, 1.51312E-15, 2.36520E-15, 1.78173E-15, 7.80147E-15
27, 1.76753E-15, 1.89388E-15, 1.78161E-15, 1.14044E-14
28, 1.76977E-15, 1.89558E-15, 2.13778E-15, 8.77852E-15
29, 2.02516E-15, 1.89726E-15, 1.78136E-15, 7.83908E-15
30, 2.02773E-15, 2.37366E-15, 1.78125E-15, 9.89388E-15
31, 1.77653E-15, 1.90057E-15, 2.49358E-15, 8.07625E-15
32, 2.03291E-15, 1.90220E-15, 2.13722E-15, 1.02174E-14
33, 1.78107E-15, 1.90381E-15, 1.78091E-15, 1.05529E-14
34, 2.03811E-15, 1.90540E-15, 1.78080E-15, 7.25952E-15
35, 1.78563E-15, 1.90697E-15, 1.78069E-15, 1.06919E-14
36, 1.78792E-15, 1.90852E-15, 1.78059E-15, 1.13505E-14
37, 2.04596E-15, 1.91005E-15, 1.78049E-15, 9.11536E-15
38, 2.04859E-15, 1.91157E-15, 2.13647E-15, 1.07935E-14
39, 2.05123E-15, 1.91306E-15, 1.78030E-15, 1.22614E-14
40, 1.79714E-15, 2.15386E-15, 1.78020E-15, 1.54030E-14
41, 2.05653E-15, 1.91600E-15, 1.78011E-15, 8.41380E-15
42, 2.31658E-15, 2.15711E-15, 1.78003E-15, 7.34567E-15
43, 1.80411E-15, 2.39857E-15, 1.77994E-15, 7.13982E-15
44, 2.58064E-15, 1.92025E-15, 1.77986E-15, 8.66663E-15
45, 2.32558E-15, 2.16184E-15, 1.95776E-15, 1.06859E-14
46, 2.06986E-15, 1.92299E-15, 1.77970E-15, 7.65901E-15
47, 1.81348E-15, 2.40542E-15, 1.77963E-15, 1.08790E-14
48, 2.07524E-15, 2.40707E-15, 2.13547E-15, 8.71532E-15
49, 2.07794E-15, 1.92696E-15, 1.77949E-15, 1.03638E-14
50, 2.08064E-15, 1.92824E-15, 2.13532E-15, 9.06711E-15
51, 2.60418E-15, 1.92950E-15, 1.77937E-15, 9.02483E-15
52, 1.82530E-15, 2.17209E-15, 2.84690E-15, 1.63045E-14
53, 2.34988E-15, 2.41496E-15, 2.13511E-15, 9.28593E-15
54, 2.09150E-15, 1.93317E-15, 1.77921E-15, 1.09563E-14
55, 2.61779E-15, 1.93435E-15, 2.13499E-15, 9.34881E-15
56, 2.62121E-15, 1.93551E-15, 2.49076E-15, 8.14988E-15
57, 2.09972E-15, 2.42081E-15, 2.13489E-15, 8.49162E-15
58, 2.10247E-15, 2.17999E-15, 1.77903E-15, 8.06122E-15
59, 2.10522E-15, 1.93886E-15, 1.95690E-15, 1.02281E-14
60, 2.37148E-15, 2.18243E-15, 2.13476E-15, 6.86468E-15
61, 2.11076E-15, 2.42625E-15, 2.84630E-15, 6.54114E-15
62, 1.84934E-15, 2.42754E-15, 2.49048E-15, 9.32506E-15
63, 2.11632E-15, 2.18592E-15, 2.13467E-15, 9.92089E-15
64, 2.11911E-15, 2.43004E-15, 2.49043E-15, 9.34953E-15
65, 2.38714E-15, 2.18813E-15, 2.13464E-15, 1.12564E-14
66, 2.12471E-15, 2.18920E-15, 2.13462E-15, 7.75583E-15
67, 2.39347E-15, 2.43360E-15, 2.13462E-15, 1.16209E-14
68, 2.13035E-15, 2.43473E-15, 2.13461E-15, 1.06850E-14
69, 2.13318E-15, 2.80120E-15, 2.13461E-15, 8.96238E-15
70, 2.13602E-15, 2.43690E-15, 2.49039E-15, 7.74005E-15
71, 2.13887E-15, 2.31605E-15, 3.20194E-15, 1.13443E-14
72, 2.40944E-15, 2.19507E-15, 2.49041E-15, 7.28207E-15
73, 2.14459E-15, 2.68395E-15, 2.49043E-15, 7.09437E-15
74, 2.41590E-15, 2.68500E-15, 2.49046E-15, 8.45654E-15
75, 2.15035E-15, 2.44184E-15, 2.84628E-15, 7.28196E-15
76, 2.42239E-15, 2.44274E-15, 2.13474E-15, 1.22087E-14
77, 2.15614E-15, 2.44362E-15, 2.49057E-15, 7.58360E-15
78, 2.42894E-15, 2.68891E-15, 2.84642E-15, 1.23533E-14
79, 2.16198E-15, 2.44528E-15, 2.49066E-15, 1.12343E-14
80, 2.16491E-15, 2.20146E-15, 2.49072E-15, 9.77152E-15
81, 2.16785E-15, 2.93618E-15, 2.13495E-15, 1.05803E-14
82, 2.44216E-15, 2.69230E-15, 2.13501E-15, 8.74275E-15
83, 2.71722E-15, 2.44824E-15, 2.13507E-15, 9.29564E-15
84, 2.44884E-15, 2.44891E-15, 2.13513E-15, 8.56515E-15
85, 2.17973E-15, 2.69450E-15, 2.13520E-15, 8.00429E-15
86, 2.18273E-15, 2.20514E-15, 2.13527E-15, 1.12202E-14
87, 2.18574E-15, 2.20566E-15, 2.13535E-15, 9.28562E-15
88, 2.18876E-15, 2.69642E-15, 2.13543E-15, 6.88696E-15
89, 2.19179E-15, 2.45181E-15, 2.49143E-15, 1.04010E-14
90, 1.92048E-15, 2.57491E-15, 2.13560E-15, 1.13923E-14
91, 1.92315E-15, 2.20748E-15, 2.13569E-15, 8.98708E-15
92, 2.20095E-15, 2.45319E-15, 2.13578E-15, 1.22287E-14
93, 2.20402E-15, 2.82163E-15, 1.95789E-15, 1.12045E-14
94, 2.20711E-15, 2.45396E-15, 2.13598E-15, 9.59947E-15
95, 2.48649E-15, 2.45430E-15, 2.13608E-15, 1.26514E-14
96, 2.21332E-15, 2.45462E-15, 1.78016E-15, 1.14789E-14
97, 2.21644E-15, 1.96392E-15, 2.13630E-15, 7.31396E-15
98, 2.49703E-15, 1.96413E-15, 2.13642E-15, 1.13044E-14
99, 2.22273E-15, 1.96431E-15, 2.13654E-15, 1.05767E-14
100, 2.22588E-15, 1.96446E-15, 2.13666E-15, 9.08969E-15
101, 2.78632E-15, 1.96460E-15, 2.13678E-15, 1.16681E-14
102, 2.51127E-15, 1.96471E-15, 2.13691E-15, 1.30848E-14
103, 3.07372E-15, 1.96480E-15, 2.13704E-15, 9.18260E-15
104, 2.51847E-15, 2.45608E-15, 2.13718E-15, 1.14781E-14
105, 2.80232E-15, 2.45614E-15, 2.13732E-15, 1.11408E-14
106, 3.08700E-15, 2.45616E-15, 2.49370E-15, 1.12722E-14
107, 2.81041E-15, 2.45616E-15, 2.49387E-15, 8.49424E-15
108, 2.53303E-15, 2.21052E-15, 2.13775E-15, 1.42142E-14
109, 2.81856E-15, 2.21047E-15, 2.13790E-15, 1.03721E-14
110, 2.54039E-15, 2.21039E-15, 2.13805E-15, 8.26097E-15
111, 2.54410E-15, 2.45588E-15, 2.13820E-15, 1.02802E-14
112, 2.83090E-15, 2.45574E-15, 2.49476E-15, 9.58335E-15
113, 2.83504E-15, 2.21002E-15, 2.13852E-15, 9.47704E-15
114, 2.83920E-15, 2.45538E-15, 1.96046E-15, 1.03194E-14
115, 2.84337E-15, 2.45516E-15, 1.78238E-15, 1.15201E-14
116, 2.56281E-15, 2.45492E-15, 2.85203E-15, 1.07618E-14
117, 3.13694E-15, 2.45465E-15, 2.13920E-15, 7.97749E-15
118, 2.57038E-15, 2.94522E-15, 2.13937E-15, 1.23988E-14
119, 2.86021E-15, 2.94483E-15, 2.13955E-15, 1.18178E-14
120, 3.15091E-15, 2.45368E-15, 1.78311E-15, 1.11158E-14
121, 2.86872E-15, 2.45330E-15, 2.13992E-15, 9.87341E-15
122, 2.87300E-15, 1.96233E-15, 2.14010E-15, 8.62786E-15
123, 2.87729E-15, 2.45248E-15, 2.14029E-15, 1.06787E-14
124, 2.88159E-15, 2.45203E-15, 2.14048E-15, 1.05123E-14
125, 3.17451E-15, 2.45156E-15, 2.14068E-15, 9.26278E-15
126, 2.89025E-15, 1.96085E-15, 2.14088E-15, 1.07804E-14
127, 2.89460E-15, 2.45054E-15, 2.14108E-15, 7.83952E-15
128, 3.18886E-15, 1.96000E-15, 2.14128E-15, 9.11775E-15
129, 3.19368E-15, 1.95954E-15, 2.14148E-15, 1.03993E-14
130, 2.90774E-15, 1.95907E-15, 2.14169E-15, 1.10183E-14
131, 2.62093E-15, 2.44822E-15, 2.14190E-15, 1.26694E-14
132, 3.20822E-15, 2.20283E-15, 2.14212E-15, 8.31575E-15
133, 3.21310E-15, 2.20223E-15, 2.14234E-15, 8.08357E-15
134, 2.63291E-15, 2.20161E-15, 2.14255E-15, 1.19283E-14
135, 2.63693E-15, 2.44553E-15, 2.14278E-15, 1.26753E-14
136, 2.34752E-15, 1.95584E-15, 2.14300E-15, 1.25701E-14
137, 2.64501E-15, 2.44405E-15, 2.14323E-15, 9.40949E-15
138, 2.94341E-15, 2.19895E-15, 2.14346E-15, 7.84656E-15
139, 2.65314E-15, 2.19823E-15, 2.14369E-15, 1.00472E-14
140, 2.65722E-15, 2.19749E-15, 2.14393E-15, 9.20172E-15
141, 3.25272E-15, 2.19674E-15, 2.14417E-15, 7.98546E-15
142, 3.25774E-15, 2.43995E-15, 2.50181E-15, 1.19327E-14
143, 2.96616E-15, 2.19516E-15, 2.14466E-15, 1.09632E-14
144, 2.97076E-15, 2.68198E-15, 2.14491E-15, 1.14405E-14
145, 2.97537E-15, 2.43724E-15, 2.14516E-15, 1.06838E-14
146, 2.97999E-15, 2.43629E-15, 2.14541E-15, 9.64693E-15
147, 2.68616E-15, 2.19179E-15, 2.14567E-15, 9.35028E-15
148, 2.98928E-15, 2.43433E-15, 2.50359E-15, 1.61912E-14
