time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 4.71864E-04
1, 4.11162E-03, 2.47595E-03, 2.22106E-03, 3.43962E-02, 1.59454E-04, 1.25622E-04, 1.05183E-04, 3.56751E+00
2, 4.54570E-03, 3.10564E-03, 2.17090E-03, 2.54942E-03, 1.64896E-04, 1.35216E-04, 1.07712E-04, 1.85710E-01
3, 3.91646E-03, 2.75722E-03, 1.48792E-03, 2.68565E-03, 1.49476E-04, 1.16956E-04, 9.49870E-05, 2.79510E-01
4, 4.23327E-03, 2.76714E-03, 1.42346E-03, 1.23543E-03, 1.48319E-04, 1.16877E-04, 9.30888E-05, 1.28364E-01
5, 4.49309E-03, 2.86898E-03, 1.38565E-03, 1.13275E-03, 1.45455E-04, 1.14735E-04, 9.20143E-05, 1.18616E-01
6, 4.85940E-03, 2.95007E-03, 1.35520E-03, 1.21396E-03, 1.43585E-04, 1.14152E-04, 9.08287E-05, 1.27268E-01
7, 5.11310E-03, 2.97463E-03, 1.33511E-03, 1.24300E-03, 1.41545E-04, 1.12866E-04, 8.97092E-05, 1.30766E-01
8, 5.66346E-03, 2.98658E-03, 1.46449E-03, 1.24460E-03, 1.39673E-04, 1.12025E-04, 8.86111E-05, 1.31301E-01
9, 6.17318E-03, 2.96206E-03, 1.61036E-03, 1.25265E-03, 1.37835E-04, 1.11110E-04, 8.76260E-05, 1.32532E-01
10, 6.62715E-03, 3.02095E-03, 1.74534E-03, 1.23810E-03, 1.36090E-04, 1.10244E-04, 8.66720E-05, 1.31365E-01
11, 7.09766E-03, 3.11828E-03, 1.84898E-03, 1.19978E-03, 1.34314E-04, 1.09347E-04, 8.57536E-05, 1.27642E-01
12, 7.74110E-03, 3.18237E-03, 1.91807E-03, 1.24117E-03, 1.32599E-04, 1.08559E-04, 8.48657E-05, 1.32385E-01
13, 8.31128E-03, 3.21140E-03, 1.99605E-03, 1.27701E-03, 1.30904E-04, 1.07779E-04, 8.39843E-05, 1.36531E-01
14, 8.78908E-03, 3.20441E-03, 2.23071E-03, 1.29174E-03, 1.29232E-04, 1.06944E-04, 8.31762E-05, 1.38406E-01
15, 9.15570E-03, 3.19431E-03, 2.43926E-03, 1.28446E-03, 1.27580E-04, 1.06192E-04, 8.23749E-05, 1.37892E-01
16, 9.39573E-03, 3.14801E-03, 2.61145E-03, 1.25584E-03, 1.26039E-04, 1.05531E-04, 8.16437E-05, 1.35047E-01
17, 9.65158E-03, 3.06628E-03, 2.73810E-03, 1.20719E-03, 1.24519E-04, 1.04891E-04, 8.08971E-05, 1.29997E-01
18, 1.00741E-02, 3.04568E-03, 2.81160E-03, 1.14083E-03, 1.23080E-04, 1.04282E-04, 8.01386E-05, 1.22989E-01
19, 1.03533E-02, 3.07736E-03, 2.82627E-03, 1.08177E-03, 1.21554E-04, 1.03690E-04, 7.94172E-05, 1.16719E-01
