time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 1.84448E-03
1, 4.90268E-16, 4.61587E-16, 3.56945E-16, 8.07542E-16, 8.46217E-18, 7.96268E-18, 8.45127E-18, 8.22843E-14
2, 7.37090E-16, 9.25288E-16, 1.07065E-15, 2.22956E-15, 1.98844E-17, 1.85139E-17, 1.70314E-17, 2.39058E-13
3, 1.23134E-15, 9.27371E-16, 7.13641E-16, 3.05222E-15, 4.07461E-17, 3.85272E-17, 3.32143E-17, 3.16860E-13
4, 1.23423E-15, 1.39413E-15, 1.07028E-15, 3.26825E-15, 6.46345E-17, 6.09692E-17, 5.25254E-17, 3.36985E-13
5, 1.48460E-15, 1.16430E-15, 1.07010E-15, 3.79324E-15, 8.36191E-17, 7.89863E-17, 6.96687E-17, 3.92483E-13
6, 1.24013E-15, 1.40014E-15, 1.42656E-15, 3.91028E-15, 9.67657E-17, 9.27432E-17, 8.19381E-17, 4.08056E-13
7, 1.24313E-15, 1.16922E-15, 1.42632E-15, 3.40821E-15, 1.08404E-16, 1.02952E-16, 9.22187E-17, 3.56409E-13
8, 1.49540E-15, 1.87459E-15, 1.06957E-15, 5.80443E-15, 1.16356E-16, 1.10862E-16, 9.97339E-17, 6.13032E-13
9, 1.49908E-15, 1.87836E-15, 1.42587E-15, 3.53657E-15, 1.23133E-16, 1.17577E-16, 1.06275E-16, 3.76291E-13
10, 1.50279E-15, 1.41154E-15, 1.42565E-15, 3.65321E-15, 1.29426E-16, 1.23467E-16, 1.10864E-16, 3.91189E-13
11, 1.50653E-15, 1.64997E-15, 1.42544E-15, 4.08458E-15, 1.33926E-16, 1.28693E-16, 1.15380E-16, 4.32296E-13
12, 2.01373E-15, 1.41692E-15, 1.42523E-15, 4.20332E-15, 1.38397E-16, 1.32173E-16, 1.17595E-16, 4.49729E-13
13, 1.51410E-15, 1.89271E-15, 1.42503E-15, 3.90083E-15, 1.42372E-16, 1.34270E-16, 1.21523E-16, 4.18033E-13
14, 1.77091E-15, 1.42209E-15, 1.42484E-15, 4.23070E-15, 1.46136E-16, 1.38842E-16, 1.25130E-16, 4.65085E-13
15, 1.26815E-15, 1.89946E-15, 1.42465E-15, 4.35019E-15, 1.49453E-16, 1.41553E-16, 1.25118E-16, 4.68380E-13
16, 1.77993E-15, 1.90272E-15, 1.78059E-15, 4.31051E-15, 1.51719E-16, 1.42655E-16, 1.27479E-16, 4.63831E-13
