time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 4.32716E-05
1, 4.42158E-05, 3.48235E-05, 3.49565E-05, 2.37851E-03, 1.71428E-06, 1.93455E-06, 1.45048E-06, 4.93193E+00
2, 3.15365E-05, 3.35547E-05, 2.25019E-05, 8.56649E-03, 5.21766E-07, 4.63016E-07, 3.71722E-07, 1.01764E+01
3, 2.49048E-05, 2.15142E-05, 2.02416E-05, 2.33488E-05, 4.72188E-07, 4.28056E-07, 3.57101E-07, 8.17473E-03
4, 1.01295E-06, 4.92472E-07, 4.49132E-07, 4.12575E-05, 3.15645E-08, 2.48899E-08, 1.76672E-08, 3.43915E-02
5, 9.68511E-07, 5.32644E-07, 4.45667E-07, 1.03582E-05, 3.53396E-08, 2.72684E-08, 1.96125E-08, 8.61059E-03
6, 9.63238E-07, 4.37734E-07, 4.44930E-07, 6.90507E-07, 3.31943E-08, 2.54170E-08, 1.81148E-08, 5.75496E-04
7, 9.57016E-07, 4.41775E-07, 4.43969E-07, 3.45793E-07, 3.33083E-08, 2.54627E-08, 1.81567E-08, 2.88148E-04
8, 9.50257E-07, 4.46483E-07, 4.42741E-07, 2.41001E-07, 3.31693E-08, 2.53821E-08, 1.80936E-08, 2.00888E-04
9, 9.42891E-07, 4.51013E-07, 4.41250E-07, 2.39227E-07, 3.30529E-08, 2.53052E-08, 1.80311E-08, 1.99467E-04
10, 9.34924E-07, 4.55483E-07, 4.39500E-07, 2.42226E-07, 3.29342E-08, 2.52277E-08, 1.79691E-08, 2.02029E-04
11, 9.26364E-07, 4.59852E-07, 4.37492E-07, 2.40960E-07, 3.28159E-08, 2.51514E-08, 1.79088E-08, 2.01033E-04
12, 9.20970E-07, 4.64118E-07, 4.35513E-07, 2.39983E-07, 3.26982E-08, 2.50755E-08, 1.78493E-08, 2.00280E-04
13, 9.28625E-07, 4.68280E-07, 4.34244E-07, 2.39190E-07, 3.25842E-08, 2.50015E-08, 1.77912E-08, 1.99679E-04
14, 9.44583E-07, 4.72338E-07, 4.32745E-07, 2.38346E-07, 3.24712E-08, 2.49284E-08, 1.77340E-08, 1.99036E-04
15, 9.60197E-07, 4.76289E-07, 4.31017E-07, 2.37487E-07, 3.23608E-08, 2.48579E-08, 1.76773E-08, 1.98381E-04
16, 9.75452E-07, 4.80132E-07, 4.29063E-07, 2.36620E-07, 3.22511E-08, 2.47881E-08, 1.76215E-08, 1.97718E-04
17, 9.90331E-07, 4.83865E-07, 4.28003E-07, 2.35741E-07, 3.21424E-08, 2.47193E-08, 1.75665E-08, 1.97047E-04
18, 1.00482E-06, 4.87488E-07, 4.28454E-07, 2.34851E-07, 3.20361E-08, 2.46510E-08, 1.75114E-08, 1.96366E-04
19, 1.01890E-06, 4.90998E-07, 4.28669E-07, 2.33951E-07, 3.19315E-08, 2.45838E-08, 1.74559E-08, 1.95676E-04
20, 1.03257E-06, 4.94394E-07, 4.28646E-07, 2.33041E-07, 3.18285E-08, 2.45163E-08, 1.74005E-08, 1.94978E-04
21, 1.04579E-06, 4.97676E-07, 4.28387E-07, 2.32120E-07, 3.17284E-08, 2.44488E-08, 1.73457E-08, 1.94271E-04
22, 1.05857E-06, 5.00841E-07, 4.27892E-07, 2.31189E-07, 3.16298E-08, 2.43817E-08, 1.72906E-08, 1.93555E-04
23, 1.07088E-06, 5.03889E-07, 4.27162E-07, 2.30248E-07, 3.15299E-08, 2.43155E-08, 1.72359E-08, 1.92831E-04
24, 1.08272E-06, 5.06818E-07, 4.26196E-07, 2.29298E-07, 3.14306E-08, 2.42494E-08, 1.71822E-08, 1.92099E-04
25, 1.09406E-06, 5.09627E-07, 4.24997E-07, 2.28338E-07, 3.13348E-08, 2.41837E-08, 1.71289E-08, 1.91358E-04
26, 1.10490E-06, 5.12315E-07, 4.23565E-07, 2.27369E-07, 3.12395E-08, 2.41179E-08, 1.70771E-08, 1.90610E-04
27, 1.11522E-06, 5.14882E-07, 4.21903E-07, 2.26390E-07, 3.11447E-08, 2.40525E-08, 1.70257E-08, 1.89853E-04
28, 1.12502E-06, 5.17325E-07, 4.20010E-07, 2.25402E-07, 3.10504E-08, 2.39882E-08, 1.69746E-08, 1.89089E-04
29, 1.13427E-06, 5.19645E-07, 4.17890E-07, 2.24406E-07, 3.09569E-08, 2.39245E-08, 1.69243E-08, 1.88317E-04
30, 1.14297E-06, 5.21839E-07, 4.15544E-07, 2.23401E-07, 3.08667E-08, 2.38616E-08, 1.68744E-08, 1.87538E-04
31, 1.15111E-06, 5.23908E-07, 4.12974E-07, 2.22387E-07, 3.07774E-08, 2.37987E-08, 1.68246E-08, 1.86751E-04
32, 1.15867E-06, 5.25851E-07, 4.10183E-07, 2.21365E-07, 3.06872E-08, 2.37357E-08, 1.67749E-08, 1.85957E-04
