time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
1, 4.31585E-05, 3.38966E-05, 3.49645E-05, 2.64006E-02, 1.57596E-06, 1.77759E-06, 1.32748E-06, 1.52479E-04
2, 2.85484E-05, 3.10235E-05, 2.07775E-05, 2.87035E-02, 5.09085E-07, 4.43976E-07, 3.60853E-07, 1.38009E-04
3, 2.26625E-05, 1.98533E-05, 1.68879E-05, 2.57630E-02, 4.63415E-07, 4.22191E-07, 3.50546E-07, 1.41032E-04
4, 1.90934E-05, 8.39216E-06, 5.23288E-06, 2.58026E-02, 1.08909E-07, 8.71985E-08, 6.54721E-08, 2.88047E-05
5, 1.90712E-05, 8.20961E-06, 5.47297E-06, 2.57977E-02, 1.09590E-07, 8.74429E-08, 6.57143E-08, 2.87846E-05
6, 1.81013E-05, 7.52846E-06, 5.42712E-06, 2.58197E-02, 1.03273E-07, 8.38643E-08, 6.28142E-08, 2.63988E-05
7, 1.63431E-05, 7.20182E-06, 5.19023E-06, 2.58348E-02, 9.62453E-08, 7.92570E-08, 5.91936E-08, 2.30164E-05
8, 1.41196E-05, 6.67514E-06, 4.79979E-06, 2.58489E-02, 8.91782E-08, 7.44426E-08, 5.56274E-08, 1.88567E-05
9, 1.16631E-05, 5.91141E-06, 4.29770E-06, 2.58617E-02, 8.37075E-08, 7.05003E-08, 5.30656E-08, 1.43371E-05
10, 9.16888E-06, 4.96372E-06, 4.17688E-06, 2.58738E-02, 8.05290E-08, 6.82008E-08, 5.21612E-08, 1.56089E-05
11, 9.45556E-06, 4.51660E-06, 3.98946E-06, 2.58853E-02, 8.11289E-08, 6.80417E-08, 5.29938E-08, 2.11655E-05
12, 1.17435E-05, 4.51473E-06, 3.61877E-06, 2.58965E-02, 8.48128E-08, 6.98657E-08, 5.51805E-08, 2.68087E-05
13, 1.39458E-05, 5.34947E-06, 3.60256E-06, 2.59075E-02, 9.03590E-08, 7.29888E-08, 5.82160E-08, 3.19462E-05
14, 1.54094E-05, 6.33559E-06, 4.20162E-06, 2.59187E-02, 9.65030E-08, 7.65117E-08, 6.13586E-08, 3.60734E-05
15, 1.59848E-05, 7.08735E-06, 4.63119E-06, 2.59304E-02, 1.01720E-07, 7.93934E-08, 6.36584E-08, 3.96188E-05
16, 1.72234E-05, 7.45642E-06, 4.75769E-06, 2.59426E-02, 1.03781E-07, 8.00966E-08, 6.39644E-08, 4.15519E-05
17, 1.69044E-05, 7.24060E-06, 4.47945E-06, 2.59558E-02, 1.00244E-07, 7.68162E-08, 6.09956E-08, 4.02498E-05
18, 1.44658E-05, 6.16119E-06, 3.68255E-06, 2.59701E-02, 8.87450E-08, 6.77498E-08, 5.33127E-08, 3.43732E-05
19, 9.34373E-06, 3.93698E-06, 2.24006E-06, 2.59858E-02, 6.71179E-08, 5.14527E-08, 3.96687E-08, 2.23959E-05
20, 1.07983E-06, 5.91023E-07, 8.41850E-07, 2.60031E-02, 4.08908E-08, 3.25214E-08, 2.43895E-08, 6.62531E-06
21, 6.78384E-06, 3.59680E-06, 4.30715E-06, 2.59785E-02, 6.63906E-08, 5.71022E-08, 4.39701E-08, 1.06781E-05
22, 1.59647E-05, 6.50709E-06, 3.63777E-06, 2.60002E-02, 9.18457E-08, 7.10654E-08, 5.35466E-08, 2.78988E-05
23, 1.92608E-05, 7.79112E-06, 4.45271E-06, 2.60205E-02, 1.04786E-07, 8.15043E-08, 6.15979E-08, 3.10870E-05
24, 2.03243E-05, 8.14661E-06, 4.82047E-06, 2.60394E-02, 1.09192E-07, 8.57664E-08, 6.47342E-08, 2.99423E-05
25, 1.99259E-05, 8.06177E-06, 4.94288E-06, 2.60568E-02, 1.07794E-07, 8.55595E-08, 6.43854E-08, 2.78308E-05
26, 1.86009E-05, 8.04196E-06, 5.04426E-06, 2.60730E-02, 1.02537E-07, 8.25086E-08, 6.18261E-08, 2.52412E-05
27, 1.67715E-05, 7.66129E-06, 5.22578E-06, 2.60880E-02, 9.54360E-08, 7.79778E-08, 5.82240E-08, 2.16681E-05
28, 1.44521E-05, 6.98918E-06, 5.26745E-06, 2.61020E-02, 8.84106E-08, 7.32819E-08, 5.46927E-08, 1.76235E-05
29, 1.18782E-05, 6.09210E-06, 5.17463E-06, 2.61151E-02, 8.27634E-08, 6.94387E-08, 5.22343E-08, 1.42755E-05
30, 9.81480E-06, 5.03446E-06, 4.95714E-06, 2.61274E-02, 7.95940E-08, 6.71553E-08, 5.13498E-08, 1.60548E-05
