time_step, rms_u, rms_v, rms_w, rms_p
0, 4.54285E-01, 4.82392E-01, 6.21745E-01, 2.75971E-01
1, 4.54030E-01, 4.82110E-01, 6.21773E-01, 2.75694E-01
2, 4.53775E-01, 4.81828E-01, 6.21801E-01, 2.75418E-01
3, 4.53519E-01, 4.81548E-01, 6.21829E-01, 2.75144E-01
4, 4.53262E-01, 4.81268E-01, 6.21857E-01, 2.74870E-01
5, 4.53005E-01, 4.80991E-01, 6.21884E-01, 2.74598E-01
6, 4.52747E-01, 4.80714E-01, 6.21912E-01, 2.74327E-01
7, 4.52488E-01, 4.80439E-01, 6.21940E-01, 2.74057E-01
8, 4.52228E-01, 4.80165E-01, 6.21967E-01, 2.73789E-01
9, 4.51968E-01, 4.79892E-01, 6.21995E-01, 2.73521E-01
10, 4.51707E-01, 4.79621E-01, 6.22022E-01, 2.73255E-01
11, 4.51445E-01, 4.79351E-01, 6.22050E-01, 2.72991E-01
12, 4.51183E-01, 4.79083E-01, 6.22077E-01, 2.72727E-01
13, 4.50920E-01, 4.78815E-01, 6.22104E-01, 2.72465E-01
14, 4.50656E-01, 4.78549E-01, 6.22132E-01, 2.72204E-01
15, 4.50392E-01, 4.78285E-01, 6.22159E-01, 2.71944E-01
16, 4.50127E-01, 4.78021E-01, 6.22186E-01, 2.71686E-01
17, 4.49862E-01, 4.77759E-01, 6.22213E-01, 2.71428E-01
18, 4.49596E-01, 4.77498E-01, 6.22240E-01, 2.71172E-01
19, 4.49330E-01, 4.77239E-01, 6.22266E-01, 2.70918E-01
20, 4.49063E-01, 4.76981E-01, 6.22293E-01, 2.70664E-01
21, 4.48795E-01, 4.76724E-01, 6.22320E-01, 2.70412E-01
22, 4.48527E-01, 4.76469E-01, 6.22346E-01, 2.70161E-01
23, 4.48259E-01, 4.76215E-01, 6.22373E-01, 2.69912E-01
24, 4.47990E-01, 4.75962E-01, 6.22399E-01, 2.69664E-01
25, 4.47720E-01, 4.75711E-01, 6.22425E-01, 2.69417E-01
26, 4.47450E-01, 4.75461E-01, 6.22451E-01, 2.69171E-01
27, 4.47180E-01, 4.75212E-01, 6.22477E-01, 2.68927E-01
28, 4.46909E-01, 4.74965E-01, 6.22503E-01, 2.68683E-01
29, 4.46637E-01, 4.74719E-01, 6.22528E-01, 2.68442E-01
30, 4.46366E-01, 4.74475E-01, 6.22554E-01, 2.68201E-01
31, 4.46094E-01, 4.74231E-01, 6.22579E-01, 2.67962E-01
32, 4.45821E-01, 4.73989E-01, 6.22605E-01, 2.67724E-01
33, 4.45548E-01, 4.73749E-01, 6.22630E-01, 2.67487E-01
34, 4.45275E-01, 4.73510E-01, 6.22655E-01, 2.67251E-01
35, 4.45002E-01, 4.73272E-01, 6.22680E-01, 2.67017E-01
36, 4.44728E-01, 4.73035E-01, 6.22705E-01, 2.66784E-01
37, 4.44454E-01, 4.72800E-01, 6.22729E-01, 2.66552E-01
38, 4.44179E-01, 4.72566E-01, 6.22754E-01, 2.66321E-01
39, 4.43904E-01, 4.72334E-01, 6.22778E-01, 2.66092E-01
40, 4.43629E-01, 4.72102E-01, 6.22802E-01, 2.65864E-01
41, 4.43354E-01, 4.71872E-01, 6.22826E-01, 2.65637E-01
42, 4.43078E-01, 4.71644E-01, 6.22850E-01, 2.65411E-01
43, 4.42802E-01, 4.71417E-01, 6.22873E-01, 2.65187E-01
44, 4.42526E-01, 4.71191E-01, 6.22897E-01, 2.64964E-01
45, 4.42250E-01, 4.70967E-01, 6.22920E-01, 2.64741E-01
46, 4.41973E-01, 4.70743E-01, 6.22943E-01, 2.64520E-01
47, 4.41697E-01, 4.70522E-01, 6.22966E-01, 2.64301E-01
48, 4.41420E-01, 4.70301E-01, 6.22989E-01, 2.64082E-01
49, 4.41143E-01, 4.70082E-01, 6.23012E-01, 2.63865E-01
50, 4.40865E-01, 4.69864E-01, 6.23034E-01, 2.63648E-01
51, 4.40588E-01, 4.69648E-01, 6.23057E-01, 2.63433E-01
52, 4.40310E-01, 4.69433E-01, 6.23079E-01, 2.63219E-01
53, 4.40032E-01, 4.69219E-01, 6.23101E-01, 2.63006E-01
54, 4.39754E-01, 4.69006E-01, 6.23122E-01, 2.62794E-01
55, 4.39476E-01, 4.68795E-01, 6.23144E-01, 2.62583E-01
56, 4.39198E-01, 4.68585E-01, 6.23165E-01, 2.62373E-01
57, 4.38920E-01, 4.68377E-01, 6.23186E-01, 2.62165E-01
58, 4.38641E-01, 4.68169E-01, 6.23207E-01, 2.61957E-01
59, 4.38363E-01, 4.67964E-01, 6.23228E-01, 2.61750E-01
60, 4.38084E-01, 4.67759E-01, 6.23249E-01, 2.61545E-01
61, 4.37806E-01, 4.67556E-01, 6.23269E-01, 2.61340E-01
62, 4.37527E-01, 4.67354E-01, 6.23289E-01, 2.61137E-01
63, 4.37248E-01, 4.67153E-01, 6.23309E-01, 2.60934E-01
64, 4.36969E-01, 4.66954E-01, 6.23329E-01, 2.60733E-01
65, 4.36690E-01, 4.66756E-01, 6.23349E-01, 2.60532E-01
66, 4.36411E-01, 4.66559E-01, 6.23368E-01, 2.60332E-01
67, 4.36132E-01, 4.66364E-01, 6.23387E-01, 2.60134E-01
