time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
1, 4.90268E-16, 4.61587E-16, 3.56945E-16, 9.14794E-17
2, 7.37090E-16, 4.62644E-16, 7.13765E-16, 2.17731E-15
3, 4.92536E-16, 9.27371E-16, 7.13641E-16, 3.20960E-15
4, 9.87387E-16, 9.29422E-16, 7.13518E-16, 3.58701E-15
5, 9.89732E-16, 9.31441E-16, 7.13397E-16, 4.47724E-15
6, 9.92107E-16, 1.40014E-15, 1.06992E-15, 5.26730E-15
7, 9.94508E-16, 9.35378E-16, 7.13161E-16, 5.00419E-15
8, 9.96934E-16, 9.37296E-16, 1.06957E-15, 5.26708E-15
9, 9.99385E-16, 1.17397E-15, 1.06940E-15, 5.73393E-15
10, 1.50279E-15, 1.41154E-15, 1.06924E-15, 6.74295E-15
11, 1.25544E-15, 1.41426E-15, 1.06908E-15, 5.81431E-15
12, 1.51030E-15, 1.41692E-15, 1.42523E-15, 6.64650E-15
13, 1.00940E-15, 1.41954E-15, 1.42503E-15, 6.12469E-15
14, 1.26494E-15, 1.42209E-15, 1.42484E-15, 5.26854E-15
15, 1.52178E-15, 1.89946E-15, 1.78081E-15, 7.69241E-15
16, 1.27138E-15, 1.90272E-15, 1.06835E-15, 5.89286E-15
17, 1.27462E-15, 1.42943E-15, 1.42430E-15, 5.92840E-15
18, 1.53346E-15, 1.90903E-15, 1.42413E-15, 6.14367E-15
19, 1.53740E-15, 1.43405E-15, 1.42398E-15, 6.18536E-15
20, 1.41290E-15, 1.43627E-15, 1.42383E-15, 5.80961E-15
21, 1.41655E-15, 1.91792E-15, 1.42369E-15, 5.44911E-15
22, 1.54931E-15, 1.44055E-15, 1.42356E-15, 5.71171E-15
23, 1.55332E-15, 1.92347E-15, 1.42344E-15, 6.34304E-15
24, 1.55734E-15, 1.44460E-15, 1.42333E-15, 6.48063E-15
25, 1.56138E-15, 1.92871E-15, 1.42323E-15, 6.01371E-15
26, 1.56544E-15, 1.68981E-15, 1.77892E-15, 6.23286E-15
27, 1.43873E-15, 1.69192E-15, 1.77882E-15, 6.78763E-15
28, 1.57361E-15, 1.45197E-15, 2.13448E-15, 6.19927E-15
29, 1.57773E-15, 1.45366E-15, 1.42292E-15, 6.34942E-15
30, 1.58186E-15, 1.45529E-15, 1.77859E-15, 6.59708E-15
31, 1.32168E-15, 1.94247E-15, 1.42283E-15, 6.36595E-15
32, 1.59019E-15, 1.94447E-15, 2.13421E-15, 6.04653E-15
33, 1.59439E-15, 1.45979E-15, 1.77849E-15, 6.66671E-15
34, 1.59861E-15, 1.46116E-15, 1.77848E-15, 7.14493E-15
35, 1.60285E-15, 1.46246E-15, 1.42279E-15, 7.53657E-15
36, 1.60713E-15, 1.46369E-15, 1.42281E-15, 7.26079E-15
37, 1.61143E-15, 1.46486E-15, 1.77854E-15, 7.15785E-15
38, 1.61575E-15, 1.95460E-15, 1.77859E-15, 7.17349E-15
