time_step, rms_u, rms_v, rms_w, rms_p
0, 4.53931E-01, 4.82166E-01, 6.21959E-01, 2.76072E-01
1, 4.53931E-01, 4.82166E-01, 6.21959E-01, 2.76072E-01
2, 4.51867E-01, 4.79947E-01, 6.22178E-01, 2.73875E-01
3, 4.50819E-01, 4.78869E-01, 6.22287E-01, 2.72807E-01
4, 4.49762E-01, 4.77812E-01, 6.22394E-01, 2.71760E-01
5, 4.48696E-01, 4.76777E-01, 6.22499E-01, 2.70733E-01
6, 4.47622E-01, 4.75763E-01, 6.22603E-01, 2.69728E-01
7, 4.46542E-01, 4.74770E-01, 6.22706E-01, 2.68744E-01
8, 4.45455E-01, 4.73798E-01, 6.22806E-01, 2.67780E-01
9, 4.44362E-01, 4.72848E-01, 6.22904E-01, 2.66837E-01
10, 4.43265E-01, 4.71920E-01, 6.23000E-01, 2.65915E-01
11, 4.42164E-01, 4.71013E-01, 6.23093E-01, 2.65013E-01
12, 4.41060E-01, 4.70127E-01, 6.23183E-01, 2.64130E-01
13, 4.39954E-01, 4.69262E-01, 6.23271E-01, 2.63266E-01
14, 4.38845E-01, 4.68418E-01, 6.23355E-01, 2.62421E-01
15, 4.37734E-01, 4.67595E-01, 6.23437E-01, 2.61593E-01
16, 4.36623E-01, 4.66793E-01, 6.23515E-01, 2.60782E-01
17, 4.35511E-01, 4.66012E-01, 6.23590E-01, 2.59986E-01
18, 4.34399E-01, 4.65252E-01, 6.23662E-01, 2.59206E-01
19, 4.33287E-01, 4.64512E-01, 6.23730E-01, 2.58440E-01
20, 4.32175E-01, 4.63793E-01, 6.23795E-01, 2.57688E-01
21, 4.31065E-01, 4.63094E-01, 6.23855E-01, 2.56948E-01
22, 4.29955E-01, 4.62416E-01, 6.23912E-01, 2.56220E-01
23, 4.28845E-01, 4.61758E-01, 6.23965E-01, 2.55503E-01
24, 4.27737E-01, 4.61121E-01, 6.24014E-01, 2.54796E-01
25, 4.26630E-01, 4.60505E-01, 6.24059E-01, 2.54098E-01
26, 4.25524E-01, 4.59909E-01, 6.24099E-01, 2.53409E-01
27, 4.24419E-01, 4.59333E-01, 6.24135E-01, 2.52728E-01
28, 4.23315E-01, 4.58779E-01, 6.24166E-01, 2.52054E-01
29, 4.22211E-01, 4.58245E-01, 6.24193E-01, 2.51387E-01
30, 4.21108E-01, 4.57733E-01, 6.24215E-01, 2.50726E-01
31, 4.20005E-01, 4.57241E-01, 6.24232E-01, 2.50070E-01
32, 4.18902E-01, 4.56771E-01, 6.24244E-01, 2.49420E-01
33, 4.17799E-01, 4.56322E-01, 6.24252E-01, 2.48774E-01
34, 4.16696E-01, 4.55895E-01, 6.24254E-01, 2.48132E-01
35, 4.15592E-01, 4.55489E-01, 6.24251E-01, 2.47495E-01
36, 4.14487E-01, 4.55105E-01, 6.24244E-01, 2.46861E-01
37, 4.13381E-01, 4.54743E-01, 6.24231E-01, 2.46230E-01
38, 4.12274E-01, 4.54403E-01, 6.24214E-01, 2.45603E-01
39, 4.11166E-01, 4.54086E-01, 6.24192E-01, 2.44978E-01
40, 4.10055E-01, 4.53790E-01, 6.24165E-01, 2.44356E-01
41, 4.08943E-01, 4.53517E-01, 6.24133E-01, 2.43737E-01
42, 4.07829E-01, 4.53265E-01, 6.24096E-01, 2.43121E-01
43, 4.06713E-01, 4.53036E-01, 6.24055E-01, 2.42507E-01
44, 4.05595E-01, 4.52829E-01, 6.24010E-01, 2.41895E-01
45, 4.04475E-01, 4.52645E-01, 6.23960E-01, 2.41285E-01
46, 4.03352E-01, 4.52482E-01, 6.23907E-01, 2.40677E-01
47, 4.02227E-01, 4.52341E-01, 6.23849E-01, 2.40071E-01
48, 4.01100E-01, 4.52222E-01, 6.23787E-01, 2.39467E-01
49, 3.99971E-01, 4.52125E-01, 6.23721E-01, 2.38865E-01
50, 3.98840E-01, 4.52049E-01, 6.23652E-01, 2.38264E-01
51, 3.97706E-01, 4.51994E-01, 6.23578E-01, 2.37665E-01
52, 3.96571E-01, 4.51960E-01, 6.23502E-01, 2.37066E-01
53, 3.95433E-01, 4.51947E-01, 6.23422E-01, 2.36469E-01
54, 3.94293E-01, 4.51954E-01, 6.23338E-01, 2.35872E-01
55, 3.93152E-01, 4.51982E-01, 6.23251E-01, 2.35276E-01
56, 3.92009E-01, 4.52030E-01, 6.23161E-01, 2.34680E-01
57, 3.90864E-01, 4.52098E-01, 6.23067E-01, 2.34085E-01
58, 3.89718E-01, 4.52185E-01, 6.22971E-01, 2.33489E-01
59, 3.88570E-01, 4.52291E-01, 6.22871E-01, 2.32893E-01
60, 3.87420E-01, 4.52416E-01, 6.22768E-01, 2.32296E-01
61, 3.86270E-01, 4.52560E-01, 6.22662E-01, 2.31699E-01
62, 3.85118E-01, 4.52722E-01, 6.22553E-01, 2.31101E-01
63, 3.83966E-01, 4.52903E-01, 6.22440E-01, 2.30502E-01
64, 3.82812E-01, 4.53101E-01, 6.22325E-01, 2.29902E-01
65, 3.81657E-01, 4.53317E-01, 6.22207E-01, 2.29300E-01
66, 3.80502E-01, 4.53550E-01, 6.22085E-01, 2.28698E-01
67, 3.79346E-01, 4.53801E-01, 6.21960E-01, 2.28094E-01
68, 3.78190E-01, 4.54069E-01, 6.21833E-01, 2.27490E-01
69, 3.77033E-01, 4.54354E-01, 6.21702E-01, 2.26884E-01
70, 3.75876E-01, 4.54656E-01, 6.21567E-01, 2.26278E-01
71, 3.74719E-01, 4.54974E-01, 6.21430E-01, 2.25672E-01
72, 3.73561E-01, 4.55309E-01, 6.21289E-01, 2.25065E-01
73, 3.72404E-01, 4.55660E-01, 6.21144E-01, 2.24459E-01
74, 3.71247E-01, 4.56027E-01, 6.20996E-01, 2.23854E-01
75, 3.70090E-01, 4.56411E-01, 6.20844E-01, 2.23250E-01
76, 3.68933E-01, 4.56811E-01, 6.20689E-01, 2.22647E-01
77, 3.67777E-01, 4.57227E-01, 6.20530E-01, 2.22047E-01
78, 3.66622E-01, 4.57659E-01, 6.20366E-01, 2.21450E-01
79, 3.65467E-01, 4.58107E-01, 6.20198E-01, 2.20856E-01
